LatentDim,Attack Category,Interval,AUROC,Accuracy,Precision,Recall,F1 Score,True Negative,False Positive,False Negative,True Positive,ROC AUC
10,brute-http,10,0.23666549712835172,0.7831566313262652,0.7831132452981192,1.0,0.8783662477558348,1,1084,0,3914,0.23666549712835172
50,brute-http,10,0.23666620356089096,0.7831566313262652,0.7831132452981192,1.0,0.8783662477558348,1,1084,0,3914,0.23666620356089096
100,brute-http,10,0.23666620356089096,0.7831566313262652,0.7831132452981192,1.0,0.8783662477558348,1,1084,0,3914,0.23666620356089096
10,brute-http,100,0.7320735057307947,0.7855711422845691,0.785140562248996,1.0,0.8796400449943758,1,107,0,391,0.7320735057307947
50,brute-http,100,0.7320735057307947,0.7855711422845691,0.785140562248996,1.0,0.8796400449943758,1,107,0,391,0.7320735057307947
100,brute-http,100,0.7320735057307947,0.7855711422845691,0.785140562248996,1.0,0.8796400449943758,1,107,0,391,0.7320735057307947
10,brute-http,1000,0.9666666666666668,0.9591836734693877,0.9512195121951219,1.0,0.975,8,2,0,39,0.9666666666666668
50,brute-http,1000,0.9666666666666668,0.9591836734693877,0.9512195121951219,1.0,0.975,8,2,0,39,0.9666666666666668
100,brute-http,1000,0.9666666666666668,0.9591836734693877,0.9512195121951219,1.0,0.975,8,2,0,39,0.9666666666666668
10,brute-http,250,0.8305008944543828,0.8492462311557789,0.8387096774193549,1.0,0.9122807017543859,13,30,0,156,0.8305008944543828
50,brute-http,250,0.8305008944543828,0.8492462311557789,0.8387096774193549,1.0,0.9122807017543859,13,30,0,156,0.8305008944543828
100,brute-http,250,0.8305008944543828,0.8492462311557789,0.8387096774193549,1.0,0.9122807017543859,13,30,0,156,0.8305008944543828
10,brute-http,50,0.469798578617983,0.7837837837837838,0.7835671342685371,1.0,0.8786516853932584,1,216,0,782,0.469798578617983
50,brute-http,50,0.469798578617983,0.7837837837837838,0.7835671342685371,1.0,0.8786516853932584,1,216,0,782,0.469798578617983
100,brute-http,50,0.46980447157825267,0.7837837837837838,0.7835671342685371,1.0,0.8786516853932584,1,216,0,782,0.46980447157825267
10,brute-http,500,0.8986568986568988,0.9292929292929293,0.9176470588235294,1.0,0.9570552147239264,14,7,0,78,0.8986568986568988
50,brute-http,500,0.8986568986568988,0.9292929292929293,0.9176470588235294,1.0,0.9570552147239264,14,7,0,78,0.8986568986568988
100,brute-http,500,0.8986568986568988,0.9292929292929293,0.9176470588235294,1.0,0.9570552147239264,14,7,0,78,0.8986568986568988
10,brute-http,5000,1.0,1.0,1.0,1.0,1.0,2,0,0,7,1.0
50,brute-http,5000,1.0,1.0,1.0,1.0,1.0,2,0,0,7,1.0
100,brute-http,5000,1.0,1.0,1.0,1.0,1.0,2,0,0,7,1.0
10,brute-http,750,0.9189560439560439,0.9393939393939394,0.9615384615384616,0.9615384615384616,0.9615384615384616,12,2,2,50,0.9189560439560439
50,brute-http,750,0.9189560439560439,0.9393939393939394,0.9615384615384616,0.9615384615384616,0.9615384615384616,12,2,2,50,0.9189560439560439
100,brute-http,750,0.9189560439560439,0.9393939393939394,0.9615384615384616,0.9615384615384616,0.9615384615384616,12,2,2,50,0.9189560439560439
