Average Packet Size,Flow Bytes/s,Fwd Packet Length Mean,Max Packet Length,Fwd IAT Min,Total Length of Fwd Packets,Flow IAT Mean,Fwd IAT Std,Fwd Packet Length Max,Fwd Header Length,Label
702.887,182749.852,4434,686.762,-0.001,686762,0.01626,0.00385,4420,40600,1
720.301,250592.124,2974,704.138,-0.001,704138,0.01607,0.00288,2960,41120,1
735.193,242461.109,4434,718.863,0.0,718863,0.00957,0.00304,4420,40256,1
603.57,122996.295,5894,586.895,0.0,586895,0.01395,0.00491,5880,41292,1
714.103,184167.111,4434,697.393,0.0,697393,0.01222,0.00388,4420,41284,1
600.617,157099.542,4434,584.125,0.0,584125,0.01071,0.00383,4420,41260,1
666.898,210631.207,4434,650.225,-0.001,650225,0.01163,0.00317,4420,40948,1
405.171,51347.838,4434,388.364,0.0,388364,0.02513,0.0079,4420,41344,1
401.431,112580.092,4179,385.102,-0.001,385102,0.01293,0.00357,4165,41588,1
330.435,80108.368,2974,313.801,-0.001,313801,0.01122,0.00413,2960,41076,1
175.632,7731.365,2320,158.529,0.0,158529,0.04863,0.02274,2306,42612,1
305.043,36623.532,4434,288.519,0.0,288519,0.02251,0.00834,4420,41468,1
275.351,29189.673,5894,258.71,0.0,258710,0.01657,0.00944,5880,41584,1
272.809,25370.334,5894,256.188,0.0,256188,0.02171,0.01076,5880,41452,1
295.764,49058.552,5894,279.243,0.0,279243,0.01176,0.00603,5880,41348,1
302.924,48438.389,4434,286.827,0.0,286827,0.01423,0.00626,4420,40972,1
281.213,38716.239,2024,265.24,0.0,265240,0.0148,0.00727,2010,41020,1
273.979,41646.425,6088,257.844,0.0,257844,0.01756,0.00659,6074,41036,1
280.854,54315.491,4434,264.557,0.0,264557,0.0109,0.00518,4420,40988,1
264.195,41241.611,4434,247.929,0.0,247929,0.01538,0.00641,4420,40972,1
294.877,45221.693,4434,278.534,0.0,278534,0.0156,0.00653,4420,40652,1
313.145,62413.014,6058,296.967,-0.001,296967,0.01045,0.00502,6044,40864,1
309.044,34943.707,5894,293.002,0.0,293002,0.02002,0.00885,5880,40648,1
297.628,35460.003,4434,281.502,0.001,281502,0.0163,0.0084,4420,40640,1
324.846,45118.133,5813,308.797,0.0,308797,0.01473,0.00721,5799,40744,1
349.587,27854.686,8792,333.26,0.0,333260,0.05994,0.01256,8778,41088,1
288.215,12821.232,6547,271.661,0.001,271661,0.07716,0.0225,6533,41312,1
323.003,17011.447,5574,306.368,0.001,306368,0.07835,0.01901,5560,40988,1
1031.353,1218812.449,4344,1015.2,0.0,1015200,0.00418,0.00085,4330,40048,1
1168.886,1852319.746,4344,1152.524,0.0,1152524,0.00401,0.00063,4330,40012,1
799.66,60866.394,4434,783.586,0.0,783586,0.08255,0.01315,4420,43068,1
333.407,9287.33,8792,316.931,0.0,316931,0.13773,0.03594,8778,41360,1
304.986,9191.347,4163,288.441,0.001,288441,0.12988,0.03322,4149,41060,1
324.7,8891.197,6545,308.206,0.001,308206,0.14987,0.03656,6531,41232,1
284.323,8168.739,5481,267.94,0.0,267940,0.14682,0.03484,5467,41012,1
694.34,14371.467,21654,677.678,0.001,677678,0.2571,0.04836,21640,40696,1
486.667,9806.766,5894,470.319,0.0,470319,0.2852,0.04968,5880,40744,1
322.592,5460.161,8371,306.156,0.0,306156,0.3854,0.05914,8357,41020,1
325.481,8278.518,8417,309.095,0.001,309095,0.20014,0.03936,8403,41068,1
327.673,6919.608,4434,311.367,0.0,311367,0.24417,0.0474,4420,41060,1
422.076,22672.013,4150,405.799,0.0,405799,0.06834,0.01864,4136,41076,1
298.307,8083.698,4434,281.83,0.001,281830,0.18088,0.03694,4420,41252,1
279.254,6208.872,5894,262.75,0.0,262750,0.20319,0.04502,5880,41440,1
946.685,1270003.85,4540,930.459,0.0,930459,0.00261,0.00075,4526,40636,1
999.876,341233.062,5894,983.542,0.0,983542,0.02756,0.00293,5880,40504,1
308.214,18196.063,5894,291.768,0.0,291768,0.09343,0.01696,5880,41284,1
261.04,6951.809,8792,244.55,0.0,244550,0.1324,0.03759,8778,41848,1
285.316,25187.519,5476,268.847,0.0,268847,0.06004,0.01134,5462,41320,1
264.335,7133.431,4434,247.938,0.0,247938,0.14618,0.03709,4420,41764,1
300.747,26056.14,6669,284.188,0.0,284188,0.05731,0.01155,6655,41260,1
317.339,9072.667,5894,300.891,0.0,300891,0.22672,0.03501,5880,41152,1
326.05,16944.357,5473,309.481,0.0,309481,0.09095,0.01926,5459,41020,1
295.419,10080.581,5894,279.002,0.0,279002,0.12416,0.02934,5880,41176,1
536.39,19916.641,4434,520.105,0.0,520105,0.14467,0.02696,4420,40632,1
311.102,9638.019,5478,294.675,0.0,294675,0.14876,0.03231,5464,41100,1
340.734,15910.039,5467,324.366,0.0,324366,0.14217,0.02144,5453,41148,1
337.199,17334.546,8792,320.756,0.001,320756,0.10957,0.01947,8778,41056,1
369.624,38710.111,5463,353.362,0.0,353362,0.05923,0.00956,5449,41376,1
246.847,4077.516,2053,230.163,0.0,230163,0.19492,0.0606,2039,41116,1
330.357,24104.136,5482,313.917,0.001,313917,0.04944,0.01372,5468,41032,1
331.469,10088.066,8422,315.052,0.0,315052,0.12501,0.03289,8408,40876,1
315.96,15819.34,8792,299.311,0.0,299311,0.10161,0.01999,8778,41056,1
336.362,19639.845,5894,319.989,0.0,319989,0.07629,0.01714,5880,41188,1
314.684,31898.225,5468,298.321,0.0,298321,0.05948,0.00988,5454,41068,1
335.732,10225.704,6065,319.355,0.0,319355,0.16139,0.03287,6051,41196,1
354.666,50920.804,5475,338.107,0.0,338107,0.03754,0.00697,5461,41448,1
290.114,17235.864,5894,273.358,0.0,273358,0.07147,0.01685,5880,41076,1
716.568,41399.634,4434,700.137,-0.001,700137,0.07756,0.01733,4420,40728,1
