Average Packet Size,Flow Bytes/s,Fwd Packet Length Mean,Max Packet Length,Fwd IAT Min,Total Length of Fwd Packets,Flow IAT Mean,Fwd IAT Std,Fwd Packet Length Max,Fwd Header Length,Label
105.675,5054.335,1042,91.355,-0.001,68516,0.14235,0.02094,1028,38904,1
127.969,6356.359,2962,113.649,0.0,85237,0.12262,0.02016,2948,38960,1
97.605,3655.93,1042,83.285,0.0,62464,0.12712,0.02673,1028,38888,1
86.239,2807.913,469,71.839,0.0,53879,0.14696,0.03075,455,38800,1
83.208,2719.871,469,68.808,0.0,51606,0.1606,0.03063,455,38800,1
85.828,2794.265,469,71.38,0.0,53535,0.18364,0.03076,455,38776,1
86.631,2741.749,469,72.279,0.001,54209,0.19926,0.03164,455,38824,1
85.669,2949.681,469,71.189,0.0,53392,0.23322,0.02908,455,38696,1
110.432,3785.892,2962,96.112,0.0,72084,0.20906,0.02921,2948,38968,1
112.143,5582.379,1042,97.847,0.0,73385,0.152,0.02012,1028,38916,1
86.175,2667.973,469,71.791,0.0,53843,0.19096,0.03234,455,38840,1
112.315,3881.52,2974,97.691,0.0,73268,0.14892,0.02897,2960,37948,1
103.5,3740.802,1030,88.78,0.0,66585,0.12809,0.0277,1016,37304,1
129.705,7483.808,2974,114.633,0.0,85975,0.09587,0.01735,2960,35776,1
108.443,4623.921,1042,94.075,-0.001,70556,0.14171,0.02348,1028,38832,1
110.428,4048.315,2962,96.076,0.0,72057,0.14355,0.02731,2948,38888,1
85.933,2994.033,469,71.501,0.0,53626,0.19978,0.02874,455,38784,1
111.228,3896.245,2974,96.636,-0.001,72477,0.19644,0.02859,2960,37996,1
836.359,138406.091,5538,822.295,-0.001,616721,0.03819,0.00605,5524,40092,1
523.936,40213.672,4320,509.672,0.0,382254,0.12686,0.01305,4306,38868,1
596.437,68292.485,4320,582.317,0.0,436738,0.06079,0.00875,4306,39964,1
626.216,209513.214,4410,611.728,0.0,458796,0.00796,0.00299,4396,38080,1
395.415,96968.724,4410,381.089,-0.001,285817,0.01031,0.00408,4396,38628,1
452.04,88374.468,8454,438.228,0.0,328671,0.02157,0.00512,8440,39052,1
220.371,14473.246,2962,206.067,0.0,154550,0.07685,0.01525,2948,38964,1
111.973,5264.817,2962,97.525,0.0,73144,0.09725,0.0213,2948,38728,1
131.069,5949.874,3047,116.669,0.0,87502,0.096,0.02206,3033,38752,1
78.819,3501.26,469,64.387,0.0,48290,0.10962,0.02254,455,38648,1
81.548,3580.564,469,67.06,-0.001,50295,0.08103,0.02281,455,38620,1
108.161,4717.805,2974,93.489,0.0,70117,0.11511,0.02296,2960,37844,1
100.213,4741.197,1030,85.245,0.0,63934,0.10465,0.02116,1016,36596,1
92.801,3173.419,5858,78.417,0.0,58813,0.1564,0.02928,5844,38808,1
79.921,2692.338,469,65.505,0.0,49129,0.17022,0.02972,455,38776,1
116.353,5255.78,2974,101.801,0.0,76351,0.09632,0.02217,2960,38008,1
113.336,4566.734,2962,98.872,0.0,74154,0.13256,0.02485,2948,38664,1
105.764,4142.838,1042,91.452,-0.001,68589,0.12783,0.02556,1028,38900,1
105.767,4130.493,1042,91.455,0.0,68591,0.1086,0.02564,1028,38908,1
191.451,7405.039,3135,177.115,0.001,132836,0.09918,0.02589,3121,38920,1
82.817,2477.53,469,68.417,0.0,51313,0.1623,0.03347,455,38800,1
79.884,2629.434,469,65.452,0.0,49089,0.20027,0.03042,455,38768,1
109.197,3557.505,1836,94.821,0.001,71116,0.14889,0.03074,1822,38836,1
