Average Packet Size,Flow Bytes/s,Fwd Packet Length Mean,Max Packet Length,Fwd IAT Min,Total Length of Fwd Packets,Flow IAT Mean,Fwd IAT Std,Fwd Packet Length Max,Fwd Header Length,Label
325.323,2003.114,7306,310.795,0.0,233096,1.24384,0.16263,7292,37648,1
300.464,6254.574,2974,285.76,0.0,214320,0.15558,0.0481,2960,36632,1
336.852,5234.665,2962,322.852,0.0,242139,0.17926,0.06444,2948,39544,1
340.125,5249.799,2962,326.125,0.0,244594,0.18314,0.06487,2948,39528,1
337.749,4650.722,1134,323.749,0.003,242812,0.193,0.07272,1120,39496,1
299.492,6334.268,2974,285.236,0.0,213927,0.15154,0.04734,2960,38560,1
332.86,4935.091,1134,318.86,0.0,239145,0.18261,0.06754,1120,39496,1
303.816,5975.745,2974,289.56,0.0,217170,0.16148,0.05091,2960,38548,1
343.945,4700.23,1134,329.945,0.003,247459,0.19361,0.07327,1120,39528,1
301.419,6290.428,2974,287.163,0.0,215372,0.15231,0.04798,2960,38532,1
337.712,4702.881,1134,323.712,0.001,242784,0.19114,0.07191,1120,39512,1
303.709,6182.181,2974,289.005,0.001,216754,0.1577,0.04919,2960,36632,1
336.893,4619.179,1134,322.893,0.0,242170,0.19359,0.07303,1120,39544,1
301.24,6320.264,2974,286.536,0.0,214902,0.15227,0.04773,2960,36608,1
271.548,7964.205,2962,257.548,0.0,193161,0.12813,0.03414,2948,39432,1
296.805,8355.434,2974,282.931,0.0,212198,0.13319,0.03557,3121,37188,1
328.116,4737.968,1134,313.94,0.0,235455,0.18808,0.06934,1120,38852,1
339.613,5122.366,2974,325.357,0.0,244018,0.18564,0.06639,2960,38596,1
339.985,4722.44,1134,325.985,0.003,244489,0.19128,0.07209,1120,39512,1
342.155,4607.878,1134,328.155,0.0,246116,0.19627,0.07435,1120,39496,1
341.096,4704.989,1134,327.096,0.003,245322,0.19993,0.07259,1120,39512,1
300.376,5544.935,1134,286.376,0.0,214782,0.16813,0.05424,1120,39440,1
302.245,5457.566,1133,287.797,0.0,215848,0.16219,0.05545,1119,37528,1
292.392,6957.745,2962,278.392,0.0,208794,0.14466,0.04208,2948,39464,1
307.635,5503.027,1239,293.635,0.0,220226,0.17125,0.05598,1225,39416,1
296.081,5644.196,1134,282.081,0.001,211561,0.17047,0.05253,1120,39448,1
337.905,4672.9,1135,323.905,0.0,242929,0.19474,0.07241,1121,39528,1
337.768,4677.295,1134,323.768,0.0,242826,0.19651,0.07231,1120,39528,1
342.391,4799.197,1134,328.391,0.001,246293,0.19782,0.07144,1120,39496,1
290.043,6743.498,2974,275.259,0.0,206444,0.1507,0.04307,2960,35992,1
314.669,5046.071,1134,300.301,0.0,225226,0.1843,0.06244,1120,38208,1
333.591,5415.508,2974,319.287,0.001,239465,0.1833,0.06168,2960,38244,1
301.965,6367.156,2962,287.565,0.0,215674,0.1588,0.04749,2948,37948,1
262.589,7886.19,2974,248.333,0.0,186250,0.12577,0.03334,2960,38484,1
335.143,4802.84,1134,321.143,0.0,240857,0.19762,0.06987,1120,39496,1
333.341,5684.699,2950,319.995,0.0,239996,0.18073,0.05872,3121,39424,1
334.455,4710.958,1135,320.455,0.002,240341,0.19566,0.07109,1121,39528,1
302.849,5435.43,1134,288.401,0.001,216301,0.17361,0.05579,1120,37552,1
341.735,4814.756,1134,327.735,0.001,245801,0.19971,0.07107,1120,39480,1
332.389,4835.041,1134,318.389,0.001,238792,0.19887,0.06884,1120,39528,1
340.033,4557.303,1134,326.001,0.001,244501,0.20465,0.07471,1120,39464,1
304.975,7134.02,2974,290.719,0.0,218039,0.15606,0.04281,2960,38584,1
299.801,5251.825,1135,285.753,0.0,214315,0.18027,0.05716,1121,39392,1
300.94,5114.551,1135,286.94,0.0,215205,0.18309,0.05892,1121,39480,1
306.893,5172.56,1134,292.445,0.0,219334,0.17977,0.05941,1120,37608,1
302.185,5118.073,1134,287.593,0.0,215695,0.18314,0.05912,1120,37344,1
346.196,4478.606,1133,332.196,0.003,249147,0.21097,0.0774,1119,39536,1
297.004,6069.842,2962,283.004,0.0,212253,0.16548,0.049,2948,39480,1
306.064,5172.026,1134,291.616,0.0,218712,0.17822,0.05926,1120,37584,1
342.309,4961.184,2974,328.053,0.0,246040,0.2013,0.06909,2960,38616,1
303.697,5980.309,2962,289.249,0.0,216937,0.16894,0.05085,2948,37608,1
261.892,8059.599,2974,247.636,0.0,185727,0.13451,0.03254,2960,38520,1
