Average Packet Size,Flow Bytes/s,Fwd Packet Length Mean,Max Packet Length,Fwd IAT Min,Total Length of Fwd Packets,Flow IAT Mean,Fwd IAT Std,Fwd Packet Length Max,Fwd Header Length,Label
210.16,79248.84,1042,196.16,0.0,9808,0.0084,0.00271,1028,2632,1
204.12,46922.412,1014,190.12,0.0,9506,0.01597,0.00444,1000,2600,1
186.52,8202.727,1042,172.52,0.001,8626,0.13558,0.0232,1028,2632,1
139.6,5707.795,1014,125.6,0.0,6280,0.13689,0.02496,1000,2600,1
214.64,3272.715,2974,198.96,0.0,9948,0.43524,0.06692,2960,2120,1
378.0,1376.989,2974,361.84,0.0,18092,1.95055,0.28011,2960,2260,1
235.44,71280.222,914,221.44,0.001,11072,0.00909,0.00337,900,2600,1
134.88,6141.019,1014,120.88,0.001,6044,0.13599,0.02241,1000,2632,1
234.12,33522.913,1042,220.12,0.001,11006,0.02087,0.00713,1028,2600,1
173.92,608.302,469,159.92,0.0,7996,1.90051,0.29175,455,2600,1
171.58,167.759,469,157.58,0.001,7879,5.95823,1.04365,455,2632,1
478.62,187460.344,2962,464.62,0.001,23231,0.01176,0.00261,2948,2632,1
144.36,359.641,1514,130.36,0.001,6518,2.85046,0.40959,1500,2640,1
363.6,550175.524,1514,349.6,0.001,17480,0.00402,0.00067,1500,2640,1
218.36,1245920.347,1514,204.36,0.0,10218,0.00108,0.00018,1500,2648,1
119.92,328.724,260,105.92,0.001,5296,2.59636,0.37225,246,2640,1
174.48,292.46,506,160.48,0.0,8024,3.80447,0.60877,492,2616,1
124.4,46668.667,469,110.4,0.001,5520,0.01321,0.00272,455,2648,1
479.34,2143.814,2962,464.86,0.0,23243,1.59455,0.22816,2948,2516,1
269.18,30520.728,1030,254.34,0.001,12717,0.03361,0.009,1016,2144,1
146.0,6884.214,1030,129.48,0.0,6474,0.13612,0.02164,1016,2048,1
174.08,18350.829,1002,158.4,0.001,7920,0.03844,0.00968,988,2000,1
264.08,505.4,1484,248.88,0.003,12444,2.50787,0.53318,1470,2460,1
590.74,86811.23,5538,576.74,0.001,28837,0.02063,0.00694,5524,2616,1
248.02,493.458,2114,234.02,0.003,11701,2.06897,0.51287,2100,2600,1
219.92,3882.704,1042,205.92,0.001,10296,0.39197,0.0578,1028,2632,1
165.48,36961.591,1014,151.48,0.0,7574,0.0166,0.00457,1000,2600,1
191.16,70966.113,1042,177.16,0.0,8858,0.00755,0.00275,1028,2632,1
229.08,73749.276,1042,215.08,0.0,10754,0.00713,0.00317,1028,2632,1
142.64,43673.684,1014,128.64,0.0,6432,0.01346,0.00333,1000,2600,1
153.56,8588.915,1042,139.56,0.0,6978,0.11329,0.01824,1028,2632,1
170.48,32955.349,1014,156.48,0.001,7824,0.01835,0.00528,1000,2600,1
129.4,271.364,469,115.4,0.0,5770,2.33489,0.48658,455,2632,1
485.24,345012.94,2962,471.24,0.0,23562,0.00845,0.00144,2948,2632,1
70.68,3918.564,106,55.48,0.0,2774,0.11244,0.01841,92,2228,1
519.28,16123.744,2974,502.64,0.001,25132,0.22134,0.03286,2960,2120,1
204.52,236.562,1030,189.8,0.001,9490,3.35684,0.88219,1016,2456,1
225.36,16640.503,1002,209.68,0.001,10484,0.04035,0.01382,988,2144,1
104.2,4604.825,462,87.56,0.0,4378,0.10813,0.02309,448,2048,1
