Average Packet Size,Flow Bytes/s,Fwd Packet Length Mean,Max Packet Length,Fwd IAT Min,Total Length of Fwd Packets,Flow IAT Mean,Fwd IAT Std,Fwd Packet Length Max,Fwd Header Length,Label
161.48,8466.636,1042,147.48,0.0,14748,0.11495,0.01927,1028,5264,0
196.74,14921.456,1042,182.74,0.0,18274,0.09636,0.01332,1028,5232,0
130.08,14826.415,1014,116.08,0.001,11608,0.05193,0.00886,1000,5264,0
349.46,37346.083,2962,334.32,0.0,33432,0.03876,0.00945,2948,4564,0
156.08,10662.688,1030,139.62,0.0,13962,0.09784,0.01479,1016,4048,0
198.34,378.171,1030,182.78,0.001,18278,5.12794,0.52977,1016,4336,0
159.26,2202.113,1030,143.22,0.001,14322,0.49631,0.07305,1016,4084,0
201.72,877.608,1030,186.46,0.0,18646,2.24941,0.23217,1016,4348,0
150.98,495.585,1030,134.64,0.0,13464,2.8105,0.30773,1016,4096,0
300.17,1383.634,2974,284.49,0.0,28449,2.15129,0.21913,2960,4476,0
297.17,2459.989,2962,282.69,0.0,28269,1.20039,0.12202,2948,4920,0
295.18,1137.811,2974,279.14,0.0,27914,2.59217,0.26205,2960,4288,0
368.87,1738.644,2974,353.55,0.0,35355,2.11804,0.2143,2960,4764,0
182.33,13272.053,1042,168.33,0.0,16833,0.09665,0.01388,1028,5232,0
186.14,387.995,2974,171.36,0.0,17136,4.70132,0.48459,2960,4732,0
252.7,589.492,2974,237.32,0.0,23732,4.11948,0.433,2960,4748,0
350.32,89453.834,2962,335.6,0.001,33560,0.02281,0.00396,2948,4648,0
157.94,6410.907,1030,141.54,0.0,14154,0.1375,0.02488,1016,4048,0
201.66,65214.017,1030,186.34,0.0,18634,0.0104,0.00312,1016,4336,0
152.4,403.04,1030,136.36,0.0,13636,3.66939,0.38195,1016,4248,0
208.72,16028.248,1042,194.72,0.001,19472,0.09601,0.01315,1028,5200,0
179.6,35703.991,1042,165.24,0.0,16524,0.0164,0.00508,1028,5088,0
160.86,10991.812,1030,144.58,0.0,14458,0.06904,0.01478,1016,4120,0
126.82,269.51,1002,110.78,0.0,11078,3.46094,0.47531,988,4344,0
266.21,293186.048,2950,254.94,0.0,25494,0.00342,0.00092,3121,5280,0
332.13,164689.84,2950,320.66,0.0,32066,0.00862,0.00204,3121,5216,0
166.62,13171.292,1042,152.62,0.001,15262,0.09633,0.01278,1028,5232,0
158.98,2553.79,1030,143.3,0.0,14330,0.3921,0.06288,1016,4288,0
203.24,237.997,1030,187.56,0.0,18756,8.42001,0.86259,1016,4072,0
150.54,17191.192,1002,135.1,0.0,13510,0.05113,0.00885,988,4336,0
