Average Packet Size,Flow Bytes/s,Fwd Packet Length Mean,Max Packet Length,Fwd IAT Min,Total Length of Fwd Packets,Flow IAT Mean,Fwd IAT Std,Fwd Packet Length Max,Fwd Header Length,Label
326.957,2440.712,7306,312.411,0.0,312411,1.08068,0.13409,7292,49980,1
309.608,5738.683,2962,295.23,0.0,295230,0.16646,0.05401,2948,50684,1
340.508,5096.017,2962,326.508,0.0,326508,0.18394,0.06689,2948,52688,1
332.236,4870.223,1134,318.236,0.0,318236,0.18576,0.06829,1120,52656,1
316.848,5425.848,2974,302.656,0.0,302656,0.17019,0.05845,2960,51736,1
306.354,5887.861,2974,292.162,0.0,292162,0.16252,0.05208,2960,51708,1
340.844,5070.947,2974,326.652,0.001,326652,0.18654,0.06728,2960,51788,1
311.75,5176.144,1134,297.75,0.0,297750,0.17117,0.06029,1120,52608,1
312.495,5689.808,2974,297.967,0.001,297967,0.16782,0.05498,2960,49808,1
337.637,5080.819,2974,323.445,0.0,323445,0.1849,0.06652,2960,51792,1
291.763,6345.078,2962,277.427,0.0,277427,0.15019,0.04603,2948,50696,1
275.465,9285.611,2974,261.559,0.0,261559,0.11877,0.0297,3121,50284,1
331.795,4713.48,1134,317.663,0.0,317663,0.18974,0.07046,1120,52028,1
338.723,5027.007,2974,324.531,0.0,324531,0.1878,0.06745,2960,51772,1
341.884,4644.304,1134,327.884,0.0,327884,0.19332,0.07369,1120,52656,1
340.457,4718.936,1134,326.457,0.0,326457,0.19754,0.07222,1120,52672,1
283.072,6023.835,1134,268.736,0.0,268736,0.1529,0.04704,1120,50664,1
303.553,6181.028,2962,289.553,0.0,289553,0.15534,0.04916,2948,52608,1
316.374,5274.982,1239,302.374,0.0,302374,0.17974,0.06004,1225,52592,1
305.44,5279.541,1135,291.44,0.001,291440,0.1769,0.05791,1121,52640,1
337.728,4688.671,1134,323.728,0.0,323728,0.1941,0.0721,1120,52688,1
340.091,4737.318,1134,326.079,0.001,326079,0.19726,0.07186,1120,52620,1
285.864,6742.453,2974,271.012,0.0,271012,0.15017,0.04244,2960,47900,1
334.565,5171.792,2974,320.337,0.001,320337,0.18811,0.06476,2960,51420,1
276.569,7169.639,2962,262.269,0.0,262269,0.14145,0.03861,2948,51044,1
313.53,5551.059,2974,299.338,0.0,299338,0.17409,0.05654,2960,51716,1
334.68,5415.33,2950,321.17,0.0,321170,0.1856,0.06186,3121,52592,1
336.479,4722.489,1135,322.479,0.002,322479,0.19705,0.07132,1121,52704,1
312.321,5280.743,1134,297.985,0.001,297985,0.17849,0.0592,1120,50696,1
334.771,4808.186,1134,320.771,0.001,320771,0.20046,0.06969,1120,52688,1
331.128,4626.029,1134,317.104,0.0,317104,0.20101,0.07165,1120,52672,1
294.203,7105.693,2974,280.011,0.0,280011,0.153,0.04145,2960,51664,1
308.981,4985.482,1135,294.945,0.0,294945,0.18766,0.06204,1121,52584,1
317.116,4988.021,1134,302.78,0.0,302780,0.18901,0.06364,1120,50784,1
313.112,5036.179,1133,298.668,0.0,298668,0.1863,0.06223,1119,50528,1
308.981,5452.212,2962,294.981,0.0,294981,0.17951,0.05673,2948,52656,1
315.013,4948.881,1134,300.677,0.0,300677,0.18756,0.06372,1120,50760,1
315.162,5779.703,2974,300.634,0.0,300634,0.17582,0.05458,2960,49864,1
280.297,6907.23,2974,266.105,0.0,266105,0.15278,0.04062,2960,51704,1
