Average Packet Size,Flow Bytes/s,Fwd Packet Length Mean,Max Packet Length,Fwd IAT Min,Total Length of Fwd Packets,Flow IAT Mean,Fwd IAT Std,Fwd Packet Length Max,Fwd Header Length,Label
83.528,711.613,406,66.508,0.001,16627,0.48768,0.11785,392,10212,1
331.924,2209.549,4434,315.08,0.0,78770,0.6639,0.15083,4420,10320,1
62.176,9904.921,347,46.12,0.001,11530,0.05207,0.0063,333,10956,1
60.0,34340.738,60,44.0,0.0,11000,0.01178,0.00175,44,11000,1
60.0,34340.738,60,44.0,0.0,11000,0.01179,0.00175,44,11000,1
60.0,68408.811,60,44.0,0.0,11000,0.00777,0.00088,44,11000,1
60.0,74245.297,60,44.0,0.0,11000,0.00706,0.00081,44,11000,1
60.024,118505.532,66,44.02,0.0,11005,0.00328,0.00051,52,11004,1
60.0,69057.276,60,43.988,0.0,10997,0.00625,0.00087,44,10996,1
60.024,74314.353,66,44.02,0.0,11005,0.00633,0.00081,52,11004,1
60.024,118338.249,66,44.032,0.0,11008,0.00498,0.00051,52,11008,1
60.0,69066.497,60,43.988,0.0,10997,0.00624,0.00087,44,10996,1
60.0,120355.289,60,43.984,0.0,10996,0.00404,0.0005,44,10996,1
60.0,73608.071,60,44.0,0.0,11000,0.00706,0.00082,44,11000,1
60.0,69140.992,60,44.0,0.0,11000,0.0064,0.00087,44,11000,1
60.0,120357.22,60,44.0,0.0,11000,0.0051,0.0005,44,11000,1
60.0,73610.239,60,44.0,0.0,11000,0.00706,0.00082,44,11000,1
60.0,68626.33,60,44.0,0.0,11000,0.00773,0.00088,44,11000,1
76.808,380.395,875,60.832,0.001,15208,0.83194,0.20273,861,12272,1
505.104,6507.571,2974,488.56,0.001,122140,1.1591,0.07793,2960,10180,1
876.032,1337469.771,2974,860.088,0.0,215022,0.00231,0.00066,2960,10072,1
1095.232,7032258.065,3005,1079.24,0.001,269810,0.00012,0.00016,2991,10060,1
969.78,1036696.698,4434,953.672,0.0,238418,0.00367,0.00094,4420,10036,1
896.28,241676.104,4163,880.432,0.0,220108,0.01273,0.00372,4149,10060,1
584.9,258205.724,3587,568.932,0.001,142233,0.00991,0.00227,3573,10300,1
656.82,701200.374,2914,640.588,0.0,160147,0.00303,0.00094,2900,10084,1
297.228,7004.562,1514,281.064,0.0,70266,0.22141,0.0426,1500,10292,1
185.456,1334.719,1514,168.972,0.0,42243,0.51963,0.13951,1500,10572,1
60.0,4011767.852,60,42.112,0.0,10528,2e-05,2e-05,44,10528,1
60.0,1591680.815,60,42.064,0.0,10516,0.00037,4e-05,44,10516,1
60.0,910304.649,60,42.016,-0.001,10504,0.00082,7e-05,44,10504,1
60.0,917992.656,60,41.984,0.0,10496,0.00081,7e-05,44,10496,1
60.0,517884.27,60,42.032,0.0,10508,0.00115,0.00012,44,10508,1
60.0,921602.359,60,41.984,0.0,10496,0.00081,7e-05,44,10496,1
60.0,14559.389,60,42.048,0.0,10512,0.06506,0.00414,44,10512,1
60.0,3785966.683,60,41.984,0.0,10496,2e-05,2e-05,44,10496,1
60.0,263333.45,60,42.384,0.0,10596,0.0017,0.00023,44,10596,1
60.0,316308.886,60,42.0,0.0,10500,0.0016,0.00019,44,10500,1
60.0,3897116.134,60,42.016,0.0,10504,2e-05,2e-05,44,10504,1
60.0,555679.04,60,42.08,0.0,10520,0.00106,0.00011,44,10520,1
60.0,469131.169,60,42.016,0.0,10504,0.00127,0.00013,44,10504,1
60.0,327203.717,60,42.016,-0.001,10504,0.00154,0.00018,44,10504,1
60.0,3972457.627,60,42.016,0.0,10504,2e-05,2e-05,44,10504,1
60.0,3874967.709,60,42.0,0.0,10500,2e-05,2e-05,44,10500,1
99.392,2665.576,2974,82.412,-0.001,20603,0.17246,0.03744,2960,10828,1
78.092,1663.009,1814,60.228,-0.001,15057,0.23459,0.04715,1800,10600,1
65.128,3249.766,100,47.432,0.0,11858,0.13936,0.02012,86,10708,1
64.176,915.943,142,46.152,0.0,11538,0.38797,0.07035,128,10744,1
75.264,1757.448,222,57.76,0.0,14440,0.31291,0.043,208,10984,1
112.232,3546.923,436,96.476,0.001,24119,0.13463,0.03177,422,10944,1
76.772,541.262,1088,59.528,-0.001,14882,0.71186,0.14241,1074,10644,1
60.0,4256526.674,60,42.016,-0.001,10504,2e-05,1e-05,44,10504,1
60.0,4316546.763,60,41.984,-0.001,10496,2e-05,1e-05,44,10496,1
60.0,4341534.009,60,42.016,0.0,10504,2e-05,1e-05,44,10504,1
60.0,4211117.35,60,42.0,0.0,10500,2e-05,1e-05,44,10500,1
60.0,4401408.451,60,41.984,0.0,10496,2e-05,1e-05,44,10496,1
60.0,4560656.735,60,42.0,-0.001,10500,2e-05,1e-05,44,10500,1
60.0,4481625.336,60,42.0,0.0,10500,2e-05,1e-05,44,10500,1
60.0,4089422.028,60,42.0,0.0,10500,2e-05,1e-05,44,10500,1
60.0,4368083.867,60,42.0,-0.001,10500,2e-05,1e-05,44,10500,1
60.0,4499100.18,60,42.0,-0.001,10500,2e-05,1e-05,44,10500,1
60.0,4407875.404,60,42.0,0.0,10500,2e-05,1e-05,44,10500,1
60.0,4224162.208,60,42.0,0.0,10500,2e-05,1e-05,44,10500,1
60.0,4411764.706,60,42.0,-0.001,10500,2e-05,1e-05,44,10500,1
60.0,4499100.18,60,42.0,0.0,10500,2e-05,1e-05,44,10500,1
60.0,4420866.49,60,42.0,0.0,10500,2e-05,1e-05,44,10500,1
65.872,1142.779,222,48.336,0.0,12084,0.31189,0.05787,208,10804,1
96.968,3354.714,375,81.304,0.001,20326,0.18786,0.02902,361,11784,1
95.056,646.228,751,78.784,0.0,19696,0.7646,0.14768,737,10784,1
60.0,9558.079,60,44.0,0.0,11000,0.0718,0.0063,44,11000,1
60.0,48220.348,60,44.0,0.0,11000,0.01009,0.00125,44,11000,1
60.0,63929.899,60,44.0,0.0,11000,0.00834,0.00094,44,11000,1
60.0,48222.208,60,44.0,0.0,11000,0.01009,0.00125,44,11000,1
60.0,63913.01,60,44.0,0.0,11000,0.00834,0.00094,44,11000,1
60.0,68718.762,60,44.0,0.0,11000,0.00773,0.00088,44,11000,1
60.0,120208.682,60,44.0,0.0,11000,0.00511,0.0005,44,11000,1
60.0,73558.98,60,44.0,0.0,11000,0.00707,0.00082,44,11000,1
60.0,69042.972,60,44.0,0.0,11000,0.00712,0.00087,44,11000,1
60.0,120215.426,60,44.0,0.0,11000,0.00511,0.0005,44,11000,1
60.0,73556.094,60,44.0,0.0,11000,0.00707,0.00082,44,11000,1
60.0,69059.502,60,44.0,0.0,11000,0.00711,0.00087,44,11000,1
60.0,120270.368,60,44.0,0.0,11000,0.00511,0.0005,44,11000,1
60.0,73611.322,60,44.0,0.0,11000,0.00706,0.00082,44,11000,1
60.0,69137.168,60,44.0,0.0,11000,0.00638,0.00087,44,11000,1
60.0,119920.373,60,44.0,0.0,11000,0.00513,0.0005,44,11000,1
76.596,1075.503,1056,61.684,0.001,15421,0.32567,0.0715,1042,13440,1
87.38,14209.332,2305,71.38,-0.001,17845,0.07208,0.00617,2291,10940,1
160.324,131183.866,2046,144.38,0.0,36095,0.00699,0.00123,2032,10864,1
60.0,36774.53,60,43.904,0.0,10976,0.01136,0.00164,44,10976,1
60.0,36772.006,60,43.968,0.0,10992,0.01182,0.00164,44,10992,1
60.0,141011.901,60,44.0,0.0,11000,0.00603,0.00043,44,11000,1
60.0,74702.311,60,44.0,0.0,11000,0.00848,0.00081,44,11000,1
60.0,73989.671,60,44.0,0.0,11000,0.00848,0.00081,44,11000,1
60.0,138196.626,60,44.0,0.0,11000,0.00594,0.00044,44,11000,1
60.0,75476.255,60,44.0,0.0,11000,0.0083,0.0008,44,11000,1
60.0,73972.522,60,44.0,0.0,11000,0.00834,0.00081,44,11000,1
60.0,138339.374,60,44.0,0.0,11000,0.00588,0.00044,44,11000,1
60.0,75511.591,60,44.0,0.0,11000,0.00829,0.0008,44,11000,1
60.0,74036.416,60,44.0,0.0,11000,0.00829,0.00081,44,11000,1
60.0,141047.702,60,44.0,0.0,11000,0.00588,0.00043,44,11000,1
60.0,74809.983,60,44.0,0.0,11000,0.00722,0.00081,44,11000,1
60.0,74659.552,60,44.0,0.0,11000,0.00837,0.00081,44,11000,1
65.632,2158.066,222,49.448,0.0,12362,0.18454,0.03053,208,11728,1
70.984,1811.565,1056,54.992,0.0,13748,0.28688,0.03934,1042,12384,1
60.0,4369356.248,60,42.016,-0.001,10504,2e-05,1e-05,44,10504,1
60.0,4511278.195,60,41.984,-0.001,10496,2e-05,1e-05,44,10496,1
60.0,4441812.259,60,42.016,0.0,10504,2e-05,1e-05,44,10504,1
60.0,4207573.633,60,42.0,0.0,10500,2e-05,1e-05,44,10500,1
60.0,4405286.344,60,41.984,0.0,10496,2e-05,1e-05,44,10496,1
60.0,4383401.52,60,42.0,0.0,10500,2e-05,1e-05,44,10500,1
