Average Packet Size,Flow Bytes/s,Fwd Packet Length Mean,Max Packet Length,Fwd IAT Min,Total Length of Fwd Packets,Flow IAT Mean,Fwd IAT Std,Fwd Packet Length Max,Fwd Header Length,Label
371.708,1975.991,4074,355.812,0.0,88953,1.23794,0.18887,4060,10908,0
859.572,159154.889,4313,843.244,0.0,210811,0.01505,0.00542,4299,10132,0
735.884,446371.206,4074,719.964,0.001,179991,0.00422,0.00166,4060,10548,0
926.36,1323908.557,4074,910.056,0.0,227514,0.00265,0.0007,4060,10180,0
960.852,1078789.594,4074,944.452,0.0,236113,0.00295,0.00089,4060,10096,0
1185.072,6490984.379,4074,1168.696,0.0,292174,0.00106,0.00018,4060,10012,0
943.008,1139437.995,4074,926.632,0.0,231658,0.00316,0.00083,4060,10132,0
1197.052,5567683.721,4074,1180.748,0.001,295187,0.00104,0.00022,4060,10012,0
1093.404,2302465.444,4074,1077.1,0.0,269275,0.00277,0.00048,4060,10036,0
1186.936,4514025.8,4407,1170.56,0.0,292640,0.00091,0.00026,4393,10012,0
1208.524,5805076.279,4407,1192.172,0.0,298043,0.00106,0.00021,4393,10000,0
1163.06,1631339.172,4074,1146.612,-0.001,286653,0.00322,0.00072,4060,10024,0
1207.748,4959217.528,4074,1191.3,0.001,297825,0.00093,0.00024,4060,10036,0
1169.636,2393283.625,4074,1153.284,0.0,288321,0.00286,0.00049,4060,10036,0
1191.228,2871536.014,4074,1174.9,0.0,293725,0.00318,0.00042,4060,10036,0
1266.492,6133370.784,4074,1249.976,0.0,312494,0.00062,0.00021,4060,10012,0
1147.152,2763768.828,4074,1130.8,0.0,282700,0.00281,0.00042,4060,10024,0
1110.008,2324137.353,4074,1093.488,0.0,273372,0.00174,0.00048,4060,10024,0
1155.268,4959253.408,4074,1138.844,-0.001,284711,0.00151,0.00023,4060,10000,0
1061.672,1528122.103,4074,1045.324,0.0,261331,0.00281,0.0007,4060,10096,0
1111.588,2997874.819,4074,1095.212,0.0,273803,0.00157,0.00037,4060,10000,0
1098.024,1155610.376,4074,1081.72,0.0,270430,0.00401,0.00095,4060,10048,0
1135.932,1136714.059,4074,1119.58,0.0,279895,0.00575,0.001,4060,10000,0
1162.848,2953129.762,4074,1146.496,0.0,286624,0.00225,0.0004,4060,10048,0
1248.012,1856100.086,4074,1231.468,0.002,307867,0.0038,0.00068,4060,10000,0
1202.352,1986334.32,4074,1185.928,0.0,296482,0.00451,0.00061,4060,10060,0
1143.208,789905.422,4074,1126.88,0.001,281720,0.00776,0.00145,4060,10012,0
1154.792,573416.49,4074,1138.248,0.0,284562,0.01035,0.00202,4060,10000,0
957.808,85933.076,4074,941.44,0.001,235360,0.04319,0.01119,4060,10084,0
254.14,3920.997,4074,236.664,0.0,59166,0.1853,0.06508,4060,10552,0
62.616,385.098,85,44.08,0.0,11020,0.48239,0.16325,71,10408,0
264.996,616.538,2158,248.804,0.0,62201,3.79855,0.43154,2144,10276,0
799.096,1890635.499,3781,783.224,-0.001,195806,0.00114,0.00042,3767,10228,0
776.756,1623490.954,2974,760.788,0.0,190197,0.00186,0.00048,2960,10072,0
