Average Packet Size,Flow Bytes/s,Fwd Packet Length Mean,Max Packet Length,Fwd IAT Min,Total Length of Fwd Packets,Flow IAT Mean,Fwd IAT Std,Fwd Packet Length Max,Fwd Header Length,Label
870.682,16079.969,4519,857.494,0.0,428747,1.03766,0.05426,4505,26040,1
1156.728,1117484.19,4410,1142.728,0.001,571364,0.00593,0.00104,4396,26092,1
1151.562,1219332.5,4410,1137.394,0.001,568697,0.00668,0.00095,4396,25740,1
886.972,776287.391,4410,872.972,0.0,436486,0.00485,0.00114,4396,26148,1
1176.72,4567232.305,4410,1162.72,0.0,581360,0.00197,0.00026,4396,27628,1
796.954,62250.408,4410,782.894,0.0,391447,0.05735,0.01283,4396,26588,1
313.076,8236.723,3176,299.076,0.0,149538,0.1073,0.03809,3162,26760,1
298.61,10708.698,2742,284.61,0.0,142305,0.09172,0.02794,2728,26648,1
313.424,8455.315,3176,299.424,0.001,149712,0.10544,0.03714,3162,26740,1
315.142,8753.331,3176,301.142,0.001,150571,0.10668,0.03607,3162,26680,1
300.708,7897.786,3176,286.708,0.001,143354,0.11096,0.03815,3162,26720,1
276.378,9247.425,3176,262.33,0.001,131165,0.09346,0.02995,3162,26592,1
309.098,9025.114,3176,295.098,0.001,147549,0.10058,0.03432,3162,26700,1
272.858,8815.766,2742,258.858,0.001,129429,0.09728,0.03101,2728,26660,1
300.992,8594.355,2742,286.992,0.001,143496,0.10103,0.03509,2728,26700,1
293.296,10933.535,2798,280.192,0.001,140096,0.0846,0.02688,2962,26612,1
314.662,9515.549,3176,300.662,0.001,150331,0.09684,0.03313,3162,26668,1
300.94,8354.404,3176,286.94,0.001,143470,0.10438,0.03609,3162,26720,1
306.934,11393.069,2742,292.934,0.001,146467,0.09027,0.02699,2728,26540,1
956.478,363333.369,1514,942.478,0.0,471239,0.01844,0.00264,1500,26040,1
935.624,533061.378,2742,921.624,0.0,460812,0.00938,0.00176,2728,26040,1
969.484,627929.36,1514,955.484,0.0,477742,0.00913,0.00155,1500,26032,1
999.312,559745.835,1514,985.312,0.0,492656,0.00967,0.00179,1500,26028,1
937.57,534010.056,2742,923.57,0.0,461785,0.00943,0.00176,2728,26040,1
935.624,523862.688,2742,921.624,-0.001,460812,0.00951,0.00179,2728,26040,1
986.836,631909.092,1514,972.836,0.0,486418,0.00937,0.00156,1500,26020,1
983.906,558764.467,1514,969.906,0.0,484953,0.00951,0.00176,1500,26040,1
981.96,551490.039,1838,967.96,0.0,483980,0.00952,0.00178,1824,26040,1
932.728,524909.226,1514,918.728,0.0,459364,0.00944,0.00178,1500,26040,1
961.002,553504.349,1514,947.002,0.0,473501,0.00974,0.00174,1500,26032,1
999.106,654011.565,1514,985.106,0.0,492553,0.00883,0.00153,1500,26028,1
943.362,529730.452,1514,929.362,0.0,464681,0.0095,0.00178,1500,26040,1
950.104,533536.092,2742,936.104,0.0,468052,0.00952,0.00178,2728,26040,1
966.564,636225.527,1514,952.564,0.0,476282,0.00905,0.00152,1500,26020,1
995.49,561714.762,3176,981.49,0.0,490745,0.00956,0.00178,3162,26040,1
932.728,519980.198,1514,918.728,0.0,459364,0.00957,0.0018,1500,26040,1
810.042,616522.87,1514,796.042,0.0,398021,0.00802,0.00132,1500,26148,1
915.352,474549.559,1514,901.352,0.0,450676,0.00938,0.00193,1500,26040,1
978.148,642802.035,1514,964.148,0.0,482074,0.00874,0.00152,1500,26020,1
952.05,554479.399,1514,938.05,0.0,469025,0.0088,0.00172,1500,26040,1
915.146,620972.634,1514,901.146,0.0,450573,0.00761,0.00148,1500,26040,1
992.834,608358.64,1514,978.834,0.0,489417,0.00973,0.00164,1500,26020,1
972.322,562409.694,1514,958.322,0.0,479161,0.00932,0.00173,1500,26040,1
932.728,539276.315,1514,918.728,0.0,459364,0.0094,0.00173,1500,26040,1
955.226,556797.383,1514,941.226,0.0,470613,0.00939,0.00172,1500,26040,1
999.09,689144.503,1838,985.09,0.0,492545,0.00834,0.00145,1824,26020,1
943.362,545992.805,1514,929.362,0.0,464681,0.00929,0.00173,1500,26040,1
963.874,554869.617,1514,949.874,0.0,474937,0.00995,0.00174,1500,26020,1
468.194,17244.464,2742,454.194,0.001,227097,0.08966,0.0272,2728,26560,1
288.182,8186.244,3176,274.014,0.001,137007,0.10282,0.03527,3162,26508,1
297.612,8735.787,2742,283.564,0.0,141782,0.10053,0.03414,2728,26632,1
310.062,7208.41,3176,295.99,0.0,147995,0.12855,0.0431,3162,26676,1
316.222,10513.948,1838,302.222,0.001,151111,0.09305,0.03014,1824,26600,1
250.702,10652.198,2742,236.702,0.001,118351,0.08481,0.02358,2728,26460,1
