Average Packet Size,Flow Bytes/s,Fwd Packet Length Mean,Max Packet Length,Fwd IAT Min,Total Length of Fwd Packets,Flow IAT Mean,Fwd IAT Std,Fwd Packet Length Max,Fwd Header Length,Label
65.4,7604651.163,66,50.8,0.001,508,1e-05,1e-05,52,508,0
64.8,11571428.571,66,49.6,0.001,496,1e-05,1e-05,52,496,0
65.4,7694117.647,66,50.8,0.001,508,1e-05,1e-05,52,508,0
63.0,15.458,66,46.0,0.0,460,7.96978,4.52835,52,460,0
64.8,36.152,66,49.6,0.001,496,5.97467,1.99157,52,496,0
64.8,9391304.348,66,49.6,0.001,496,1e-05,1e-05,52,496,0
66.0,7415730.337,66,52.0,0.001,520,1e-05,1e-05,52,520,0
63.0,9.83,66,46.0,0.001,460,16.31715,7.12073,52,460,0
60.0,5769230.769,60,40.0,0.001,400,1e-05,1e-05,40,400,0
60.0,7500000.0,60,40.0,0.001,400,1e-05,1e-05,40,400,0
60.0,6122448.98,60,40.0,0.001,400,1e-05,1e-05,40,400,0
67.0,17.818,78,50.0,0.001,500,8.43198,4.17794,64,500,0
100.6,97057.405,260,86.6,0.001,866,0.00334,0.00115,246,520,0
166.4,72609.853,260,152.4,0.003,1524,0.00721,0.00255,246,520,0
128.7,1477611.94,173,114.7,0.003,1147,8e-05,0.0001,159,520,0
152.5,2009222.661,252,138.5,0.003,1385,7e-05,8e-05,238,520,0
171.0,2563718.141,414,157.0,0.003,1570,8e-05,7e-05,400,520,0
216.0,4566596.195,506,202.0,0.001,2020,4e-05,5e-05,492,520,0
92.0,2233009.709,170,78.0,0.001,780,2e-05,5e-05,156,520,0
70.0,12.176,78,56.0,0.003,560,19.15935,6.38753,64,560,0
899.0,620042.762,2798,902.8,0.003,9028,0.00468,0.00161,2962,520,0
115.0,725552.05,241,104.0,0.003,1040,0.0004,0.00018,234,520,0
84.4,1610687.023,122,72.0,0.001,720,9e-05,6e-05,108,560,0
768.5,90256.735,2798,772.3,0.001,7723,0.02824,0.00946,2962,520,0
245.5,925367.508,1371,234.5,0.003,2345,0.00057,0.00029,1357,520,0
82.4,9051.762,122,70.0,0.003,700,0.02035,0.01011,108,540,0
464.1,43308.666,1891,450.1,0.078,4501,0.01438,0.01191,1877,540,0
156.5,30056.849,452,142.5,0.001,1425,0.01282,0.00579,438,532,0
164.4,32713.814,871,150.4,0.003,1504,0.01224,0.00558,857,528,0
518.4,86895.303,1484,504.4,0.001,5044,0.0154,0.00663,1470,520,0
624.8,164425.38,1479,610.8,0.001,6108,0.00974,0.00422,1465,520,0
772.5,13005050.505,1479,758.5,0.001,7585,8e-05,7e-05,1465,520,0
87.2,29.212,167,73.2,0.001,732,9.94087,3.3167,153,520,0
65.4,28314.14,78,49.6,0.001,496,0.00505,0.00257,64,496,0
512.9,481.576,1514,498.3,0.048,4983,3.47733,1.18338,1500,528,0
305.6,14147.1,1108,291.6,0.004,2916,0.0414,0.024,1094,520,0
72.8,7491.485,103,57.0,0.001,570,0.0313,0.0108,89,496,0
536.0,37403.003,1514,522.0,0.037,5220,0.03187,0.01592,1500,552,0
222.3,23187.892,863,208.3,0.023,2083,0.02193,0.01065,849,560,0
177.7,23944.592,432,163.1,0.033,1631,0.01592,0.00825,418,524,0
372.8,169508.48,1514,358.8,0.038,3588,0.00602,0.00244,1500,520,0
298.6,179145.668,1017,284.6,0.023,2846,0.00472,0.00185,1003,520,0
169.2,22372.075,425,155.2,0.033,1552,0.01574,0.0084,411,560,0
1121.6,8414103.526,2902,1107.6,0.058,11076,0.00013,0.00015,2888,520,0
1243.9,676400.218,2902,1229.9,0.027,12299,0.00578,0.00204,2888,520,0
404.8,59013.048,1484,390.8,0.028,3908,0.01286,0.00762,1470,540,0
605.7,111542.853,1629,591.7,0.001,5917,0.00957,0.00603,1615,520,0
184.0,47556.279,425,170.0,0.001,1700,0.00698,0.0043,411,564,0
306.5,226182.57,873,292.5,0.001,2925,0.00376,0.00151,859,528,0
564.5,260462.326,1484,550.5,0.003,5505,0.00646,0.00241,1470,528,0
