Average Packet Size,Flow Bytes/s,Fwd Packet Length Mean,Max Packet Length,Fwd IAT Min,Total Length of Fwd Packets,Flow IAT Mean,Fwd IAT Std,Fwd Packet Length Max,Fwd Header Length,Label
179.24,6452.599,1042,165.24,0.0,41310,0.27407,0.02789,1028,13096,1
171.144,2330.761,1042,155.8,0.0,38950,0.88931,0.07372,1028,11352,1
461.212,2105.499,7992,446.828,0.0,111707,1.44715,0.21993,7978,12880,1
500.652,4098.147,1935,486.652,0.004,121663,0.26811,0.12266,1921,13288,1
517.648,4177.445,1935,503.648,0.0,125912,0.27327,0.12441,1921,13272,1
509.2,4101.04,1935,495.2,0.031,123800,0.27034,0.12466,1921,13272,1
274.1,6960.616,1934,258.612,0.0,64653,0.14631,0.03954,1920,11176,1
454.212,4361.745,1935,440.02,0.001,110005,0.24939,0.10455,1921,12944,1
455.688,5630.966,2974,440.752,0.001,110188,0.22702,0.08125,2960,12092,1
212.412,11170.403,1933,196.516,0.0,49129,0.08657,0.01909,1919,10684,1
202.412,31228.767,1932,187.788,0.0,46947,0.03725,0.00651,1918,12192,1
438.324,5482.247,2962,424.18,0.0,106045,0.22248,0.08027,2948,13168,1
433.472,5368.438,2974,418.704,0.0,104676,0.22191,0.08107,2960,12324,1
280.952,7375.409,1934,266.952,0.0,66738,0.15075,0.03825,1920,13176,1
481.304,4223.388,1935,467.304,0.001,116826,0.24689,0.11442,1921,13256,1
518.868,4254.484,1935,504.868,0.005,126217,0.27173,0.12245,1921,13288,1
492.384,4151.017,1935,478.384,0.015,119596,0.25567,0.11909,1921,13288,1
508.992,4169.641,1935,494.992,0.004,123748,0.26922,0.12256,1921,13272,1
452.864,5507.976,2974,438.096,0.001,109524,0.21904,0.08255,2960,12356,1
338.208,8219.95,2974,322.768,0.001,80692,0.15997,0.04131,2960,11336,1
352.868,5248.275,1935,337.764,0.001,84441,0.19523,0.06751,1921,11896,1
296.608,6122.049,1934,281.216,0.0,70304,0.15505,0.04864,1920,11360,1
271.452,7689.286,1935,257.452,0.0,64363,0.12187,0.03544,1921,13144,1
262.836,8624.861,1935,248.836,0.0,62209,0.12877,0.0306,1921,13144,1
499.396,4185.051,1936,485.396,0.048,121349,0.25906,0.11981,1922,13272,1
401.544,5679.923,2962,387.544,0.0,96886,0.20832,0.07098,2948,13272,1
459.624,5698.529,2962,445.624,0.0,111406,0.21404,0.08098,2948,13256,1
217.78,17349.449,1934,203.3,0.0,50825,0.08417,0.0126,1920,12260,1
377.836,5067.241,1935,363.02,0.001,90755,0.20019,0.07486,1921,12196,1
499.268,4180.208,1935,485.268,0.004,121317,0.2629,0.11992,1921,13288,1
453.192,5572.356,2974,438.424,0.0,109606,0.22102,0.08166,2960,12340,1
377.924,4865.898,1935,363.06,0.0,90765,0.20108,0.07798,1921,12168,1
224.152,12055.403,1934,208.424,0.0,52106,0.09953,0.01867,1920,10672,1
444.172,4371.727,1935,429.692,0.001,107423,0.23701,0.10201,1921,12768,1
398.868,4939.048,1936,384.868,0.0,96217,0.21342,0.08108,1922,13216,1
295.476,7088.345,1935,281.476,0.0,70369,0.15567,0.04185,1921,13176,1
312.196,5666.04,1935,298.196,0.0,74549,0.18078,0.05532,1921,13176,1
298.884,6551.271,1934,283.468,0.0,70867,0.16154,0.04581,1920,11384,1
456.02,4299.752,1935,441.708,0.0,110427,0.23665,0.10648,1921,12968,1
509.004,4103.803,1935,495.004,0.001,123751,0.26548,0.12453,1921,13272,1
431.636,4904.105,2974,416.868,0.001,104217,0.23568,0.08837,2960,12344,1
500.624,4201.065,1934,486.624,0.004,121656,0.26004,0.11964,1920,13288,1
281.176,6569.592,1936,265.688,0.0,66422,0.16583,0.04297,1922,11208,1
482.132,4125.572,1935,467.892,0.003,116973,0.25712,0.11733,1921,13112,1
509.016,4160.221,1934,495.016,0.004,123754,0.26512,0.12284,1920,13280,1
480.72,4247.304,1935,466.72,0.001,116680,0.25001,0.11364,1921,13288,1
309.832,6642.079,1936,295.832,0.0,73958,0.16293,0.04683,1922,13144,1
453.8,4161.812,1935,439.608,0.001,109902,0.25059,0.10948,1921,13016,1
480.232,5195.501,2974,465.608,0.0,116402,0.22852,0.0928,2960,12560,1
301.076,6780.363,1935,285.588,0.0,71397,0.156,0.04458,1921,11200,1
271.44,7104.173,1934,257.44,0.0,64360,0.14377,0.03836,1920,13144,1
508.992,4251.213,1935,494.992,0.001,123748,0.26456,0.12021,1921,13272,1
264.256,6883.491,1935,248.624,0.0,62156,0.1309,0.03854,1921,11128,1
396.736,6393.014,2962,382.736,0.0,95684,0.18403,0.06231,2948,13240,1
329.608,5618.538,1936,315.608,0.0,78902,0.1781,0.0589,1922,13160,1
271.412,7518.845,1935,257.412,0.001,64353,0.133,0.03624,1921,13144,1
264.22,7414.877,1934,250.22,0.0,62555,0.14102,0.03578,1920,13144,1
516.244,4165.056,1935,502.244,0.003,125561,0.25525,0.12444,1921,13272,1
490.68,4131.398,1934,476.68,0.004,119170,0.25231,0.11925,1920,13304,1
