Model,File,Packet Size,Accuracy,Macro F1 Score,Micro F1 Score,Weighted F1 Score,Macro Precision,Micro Precision,Cohen's Kappa,Precision_0,Recall_0,F1_0,Precision_1,Recall_1,F1_1,Precision_2,Recall_2,F1_2,Precision_3,Recall_3,F1_3,Precision_4,Recall_4,F1_4,Precision_5,Recall_5,F1_5,Precision_6,Recall_6,F1_6,Precision_7,Recall_7,F1_7,Precision_8,Recall_8,F1_8,Precision_macro avg,Recall_macro avg,F1_macro avg,Precision_weighted avg,Recall_weighted avg,F1_weighted avg
Random Forest,combined_10_packets.csv,10,0.790,0.728,0.790,0.793,0.787,0.790,0.741,0.614,0.757,0.678,0.899,0.784,0.838,0.902,0.866,0.884,0.931,0.890,0.910,0.785,0.636,0.703,0.907,0.897,0.902,0.910,0.821,0.863,0.500,0.100,0.167,0.638,0.581,0.608,0.787,0.704,0.728,0.802,0.790,0.793
Gradient Boosting,combined_10_packets.csv,10,0.764,0.699,0.764,0.770,0.753,0.764,0.708,0.543,0.796,0.646,0.985,0.769,0.864,0.944,0.822,0.878,0.887,0.862,0.874,0.965,0.621,0.755,0.857,0.894,0.875,0.937,0.774,0.847,0.000,0.000,0.000,0.655,0.472,0.549,0.753,0.668,0.699,0.798,0.764,0.770
SVM,combined_10_packets.csv,10,0.685,0.591,0.685,0.660,0.712,0.685,0.607,0.478,0.801,0.598,0.976,0.662,0.789,0.759,0.823,0.790,0.753,0.689,0.720,1.000,0.536,0.698,0.747,0.844,0.793,0.895,0.741,0.811,0.000,0.000,0.000,0.801,0.064,0.119,0.712,0.573,0.591,0.745,0.685,0.660
k-NN,combined_10_packets.csv,10,0.755,0.707,0.755,0.759,0.833,0.755,0.697,0.554,0.733,0.631,0.907,0.766,0.830,0.884,0.845,0.864,0.908,0.868,0.888,0.876,0.614,0.722,0.911,0.870,0.890,0.883,0.798,0.838,1.000,0.100,0.182,0.575,0.470,0.517,0.833,0.674,0.707,0.772,0.755,0.759
Logistic Regression,combined_10_packets.csv,10,0.499,0.419,0.499,0.460,0.436,0.499,0.400,0.498,0.123,0.197,0.600,0.597,0.598,0.474,0.830,0.604,0.337,0.668,0.448,0.457,0.525,0.489,0.524,0.168,0.255,0.686,0.786,0.733,0.005,0.400,0.010,0.346,0.586,0.436,0.436,0.520,0.419,0.528,0.499,0.460
Random Forest,combined_50_packets.csv,50,0.814,0.754,0.814,0.817,0.767,0.814,0.771,0.653,0.784,0.713,0.959,0.898,0.927,0.933,0.878,0.905,0.938,0.921,0.929,0.926,0.843,0.882,0.915,0.913,0.914,0.907,0.815,0.859,0.000,0.000,0.000,0.671,0.634,0.652,0.767,0.743,0.754,0.825,0.814,0.817
Gradient Boosting,combined_50_packets.csv,50,0.803,0.748,0.803,0.807,0.768,0.803,0.757,0.611,0.819,0.700,0.981,0.885,0.931,0.954,0.857,0.903,0.927,0.933,0.930,0.915,0.843,0.877,0.904,0.903,0.904,0.928,0.781,0.848,0.000,0.000,0.000,0.688,0.592,0.636,0.768,0.735,0.748,0.824,0.803,0.807
SVM,combined_50_packets.csv,50,0.706,0.623,0.706,0.689,0.736,0.706,0.633,0.485,0.868,0.622,0.994,0.740,0.849,0.856,0.773,0.812,0.804,0.878,0.840,1.000,0.483,0.652,0.774,0.837,0.804,0.933,0.738,0.824,0.000,0.000,0.000,0.774,0.117,0.204,0.736,0.604,0.623,0.772,0.706,0.689
k-NN,combined_50_packets.csv,50,0.776,0.718,0.776,0.778,0.736,0.776,0.723,0.596,0.749,0.664,0.925,0.838,0.879,0.901,0.865,0.883,0.911,0.872,0.891,0.878,0.809,0.842,0.907,0.880,0.894,0.861,0.793,0.826,0.000,0.000,0.000,0.640,0.533,0.582,0.736,0.704,0.718,0.787,0.776,0.778
Logistic Regression,combined_50_packets.csv,50,0.615,0.569,0.615,0.612,0.581,0.615,0.536,0.514,0.262,0.347,0.983,0.745,0.847,0.673,0.822,0.740,0.547,0.927,0.688,0.602,0.562,0.581,0.754,0.612,0.676,0.778,0.753,0.765,0.000,0.000,0.000,0.378,0.658,0.480,0.581,0.593,0.569,0.646,0.615,0.612
