Model,File,Packet Size,Adjusted Rand Index,Adjusted Mutual Information,Silhouette Score,Homogeneity,Completeness,V-Measure
DBSCAN,combined_10_packets.csv,10,0.008,0.045,0.142,0.025,0.230,0.045
DBSCAN,combined_50_packets.csv,50,0.010,0.054,0.049,0.033,0.171,0.056
DBSCAN,combined_100_packets.csv,100,0.026,0.101,-0.008,0.068,0.213,0.103
DBSCAN,combined_250_packets.csv,250,0.136,0.286,-0.259,0.296,0.290,0.293
DBSCAN,combined_500_packets.csv,500,0.198,0.417,0.173,0.471,0.388,0.425
DBSCAN,combined_750_packets.csv,750,0.163,0.391,0.153,0.431,0.377,0.403
DBSCAN,combined_1000_packets.csv,1000,0.160,0.396,0.113,0.417,0.402,0.409
DBSCAN,combined_5000_packets.csv,5000,0.149,0.346,0.097,0.293,0.501,0.370
DBSCAN,combined_10000_packets.csv,10000,0.0,0.0,0.0,0.0,0.0,0.0
DBSCAN,combined_10_packets.csv,10,0.008,0.045,0.019,0.026,0.240,0.047
DBSCAN,combined_50_packets.csv,50,0.008,0.057,0.042,0.035,0.188,0.059
DBSCAN,combined_100_packets.csv,100,0.022,0.093,-0.097,0.062,0.228,0.098
DBSCAN,combined_250_packets.csv,250,0.129,0.282,-0.210,0.284,0.292,0.288
DBSCAN,combined_500_packets.csv,500,0.194,0.413,0.140,0.485,0.374,0.423
DBSCAN,combined_750_packets.csv,750,0.182,0.400,0.168,0.454,0.378,0.413
DBSCAN,combined_1000_packets.csv,1000,0.180,0.412,0.138,0.470,0.393,0.428
DBSCAN,combined_5000_packets.csv,5000,0.180,0.381,0.128,0.326,0.526,0.403
DBSCAN,combined_10000_packets.csv,10000,0.141,0.264,-0.012,0.213,0.527,0.303
