Average Packet Size,Flow Bytes/s,Fwd Packet Length Mean,Max Packet Length,Fwd IAT Min,Total Length of Fwd Packets,Flow IAT Mean,Fwd IAT Std,Fwd Packet Length Max,Fwd Header Length,Label
242.674,1091.569,2974,228.315,0.0,2283154,3.61615,0.22234,3121,486032,0
323.524,4740.43,7306,309.302,0.0,3093017,0.38057,0.06825,7292,515448,1
312.853,5458.293,2974,298.762,0.0,2987624,0.17227,0.05732,3121,518612,1
320.66,5272.339,2974,306.517,0.0,3065168,0.18193,0.06083,3121,516068,1
242.674,1091.569,2974,228.315,0.0,2283154,3.61615,0.22234,3121,486032,0
100.365,3679.971,2974,85.923,-0.001,859228,0.16666,0.02728,2960,514256,2
324.68,20495.454,8454,310.348,-0.001,3103480,0.1128,0.01584,8440,516820,2
104.438,4042.406,5858,89.968,-0.001,899680,0.13153,0.02584,5844,513212,2
101.771,3773.888,2974,87.321,-0.001,873207,0.18284,0.02697,2960,513412,2
92.768,3281.917,2974,78.302,0.0,783025,0.20376,0.02827,2960,513072,2
98.975,3524.292,2974,84.514,0.0,845139,0.16395,0.02809,3121,510464,2
108.761,4121.086,2974,94.377,0.0,943771,0.17825,0.02639,3121,512548,2
94.842,3507.942,2962,80.331,-0.001,803310,0.18108,0.02704,2948,510148,2
101.433,3513.886,4170,86.936,-0.001,869360,0.2039,0.02887,4156,511484,2
98.789,3640.773,2974,84.294,0.0,842943,0.18842,0.02714,2960,511248,2
95.993,3507.931,2974,81.542,-0.001,815419,0.21221,0.02737,3121,511140,2
97.192,3535.686,2974,82.704,-0.001,827035,0.17277,0.02749,2960,511356,2
97.57,3560.235,2974,83.055,-0.001,830548,0.20557,0.02741,2960,510272,2
216.129,1464.332,2974,201.048,-0.001,2010480,2.20606,0.14761,3121,461744,0
217.669,1503.242,2974,202.731,-0.001,2027312,2.04569,0.14481,3121,472764,0
191.651,2943.788,5538,177.403,-0.001,1774029,0.86783,0.06511,5524,509340,5
164.416,8867.0,2974,150.31,-0.001,1503099,0.10813,0.01854,2960,518860,5
161.231,7530.553,2974,147.187,-0.001,1471874,0.13675,0.02141,2960,522932,5
162.038,8471.577,2974,147.927,0.0,1479273,0.09477,0.01913,2960,518032,5
161.62,7858.323,2962,147.583,0.0,1475827,0.10699,0.02057,2948,521184,5
168.711,9524.785,3141,154.538,-0.002,1545379,0.08756,0.01771,3127,513296,5
166.682,8333.486,2974,152.557,0.0,1525571,0.1146,0.02,2960,516692,5
164.944,8960.497,5538,150.833,0.0,1508328,0.09349,0.01841,5524,518004,5
161.702,8087.992,2974,147.59,0.0,1475905,0.12079,0.01999,2960,517312,5
163.278,8980.923,2974,149.225,-0.001,1492246,0.10177,0.01818,3121,518084,5
166.829,8572.361,2974,152.73,0.0,1527295,0.10451,0.01946,2960,518380,5
161.043,8537.559,2974,146.894,-0.001,1468945,0.10348,0.01886,2960,515688,5
163.784,8318.927,2974,149.598,0.0,1495981,0.10966,0.01969,2960,513676,5
208.59,11782.503,4410,194.532,0.0,1945324,0.09011,0.01771,4396,520236,5
510.178,37984.678,4410,496.169,-0.001,4961686,0.09285,0.01343,4396,522640,5
163.964,8064.439,2974,149.876,-0.001,1498757,0.12763,0.02033,2960,519116,5
978.613,43979.512,4434,962.258,-0.001,9622584,0.6394,0.02225,4420,404568,0
792.44,43989.415,4434,776.357,-0.001,7763570,0.25773,0.01802,4420,411548,0
561.842,15408.461,4477,545.538,-0.001,5455381,0.36216,0.03647,4463,411876,0
441.747,12250.14,4620,425.195,-0.001,4251954,0.34684,0.03606,4606,417524,0
692.622,19385.311,7354,676.116,-0.01,6761161,0.8836,0.03573,7340,416316,0
206.034,10555.412,4434,189.371,-0.001,1893706,0.2828,0.01952,4420,426596,6
65.724,4104.248,2974,48.511,-0.001,485115,0.20222,0.01602,2960,429336,6
64.183,12177.901,2305,47.418,-0.001,474183,0.08982,0.00527,2291,436884,6
65.846,4178.258,1484,48.156,-0.001,481556,0.27075,0.01576,1470,425364,6
76.801,28245.34,2974,59.243,-0.002,592432,0.0635,0.00272,2960,424944,6
158.446,31439.535,2974,141.621,-0.003,1416209,0.1412,0.00504,2960,426180,6
312.062,15597.155,4787,294.901,-0.001,2949005,0.21333,0.02001,4773,420036,6
1027.552,1228859.592,5030,1011.432,0.0,10114319,0.00537,0.00084,5016,405176,6
110.255,16412.95,4385,93.289,-0.011,932892,0.04067,0.00672,4371,429020,6
60.939,14433.836,1082,44.145,-0.001,441447,0.03608,0.00422,1068,437204,6
70.728,4644.976,5574,53.093,-0.001,530935,0.18611,0.01523,5560,425396,6
79.712,19973.153,2974,61.999,-0.012,619988,0.07614,0.00399,2960,423468,6
168.843,10132.704,4434,152.002,-0.001,1520018,0.59959,0.01666,4420,428504,6
64.333,4026.385,1090,46.58,-0.001,465800,0.23731,0.01598,1076,424152,6
60.804,13530.895,1075,44.555,-0.001,445554,0.08009,0.00449,1061,441892,6
69.547,6256.431,6010,51.799,-0.001,517989,0.13927,0.01112,5996,424192,6
64.297,9335.244,1484,46.781,-0.001,467810,0.16721,0.00689,1470,425272,6
205.205,33090.687,4434,187.882,-0.001,1878825,0.17383,0.0062,4420,422084,6
379.643,33812.699,4787,363.065,-0.002,3630652,0.1435,0.01123,4773,423072,6
223.735,18976.358,4434,206.41,-0.001,2064103,0.21359,0.01179,4420,420692,6
916.939,1073426.442,10274,901.055,-0.001,9010549,0.00359,0.00085,10260,415808,6
129.186,24478.119,4434,112.996,0.0,1129955,0.02524,0.00528,4420,437912,6
171.415,27414.304,4434,154.329,-0.001,1543290,0.02951,0.00625,4420,426708,6
124.165,18663.505,4434,106.603,-0.001,1066030,0.05123,0.00665,4420,420544,6
180.896,27803.609,4434,163.608,-0.001,1636082,0.05277,0.00651,4420,422424,6
81.758,13221.915,2974,64.112,-0.001,641118,0.07799,0.00618,2960,424176,6
474.169,42829.259,4434,458.119,-0.001,4581193,0.22916,0.01107,4420,421428,6
536.932,26993.21,5894,520.41,-0.001,5204097,0.14895,0.01989,5880,410788,0
367.261,16227.422,4434,350.75,-0.001,3507502,0.18125,0.02263,4420,414252,0
589.739,44063.801,6310,573.421,-0.001,5734212,0.1413,0.01339,6296,413936,0
523.271,10433.388,18774,506.78,-0.001,5067801,0.30353,0.05016,18760,408204,0
723.724,339469.843,5894,707.558,-0.001,7075578,0.01372,0.00213,5880,412796,0
514.13,14491.534,4516,497.525,0.0,4975248,0.19436,0.03548,4502,414352,0
651.678,27924.775,5894,635.336,-0.001,6353357,0.19838,0.02334,5880,412508,0
600.534,13930.667,10526,583.993,-0.001,5839926,0.2585,0.04311,10512,420832,0
493.727,11457.873,4434,477.417,0.0,4774167,0.30083,0.04309,4420,413144,0
540.346,15410.191,8814,524.145,-0.001,5241453,0.30385,0.03507,8800,414344,0
422.869,7956.988,4434,406.227,-0.001,4062267,0.30649,0.05315,4420,409076,0
582.598,51188.372,5894,566.355,-0.001,5663551,0.10973,0.01138,5880,414260,0
588.061,143002.924,5894,571.567,-0.001,5715668,0.01466,0.00411,5880,410768,8
272.776,30652.061,6088,256.359,0.0,2563586,0.02252,0.0089,6074,413452,8
470.058,51368.373,8792,453.781,-0.001,4537815,0.04169,0.00915,8778,406996,8
420.383,10570.201,21654,403.972,0.0,4039719,0.21977,0.03977,21640,412320,8
436.585,19863.06,8792,420.167,0.0,4201671,0.11723,0.02198,8778,412384,8
341.106,12732.929,8792,324.672,0.0,3246718,0.14001,0.02679,8778,410808,8
426.809,26801.344,8792,410.374,-0.001,4103742,0.0869,0.01593,8778,410600,8
418.091,22625.877,8792,401.602,0.0,4016020,0.09,0.01848,8778,412380,8
