Average Packet Size,Flow Bytes/s,Fwd Packet Length Mean,Max Packet Length,Fwd IAT Min,Total Length of Fwd Packets,Flow IAT Mean,Fwd IAT Std,Fwd Packet Length Max,Fwd Header Length,Label
206.848,1031.101,2974,191.84,0.0,47960,1.6079,0.20141,2960,11852,1
386.432,2116.885,7306,371.856,0.0,92964,1.1184,0.18328,7292,12604,1
382.688,3677.247,5858,368.688,0.0,92172,0.9081,0.10449,5844,13192,1
331.86,6826.513,2974,317.26,0.0,79315,0.15331,0.04881,2960,12332,1
332.88,4685.351,1134,318.712,0.001,79678,0.19964,0.07133,1120,13092,1
236.652,9677.491,1133,221.308,0.001,55327,0.09231,0.02455,1119,11208,1
333.12,4686.185,1133,319.12,0.003,79780,0.19019,0.07137,1119,13192,1
335.78,6867.308,2962,321.78,0.0,80445,0.15952,0.04909,2948,13192,1
341.656,4686.252,1134,327.656,0.003,81914,0.18687,0.0732,1120,13160,1
342.992,4758.921,1134,328.992,0.001,82248,0.19929,0.07236,1120,13184,1
334.544,6660.43,2962,320.544,0.0,80136,0.15741,0.05043,2948,13168,1
342.84,4768.155,1133,328.84,0.003,82210,0.19061,0.07219,1119,13176,1
336.808,4667.994,1134,322.808,0.003,80702,0.19502,0.07244,1120,13160,1
339.0,4675.247,1133,325.0,0.003,81250,0.19199,0.0728,1119,13176,1
337.44,4609.482,1133,323.44,0.003,80860,0.19342,0.0735,1119,13160,1
315.696,5740.992,1134,301.696,0.0,75424,0.16206,0.05521,1120,13160,1
250.944,6797.704,1133,236.944,0.0,59236,0.12972,0.03706,1119,13128,1
331.836,6649.872,2974,317.068,0.001,79267,0.16118,0.0501,2960,12272,1
342.728,4801.037,1133,328.728,0.0,82182,0.18433,0.07167,1119,13176,1
341.884,4540.018,1134,327.884,0.003,81971,0.19682,0.07561,1120,13160,1
313.968,5646.781,1134,299.968,0.001,74992,0.16618,0.05582,1120,13160,1
243.564,7514.638,1135,229.564,0.0,57391,0.13653,0.03254,1121,13112,1
340.86,6322.003,2974,326.092,0.0,81523,0.16979,0.05413,2960,12276,1
327.024,4941.204,1134,313.024,0.003,78256,0.17485,0.06645,1120,13160,1
347.16,4676.881,1134,333.16,0.003,83290,0.19529,0.07453,1120,13176,1
341.7,4599.887,1134,327.7,0.003,81925,0.20069,0.07458,1120,13176,1
342.976,4829.993,1133,328.976,0.003,82244,0.18598,0.07129,1119,13176,1
331.54,7113.933,2974,316.772,0.001,79193,0.15788,0.04679,2960,12260,1
235.092,10662.954,1134,221.092,0.0,55273,0.08881,0.02214,1120,13112,1
