Model,File,Packet Size,Accuracy,Macro F1 Score,Micro F1 Score,Weighted F1 Score,Macro Precision,Micro Precision,Cohen's Kappa,Precision_0,Recall_0,F1_0,Precision_1,Recall_1,F1_1,Precision_macro avg,Recall_macro avg,F1_macro avg,Precision_weighted avg,Recall_weighted avg,F1_weighted avg,max 1
Gradient Boosting,combined_10_packets.csv,10,0.951,0.949,0.951,0.951,0.949,0.951,0.898,0.958,0.957,0.958,0.94,0.942,0.941,0.949,0.949,0.949,0.951,0.951,0.951,0.0
Gradient Boosting,combined_10_packets.csv,10,0.951,0.949,0.951,0.951,0.949,0.951,0.898,0.958,0.957,0.958,0.94,0.942,0.941,0.949,0.949,0.949,0.951,0.951,0.951,0.0
Gradient Boosting,combined_50_packets.csv,50,0.964,0.963,0.964,0.964,0.963,0.964,0.926,0.971,0.968,0.969,0.955,0.959,0.957,0.963,0.963,0.963,0.964,0.964,0.964,0.0
Gradient Boosting,combined_100_packets.csv,100,0.978,0.978,0.978,0.978,0.979,0.978,0.955,0.975,0.988,0.982,0.983,0.965,0.974,0.979,0.976,0.978,0.978,0.978,0.978,0.0
Gradient Boosting,combined_250_packets.csv,250,0.982,0.981,0.982,0.982,0.982,0.982,0.963,0.98,0.989,0.985,0.985,0.971,0.978,0.982,0.98,0.981,0.982,0.982,0.982,0.0
Gradient Boosting,combined_500_packets.csv,500,0.984,0.983,0.984,0.984,0.984,0.984,0.966,0.982,0.99,0.986,0.986,0.974,0.98,0.984,0.982,0.983,0.984,0.984,0.984,2.0
Gradient Boosting,combined_750_packets.csv,750,0.983,0.982,0.983,0.983,0.983,0.983,0.964,0.982,0.988,0.985,0.984,0.974,0.979,0.983,0.981,0.982,0.983,0.983,0.983,0.0
Gradient Boosting,combined_1000_packets.csv,1000,0.987,0.986,0.987,0.987,0.986,0.987,0.972,0.989,0.988,0.988,0.983,0.985,0.984,0.986,0.986,0.986,0.987,0.987,0.987,15.0
Gradient Boosting,combined_5000_packets.csv,5000,0.982,0.982,0.982,0.982,0.98,0.982,0.963,0.992,0.977,0.985,0.968,0.989,0.979,0.98,0.983,0.982,0.982,0.982,0.982,2.0
Gradient Boosting,combined_10000_packets.csv,10000,0.973,0.972,0.973,0.973,0.972,0.973,0.945,0.977,0.977,0.977,0.968,0.968,0.968,0.972,0.972,0.972,0.973,0.973,0.973,0.0
,,Best,[1000],[1000],[1000],[1000],[1000],[1000],[1000],[5000],[500],[1000],[500],[5000],[1000],[1000],[1000],[1000],[1000],[1000],[1000],
