Model,File,Packet Size,Accuracy,Macro F1 Score,Micro F1 Score,Weighted F1 Score,Macro Precision,Micro Precision,Cohen's Kappa,Precision_0,Recall_0,F1_0,Precision_1,Recall_1,F1_1,Precision_macro avg,Recall_macro avg,F1_macro avg,Precision_weighted avg,Recall_weighted avg,F1_weighted avg,max 1
Logistic Regression,combined_10_packets.csv,10,0.923,0.92,0.923,0.922,0.923,0.923,0.84,0.921,0.949,0.935,0.926,0.885,0.905,0.923,0.917,0.92,0.923,0.923,0.922,0.0
Logistic Regression,combined_50_packets.csv,50,0.936,0.934,0.936,0.936,0.935,0.936,0.868,0.938,0.953,0.946,0.933,0.912,0.922,0.935,0.933,0.934,0.936,0.936,0.936,0.0
Logistic Regression,combined_100_packets.csv,100,0.931,0.929,0.931,0.931,0.93,0.931,0.857,0.937,0.945,0.941,0.922,0.911,0.916,0.93,0.928,0.929,0.931,0.931,0.931,0.0
Logistic Regression,combined_250_packets.csv,250,0.951,0.949,0.951,0.951,0.948,0.951,0.899,0.97,0.944,0.957,0.925,0.96,0.942,0.948,0.952,0.949,0.951,0.951,0.951,0.0
Logistic Regression,combined_500_packets.csv,500,0.951,0.95,0.951,0.951,0.948,0.951,0.899,0.97,0.945,0.957,0.926,0.959,0.942,0.948,0.952,0.95,0.951,0.951,0.951,0.0
Logistic Regression,combined_750_packets.csv,750,0.95,0.949,0.95,0.95,0.947,0.95,0.898,0.973,0.94,0.956,0.92,0.964,0.941,0.947,0.952,0.949,0.951,0.95,0.95,0.0
Logistic Regression,combined_1000_packets.csv,1000,0.95,0.949,0.95,0.95,0.946,0.95,0.898,0.981,0.933,0.956,0.911,0.974,0.942,0.946,0.953,0.949,0.952,0.95,0.95,0.0
Logistic Regression,combined_5000_packets.csv,5000,0.98,0.979,0.98,0.98,0.978,0.98,0.959,0.992,0.973,0.983,0.963,0.989,0.976,0.978,0.981,0.979,0.98,0.98,0.98,17.0
Logistic Regression,combined_10000_packets.csv,10000,0.978,0.977,0.978,0.978,0.978,0.978,0.954,0.977,0.985,0.981,0.978,0.968,0.973,0.978,0.976,0.977,0.978,0.978,0.978,4.0
,,Best,[5000],[5000],[5000],[5000],"[5000, 10000]",[5000],[5000],[5000],[10000],[5000],[10000],[5000],[5000],"[5000, 10000]",[5000],[5000],[5000],[5000],[5000],
