Model,File,Packet Size,Accuracy,Macro F1 Score,Micro F1 Score,Weighted F1 Score,Macro Precision,Micro Precision,Cohen's Kappa,Precision_0,Recall_0,F1_0,Precision_1,Recall_1,F1_1,Precision_macro avg,Recall_macro avg,F1_macro avg,Precision_weighted avg,Recall_weighted avg,F1_weighted avg,max 1
SVM,combined_10_packets.csv,10,0.634,0.516,0.634,0.556,0.699,0.634,0.151,0.62,0.966,0.755,0.779,0.168,0.277,0.699,0.567,0.516,0.686,0.634,0.556,0.0
SVM,combined_50_packets.csv,50,0.655,0.555,0.655,0.59,0.733,0.655,0.207,0.634,0.969,0.767,0.832,0.216,0.343,0.733,0.592,0.555,0.717,0.655,0.59,0.0
SVM,combined_100_packets.csv,100,0.678,0.597,0.678,0.627,0.751,0.678,0.266,0.651,0.965,0.778,0.85,0.275,0.416,0.751,0.62,0.597,0.734,0.678,0.627,0.0
SVM,combined_250_packets.csv,250,0.94,0.938,0.94,0.94,0.939,0.94,0.876,0.943,0.954,0.949,0.935,0.92,0.927,0.939,0.937,0.938,0.94,0.94,0.94,0.0
SVM,combined_500_packets.csv,500,0.945,0.943,0.945,0.945,0.943,0.945,0.887,0.957,0.948,0.953,0.928,0.941,0.934,0.943,0.944,0.943,0.945,0.945,0.945,0.0
SVM,combined_750_packets.csv,750,0.948,0.947,0.948,0.948,0.945,0.948,0.893,0.964,0.946,0.955,0.926,0.951,0.938,0.945,0.948,0.947,0.948,0.948,0.948,0.0
SVM,combined_1000_packets.csv,1000,0.951,0.95,0.951,0.951,0.948,0.951,0.9,0.978,0.938,0.957,0.918,0.97,0.943,0.948,0.954,0.95,0.953,0.951,0.951,0.0
SVM,combined_5000_packets.csv,5000,0.975,0.975,0.975,0.975,0.973,0.975,0.95,0.988,0.969,0.979,0.958,0.984,0.971,0.973,0.977,0.975,0.976,0.975,0.975,2.0
SVM,combined_10000_packets.csv,10000,0.987,0.986,0.987,0.987,0.989,0.987,0.972,0.977,1.0,0.989,1.0,0.968,0.984,0.989,0.984,0.986,0.987,0.987,0.987,17.0
,,Best,[10000],[10000],[10000],[10000],[10000],[10000],[10000],[5000],[10000],[10000],[10000],[5000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],
