Model,File,Packet Size,Accuracy,Macro F1 Score,Micro F1 Score,Weighted F1 Score,Macro Precision,Micro Precision,Cohen's Kappa,Precision_0,Recall_0,F1_0,Precision_1,Recall_1,F1_1,Precision_macro avg,Recall_macro avg,F1_macro avg,Precision_weighted avg,Recall_weighted avg,F1_weighted avg,max 1
k-NN,combined_10_packets.csv,10,0.957,0.956,0.957,0.957,0.955,0.957,0.912,0.967,0.959,0.963,0.943,0.954,0.949,0.955,0.957,0.956,0.957,0.957,0.957,0.0
k-NN,combined_50_packets.csv,50,0.966,0.965,0.966,0.966,0.965,0.966,0.929,0.969,0.972,0.971,0.96,0.957,0.959,0.965,0.964,0.965,0.966,0.966,0.966,0.0
k-NN,combined_100_packets.csv,100,0.977,0.976,0.977,0.977,0.977,0.977,0.952,0.974,0.986,0.98,0.981,0.963,0.972,0.977,0.975,0.976,0.977,0.977,0.977,0.0
k-NN,combined_250_packets.csv,250,0.98,0.98,0.98,0.98,0.981,0.98,0.96,0.979,0.987,0.983,0.982,0.971,0.976,0.981,0.979,0.98,0.98,0.98,0.98,0.0
k-NN,combined_500_packets.csv,500,0.979,0.978,0.979,0.978,0.979,0.979,0.956,0.975,0.988,0.982,0.984,0.964,0.974,0.979,0.976,0.978,0.979,0.979,0.978,0.0
k-NN,combined_750_packets.csv,750,0.979,0.979,0.979,0.979,0.979,0.979,0.957,0.979,0.985,0.982,0.979,0.971,0.975,0.979,0.978,0.979,0.979,0.979,0.979,0.0
k-NN,combined_1000_packets.csv,1000,0.979,0.978,0.979,0.979,0.979,0.979,0.957,0.98,0.984,0.982,0.977,0.972,0.975,0.979,0.978,0.978,0.979,0.979,0.979,0.0
k-NN,combined_5000_packets.csv,5000,0.978,0.977,0.978,0.978,0.976,0.978,0.954,0.988,0.973,0.981,0.963,0.984,0.973,0.976,0.979,0.977,0.978,0.978,0.978,2.0
k-NN,combined_10000_packets.csv,10000,0.982,0.981,0.982,0.982,0.983,0.982,0.963,0.977,0.992,0.985,0.989,0.968,0.978,0.983,0.98,0.981,0.982,0.982,0.982,17.0
,,Best,[10000],[10000],[10000],[10000],[10000],[10000],[10000],[5000],[10000],[10000],[10000],[5000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],
