Average Packet Size,Flow Bytes/s,Fwd Packet Length Mean,Max Packet Length,Fwd IAT Min,Total Length of Fwd Packets,Flow IAT Mean,Fwd IAT Std,Fwd Packet Length Max,Fwd Header Length,Label
68.932,42068.44,75,68.932,0.0,17233,0.00127,0.00165,75,16164,0
69.452,42350.227,75,69.452,0.002,17363,0.00119,0.00165,75,16188,0
69.424,49797.579,82,69.424,0.013,17356,0.00122,0.0014,82,16156,0
70.264,55195.081,84,70.264,0.012,17566,0.00127,0.00128,84,16092,0
70.028,58194.111,93,70.028,-0.03,17507,0.00125,0.00121,93,16053,0
69.78,60338.059,90,69.78,0.008,17445,0.00117,0.00116,90,16156,0
69.972,60049.844,84,69.972,0.01,17493,0.00116,0.00117,84,16116,0
70.196,60544.692,93,70.196,0.01,17549,0.00117,0.00116,93,16116,0
70.312,57936.908,84,70.312,0.01,17578,0.00123,0.00122,84,16092,0
69.788,62955.105,84,69.788,0.01,17447,0.00112,0.00111,84,16108,0
70.448,63367.106,84,70.448,0.011,17612,0.00109,0.00112,84,16116,0
70.26,62842.341,84,70.26,-0.026,17565,0.0011,0.00112,84,16005,0
70.012,58275.928,93,70.012,0.022,17503,0.00119,0.00121,93,16132,0
69.372,57032.457,84,69.372,0.007,17343,0.00119,0.00122,84,16164,0
69.604,56987.064,84,69.604,0.009,17401,0.00119,0.00123,84,16164,0
69.524,58236.0,84,69.524,0.01,17381,0.00119,0.0012,84,16180,0
69.976,56666.235,84,69.976,0.022,17494,0.00122,0.00124,84,16092,0
70.412,58220.99,84,70.412,0.022,17603,0.0012,0.00121,84,16116,0
70.216,59302.852,84,70.216,0.012,17554,0.00118,0.00119,84,16029,0
69.456,59572.658,84,69.456,0.005,17364,0.00117,0.00117,84,16180,0
69.82,57865.459,84,69.82,0.011,17455,0.00121,0.00121,84,16116,0
69.712,60585.413,84,69.712,0.012,17428,0.00115,0.00116,84,16164,0
69.92,59629.601,90,69.92,0.022,17480,0.00115,0.00118,90,16132,0
70.728,61247.606,84,70.728,0.011,17682,0.00112,0.00116,84,16044,0
71.02,59563.347,93,71.02,0.016,17755,0.00119,0.0012,93,16020,0
70.7,62606.262,84,70.7,0.01,17675,0.0011,0.00113,84,15981,0
69.144,46634.095,84,69.144,0.015,17286,0.00093,0.00149,84,16204,0
69.452,44483.671,84,69.452,0.026,17363,0.00097,0.00157,84,16188,0
69.276,48878.302,82,69.276,0.012,17319,0.00097,0.00142,82,16180,0
69.892,58104.464,84,69.892,0.012,17473,0.00119,0.00121,84,16116,0
70.088,58679.919,84,70.088,0.004,17522,0.00118,0.0012,84,16116,0
70.216,56729.383,84,70.216,-0.035,17554,0.00124,0.00124,84,16029,0
68.964,23988.179,84,68.964,0.028,17241,0.00112,0.00289,84,16204,0
69.304,35569.844,82,69.304,0.004,17326,0.00146,0.00196,82,16156,0
69.748,59916.638,84,69.748,0.006,17437,0.00115,0.00117,84,16164,0
69.696,60165.33,84,69.696,0.011,17424,0.00115,0.00116,84,16077,0
69.568,52971.096,84,69.568,0.011,17392,0.00118,0.00132,84,16180,0
69.108,33511.134,75,69.108,0.004,17277,0.00064,0.00207,75,16188,0
69.148,36119.782,75,69.148,0.02,17287,0.00066,0.00192,75,16180,0
