Average Packet Size,Flow Bytes/s,Fwd Packet Length Mean,Max Packet Length,Fwd IAT Min,Total Length of Fwd Packets,Flow IAT Mean,Fwd IAT Std,Fwd Packet Length Max,Fwd Header Length,Label
69.215,44713.511,82,69.215,0.012,51911,0.00098,0.00155,82,48493,1
69.805,61149.357,93,69.805,0.012,52354,0.0011,0.00114,93,48436,1
69.967,60526.334,102,69.967,0.008,52475,0.00116,0.00116,102,48285,1
70.561,57177.215,139,70.561,0.0,52921,0.00232,0.00124,139,47680,1
70.145,59859.411,498,70.145,0.0,52609,0.00113,0.00117,498,48293,1
69.699,60341.613,90,69.699,0.004,52274,0.00114,0.00116,90,48460,1
69.624,63217.765,84,69.624,0.002,52218,0.00108,0.0011,84,48484,1
69.516,64416.052,90,69.516,0.012,52137,0.00103,0.00108,90,48421,1
68.499,68682.185,318,68.499,-0.065,51374,0.00094,0.001,318,42444,1
63.905,75106.284,174,63.905,-0.026,47929,0.00072,0.00085,174,34821,1
69.176,1050.985,246,69.176,0.0,51882,0.32551,0.06591,246,45152,1
69.801,42615.942,323,69.801,0.01,52351,0.00151,0.00164,323,48618,1
71.299,49487.486,93,71.299,0.01,53474,0.00147,0.00144,93,47909,1
70.413,47821.024,84,70.413,0.006,52810,0.00149,0.00147,84,48220,1
70.481,43525.23,147,70.481,0.01,52861,0.00477,0.00162,147,48196,1
70.427,49787.165,246,70.427,0.003,52820,0.00143,0.00142,246,48253,1
69.949,34728.235,93,69.949,-0.001,52462,0.00153,0.00202,93,48364,1
72.183,46276.992,93,72.183,0.01,54137,0.00148,0.00156,93,47677,1
70.735,48746.624,111,70.735,0.009,53051,0.00151,0.00145,111,48164,1
71.252,49562.287,93,71.252,0.009,53439,0.00148,0.00144,93,47980,1
70.497,46696.748,93,70.497,0.008,52873,0.00152,0.00151,93,48157,1
70.407,47809.699,84,70.407,0.01,52805,0.00148,0.00147,84,48244,1
70.859,41125.869,318,70.859,0.01,53144,0.00574,0.00173,318,48037,1
71.013,46164.154,93,71.013,0.006,53260,0.00156,0.00154,93,48076,1
71.719,49091.171,114,71.719,0.002,53789,0.0015,0.00146,114,47884,1
71.196,45383.731,93,71.196,0.001,53397,0.0016,0.00157,93,47957,1
71.671,48865.12,93,71.671,0.01,53753,0.00149,0.00147,93,47832,1
71.305,45480.406,111,71.305,0.01,53479,0.00161,0.00157,111,48004,1
70.757,48263.907,93,70.757,0.011,53068,0.00148,0.00147,93,48085,1
70.496,47249.076,93,70.496,0.01,52872,0.00151,0.00149,93,48196,1
70.659,46951.568,93,70.659,0.007,52994,0.00154,0.00151,93,48109,1
71.473,41338.407,444,71.473,0.01,53605,0.00684,0.00173,444,47932,1
69.328,45391.255,84,69.328,0.009,51996,0.00148,0.00153,84,48548,1
70.445,47515.624,94,70.445,0.0,52834,0.00151,0.00148,94,48053,1
70.487,48270.384,93,70.487,0.005,52865,0.00148,0.00146,93,48244,1
70.123,45608.792,98,70.123,0.009,52592,0.00157,0.00154,98,48316,1
70.363,46703.034,93,70.363,0.01,52772,0.00151,0.00151,93,48181,1
71.483,50346.855,93,71.483,0.0,53612,0.00144,0.00142,93,47956,1
70.832,47607.867,93,70.832,0.002,53124,0.00151,0.00149,93,48061,1
70.508,47586.523,84,70.508,0.01,52881,0.0015,0.00148,84,48196,1
71.232,50846.587,93,71.232,0.01,53424,0.00141,0.0014,93,48052,1
70.7,48939.754,93,70.7,-0.001,53025,0.00147,0.00145,93,48061,1
70.977,49471.807,93,70.977,0.004,53233,0.00146,0.00144,93,48116,1
71.975,40132.543,849,71.975,0.003,53981,0.00884,0.0018,849,47764,1
71.499,50003.217,93,71.499,0.002,53624,0.00145,0.00143,93,47893,1
70.657,47492.98,84,70.657,0.01,52993,0.00151,0.00149,84,48148,1
72.748,53238.295,120,72.748,0.006,54561,0.0014,0.00137,120,47557,1
71.736,50170.04,102,71.736,0.007,53802,0.00142,0.00143,102,47884,1
86.013,71538.913,408,86.013,0.006,64510,0.00116,0.0012,408,44188,1
88.103,76248.03,456,88.103,0.003,66077,0.00113,0.00116,456,44212,1
70.389,48618.178,84,70.389,-0.056,52792,0.00147,0.00145,84,48157,1
70.493,47623.637,93,70.493,0.01,52870,0.00151,0.00148,93,48220,1
70.993,48502.609,93,70.993,0.01,53245,0.00148,0.00147,93,48013,1
70.741,46182.517,106,70.741,0.004,53056,0.00161,0.00153,106,48148,1
70.108,48164.066,90,70.108,0.002,52581,0.00147,0.00146,90,48340,1
70.769,47044.027,93,70.769,0.01,53077,0.00155,0.00151,93,48085,1
71.364,47209.028,102,71.364,0.01,53523,0.00154,0.00151,102,47948,1
71.457,36685.623,738,71.457,0.003,53593,0.01014,0.00195,738,47893,1
70.197,45735.532,84,70.197,0.008,52648,0.00155,0.00154,84,48292,1
71.459,48198.427,93,71.459,0.01,53594,0.00151,0.00148,93,47956,1
70.464,48794.585,94,70.464,0.003,52848,0.00146,0.00145,94,48101,1
70.544,48994.696,93,70.544,0.01,52908,0.00147,0.00144,93,48196,1
70.431,27389.099,93,70.431,0.001,52823,0.00352,0.00257,93,48173,1
70.941,48777.357,93,70.941,0.003,53206,0.00146,0.00146,93,48076,1
71.471,51489.807,323,71.471,0.01,53603,0.00139,0.00139,323,48034,1
70.645,49123.393,93,70.645,0.01,52984,0.00145,0.00144,93,48085,1
69.477,45673.075,84,69.477,0.004,52108,0.00153,0.00152,84,48484,1
