Average Packet Size,Flow Bytes/s,Fwd Packet Length Mean,Max Packet Length,Fwd IAT Min,Total Length of Fwd Packets,Flow IAT Mean,Fwd IAT Std,Fwd Packet Length Max,Fwd Header Length,Label
69.518,46680.186,84,69.518,0.0,69518,0.00125,0.00149,84,64600,0
69.994,59507.676,93,69.994,-0.03,69994,0.00119,0.00118,93,64441,0
70.202,61624.217,84,70.202,-0.026,70202,0.00113,0.00114,84,64321,0
69.628,57621.853,93,69.628,0.007,69628,0.00119,0.00121,93,64640,0
70.015,58170.594,84,70.015,0.005,70015,0.00119,0.0012,84,64417,0
70.045,59432.294,90,70.045,0.011,70045,0.00116,0.00118,90,64456,0
70.079,52145.877,93,70.079,0.01,70079,0.00107,0.00135,93,64393,0
69.868,55313.213,84,69.868,-0.035,69868,0.00115,0.00126,84,64441,0
69.428,38794.286,84,69.428,0.004,69428,0.00142,0.00179,84,64601,0
69.23,40580.947,84,69.23,0.004,69230,0.00092,0.00171,84,64736,0
70.034,53928.684,102,70.034,0.0,70034,0.00111,0.0013,102,64393,0
69.669,60884.254,84,69.669,0.011,69669,0.00114,0.00115,84,64561,0
69.602,59011.051,93,69.602,0.01,69602,0.00119,0.00118,93,64592,0
69.476,57932.633,84,69.476,0.01,69476,0.00119,0.0012,84,64609,0
69.498,38572.799,90,69.498,0.01,69498,0.00151,0.0018,90,64577,0
70.877,62244.607,102,70.877,0.005,70877,0.00113,0.00114,102,64144,0
70.008,59614.458,93,70.008,-0.058,70008,0.00117,0.00118,93,64417,0
70.08,59392.347,94,70.08,-0.059,70080,0.00118,0.00118,94,64376,0
69.687,57749.153,90,69.687,0.006,69687,0.00117,0.00121,90,64561,0
69.568,56936.24,93,69.568,0.002,69568,0.00119,0.00122,93,64585,0
69.394,57136.27,93,69.394,-0.001,69394,0.00119,0.00122,93,64688,0
70.258,59699.945,93,70.258,0.005,70258,0.00118,0.00118,93,64321,0
70.336,59768.865,93,70.336,0.004,70336,0.00116,0.00118,93,64360,0
70.088,62449.546,93,70.088,0.012,70088,0.00111,0.00112,93,64393,0
70.052,62190.333,93,70.052,-0.059,70052,0.00112,0.00113,93,64393,0
69.816,61290.439,90,69.816,0.011,69816,0.00112,0.00114,90,64552,0
69.51,62231.915,84,69.51,0.011,69510,0.00108,0.00112,84,64633,0
69.26,61867.679,90,69.26,0.011,69260,0.00102,0.00112,90,64736,0
69.497,62257.845,84,69.497,-0.059,69497,0.00109,0.00112,84,64585,0
69.424,56135.584,84,69.424,0.006,69424,0.00106,0.00124,84,64672,0
69.458,52787.096,102,69.458,0.001,69458,0.0011,0.00132,102,64609,0
69.745,57869.535,84,69.745,-0.059,69745,0.00119,0.00121,84,64513,0
69.45,56712.952,84,69.45,0.003,69450,0.00117,0.00123,84,64712,0
69.662,51604.119,93,69.662,0.001,69662,0.00109,0.00135,93,64513,0
70.572,59659.653,93,70.572,-0.058,70572,0.00117,0.00118,93,64201,0
69.722,59204.498,84,69.722,0.012,69722,0.00115,0.00118,84,64600,0
69.626,59903.794,111,69.626,-0.041,69626,0.00117,0.00116,111,64577,0
70.321,59574.176,93,70.321,0.01,70321,0.00119,0.00118,93,64336,0
69.905,58958.525,93,69.905,-0.018,69905,0.00119,0.00119,93,64441,0
69.928,59325.42,93,69.928,0.01,69928,0.00117,0.00118,93,64504,0
70.541,59062.499,102,70.541,-0.023,70541,0.00118,0.0012,102,64249,0
70.155,58841.982,111,70.155,0.009,70155,0.0012,0.00119,111,64345,0
69.717,59672.2,98,69.717,-0.018,69717,0.00117,0.00117,98,64512,0
72.71,62077.438,111,72.71,0.009,72710,0.00109,0.00117,111,63457,0
79.33,66617.513,399,79.33,-0.001,79330,0.00094,0.00119,399,61192,0
