Model,File,Packet Size,Accuracy,Macro F1 Score,Micro F1 Score,Weighted F1 Score,Macro Precision,Micro Precision,Cohen's Kappa,Precision_0,Recall_0,F1_0,Precision_1,Recall_1,F1_1,Precision_macro avg,Recall_macro avg,F1_macro avg,Precision_weighted avg,Recall_weighted avg,F1_weighted avg
Random Forest,combined_10_packets.csv,10,0.959,0.958,0.959,0.959,0.958,0.959,0.916,0.967,0.963,0.965,0.949,0.954,0.951,0.958,0.958,0.958,0.959,0.959,0.959
Gradient Boosting,combined_10_packets.csv,10,0.951,0.949,0.951,0.951,0.949,0.951,0.898,0.958,0.957,0.958,0.940,0.942,0.941,0.949,0.949,0.949,0.951,0.951,0.951
SVM,combined_10_packets.csv,10,0.634,0.516,0.634,0.556,0.699,0.634,0.151,0.620,0.966,0.755,0.779,0.168,0.277,0.699,0.567,0.516,0.686,0.634,0.556
k-NN,combined_10_packets.csv,10,0.957,0.956,0.957,0.957,0.955,0.957,0.912,0.967,0.959,0.963,0.943,0.954,0.949,0.955,0.957,0.956,0.957,0.957,0.957
Logistic Regression,combined_10_packets.csv,10,0.923,0.920,0.923,0.922,0.923,0.923,0.840,0.921,0.949,0.935,0.926,0.885,0.905,0.923,0.917,0.920,0.923,0.923,0.922
Random Forest,combined_50_packets.csv,50,0.972,0.971,0.972,0.972,0.971,0.972,0.941,0.973,0.978,0.976,0.969,0.963,0.966,0.971,0.970,0.971,0.972,0.972,0.972
Gradient Boosting,combined_50_packets.csv,50,0.964,0.963,0.964,0.964,0.963,0.964,0.926,0.971,0.968,0.969,0.955,0.959,0.957,0.963,0.963,0.963,0.964,0.964,0.964
SVM,combined_50_packets.csv,50,0.655,0.555,0.655,0.590,0.733,0.655,0.207,0.634,0.969,0.767,0.832,0.216,0.343,0.733,0.592,0.555,0.717,0.655,0.590
k-NN,combined_50_packets.csv,50,0.966,0.965,0.966,0.966,0.965,0.966,0.929,0.969,0.972,0.971,0.960,0.957,0.959,0.965,0.964,0.965,0.966,0.966,0.966
Logistic Regression,combined_50_packets.csv,50,0.936,0.934,0.936,0.936,0.935,0.936,0.868,0.938,0.953,0.946,0.933,0.912,0.922,0.935,0.933,0.934,0.936,0.936,0.936
Random Forest,combined_100_packets.csv,100,0.981,0.981,0.981,0.981,0.982,0.981,0.962,0.978,0.990,0.984,0.986,0.969,0.977,0.982,0.980,0.981,0.981,0.981,0.981
Gradient Boosting,combined_100_packets.csv,100,0.978,0.978,0.978,0.978,0.979,0.978,0.955,0.975,0.988,0.982,0.983,0.965,0.974,0.979,0.976,0.978,0.978,0.978,0.978
SVM,combined_100_packets.csv,100,0.678,0.597,0.678,0.627,0.751,0.678,0.266,0.651,0.965,0.778,0.850,0.275,0.416,0.751,0.620,0.597,0.734,0.678,0.627
k-NN,combined_100_packets.csv,100,0.977,0.976,0.977,0.977,0.977,0.977,0.952,0.974,0.986,0.980,0.981,0.963,0.972,0.977,0.975,0.976,0.977,0.977,0.977
Logistic Regression,combined_100_packets.csv,100,0.931,0.929,0.931,0.931,0.930,0.931,0.857,0.937,0.945,0.941,0.922,0.911,0.916,0.930,0.928,0.929,0.931,0.931,0.931
Random Forest,combined_250_packets.csv,250,0.983,0.983,0.983,0.983,0.984,0.983,0.966,0.982,0.990,0.986,0.986,0.974,0.980,0.984,0.982,0.983,0.983,0.983,0.983
Gradient Boosting,combined_250_packets.csv,250,0.982,0.981,0.982,0.982,0.982,0.982,0.963,0.980,0.989,0.985,0.985,0.971,0.978,0.982,0.980,0.981,0.982,0.982,0.982
SVM,combined_250_packets.csv,250,0.940,0.938,0.940,0.940,0.939,0.940,0.876,0.943,0.954,0.949,0.935,0.920,0.927,0.939,0.937,0.938,0.940,0.940,0.940
k-NN,combined_250_packets.csv,250,0.980,0.980,0.980,0.980,0.981,0.980,0.960,0.979,0.987,0.983,0.982,0.971,0.976,0.981,0.979,0.980,0.980,0.980,0.980
Logistic Regression,combined_250_packets.csv,250,0.951,0.949,0.951,0.951,0.948,0.951,0.899,0.970,0.944,0.957,0.925,0.960,0.942,0.948,0.952,0.949,0.951,0.951,0.951
Random Forest,combined_500_packets.csv,500,0.985,0.984,0.985,0.985,0.985,0.985,0.968,0.982,0.992,0.987,0.988,0.975,0.981,0.985,0.983,0.984,0.985,0.985,0.985
Gradient Boosting,combined_500_packets.csv,500,0.984,0.983,0.984,0.984,0.984,0.984,0.966,0.982,0.990,0.986,0.986,0.974,0.980,0.984,0.982,0.983,0.984,0.984,0.984
SVM,combined_500_packets.csv,500,0.945,0.943,0.945,0.945,0.943,0.945,0.887,0.957,0.948,0.953,0.928,0.941,0.934,0.943,0.944,0.943,0.945,0.945,0.945
k-NN,combined_500_packets.csv,500,0.979,0.978,0.979,0.978,0.979,0.979,0.956,0.975,0.988,0.982,0.984,0.964,0.974,0.979,0.976,0.978,0.979,0.979,0.978
Logistic Regression,combined_500_packets.csv,500,0.951,0.950,0.951,0.951,0.948,0.951,0.899,0.970,0.945,0.957,0.926,0.959,0.942,0.948,0.952,0.950,0.951,0.951,0.951
Random Forest,combined_750_packets.csv,750,0.984,0.983,0.984,0.984,0.984,0.984,0.967,0.982,0.991,0.986,0.987,0.974,0.981,0.984,0.982,0.983,0.984,0.984,0.984
Gradient Boosting,combined_750_packets.csv,750,0.983,0.982,0.983,0.983,0.983,0.983,0.964,0.982,0.988,0.985,0.984,0.974,0.979,0.983,0.981,0.982,0.983,0.983,0.983
