Model,File,Packet Size,Accuracy,Macro F1 Score,Micro F1 Score,Weighted F1 Score,Macro Precision,Micro Precision,Cohen's Kappa,Precision_0,Recall_0,F1_0,Precision_1,Recall_1,F1_1,Precision_macro avg,Recall_macro avg,F1_macro avg,Precision_weighted avg,Recall_weighted avg,F1_weighted avg,max 1
Logistic Regression,combined_10_packets.csv,10,0.936,0.935,0.936,0.937,0.933,0.936,0.87,0.961,0.929,0.944,0.905,0.947,0.926,0.933,0.938,0.935,0.938,0.936,0.937,0.0
Logistic Regression,combined_50_packets.csv,50,0.934,0.932,0.934,0.934,0.93,0.934,0.865,0.964,0.92,0.942,0.895,0.953,0.923,0.93,0.936,0.932,0.936,0.934,0.934,0.0
Logistic Regression,combined_100_packets.csv,100,0.929,0.927,0.929,0.929,0.925,0.929,0.855,0.962,0.914,0.937,0.888,0.949,0.917,0.925,0.931,0.927,0.931,0.929,0.929,0.0
Logistic Regression,combined_250_packets.csv,250,0.922,0.921,0.922,0.922,0.918,0.922,0.841,0.957,0.907,0.931,0.879,0.943,0.91,0.918,0.925,0.921,0.924,0.922,0.922,0.0
Logistic Regression,combined_500_packets.csv,500,0.905,0.904,0.905,0.906,0.901,0.905,0.808,0.944,0.89,0.916,0.858,0.927,0.891,0.901,0.908,0.904,0.908,0.905,0.906,0.0
Logistic Regression,combined_750_packets.csv,750,0.918,0.917,0.918,0.919,0.915,0.918,0.834,0.951,0.907,0.928,0.878,0.935,0.906,0.915,0.921,0.917,0.92,0.918,0.919,0.0
Logistic Regression,combined_1000_packets.csv,1000,0.919,0.917,0.919,0.919,0.915,0.919,0.835,0.953,0.905,0.928,0.877,0.938,0.906,0.915,0.921,0.917,0.921,0.919,0.919,0.0
Logistic Regression,combined_5000_packets.csv,5000,0.993,0.992,0.993,0.993,0.993,0.993,0.985,0.992,0.996,0.994,0.994,0.988,0.991,0.993,0.992,0.992,0.993,0.993,0.993,0.0
Logistic Regression,combined_10000_packets.csv,10000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19.0
,,Best,[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],
