Model,File,Packet Size,Accuracy,Macro F1 Score,Micro F1 Score,Weighted F1 Score,Macro Precision,Micro Precision,Cohen's Kappa,Precision_0,Recall_0,F1_0,Precision_1,Recall_1,F1_1,Precision_macro avg,Recall_macro avg,F1_macro avg,Precision_weighted avg,Recall_weighted avg,F1_weighted avg,max 1
SVM,combined_10_packets.csv,10,0.879,0.876,0.879,0.879,0.876,0.879,0.751,0.893,0.901,0.897,0.86,0.849,0.855,0.876,0.875,0.876,0.879,0.879,0.879,0.0
SVM,combined_50_packets.csv,50,0.925,0.923,0.925,0.925,0.922,0.925,0.847,0.947,0.923,0.935,0.896,0.928,0.912,0.922,0.925,0.923,0.926,0.925,0.925,0.0
SVM,combined_100_packets.csv,100,0.92,0.918,0.92,0.92,0.917,0.92,0.836,0.941,0.92,0.93,0.893,0.919,0.906,0.917,0.92,0.918,0.92,0.92,0.92,0.0
SVM,combined_250_packets.csv,250,0.912,0.91,0.912,0.912,0.909,0.912,0.821,0.934,0.914,0.924,0.884,0.91,0.897,0.909,0.912,0.91,0.913,0.912,0.912,0.0
SVM,combined_500_packets.csv,500,0.898,0.896,0.898,0.898,0.894,0.898,0.792,0.921,0.902,0.912,0.868,0.892,0.88,0.894,0.897,0.896,0.899,0.898,0.898,0.0
SVM,combined_750_packets.csv,750,0.92,0.918,0.92,0.92,0.917,0.92,0.837,0.936,0.926,0.931,0.898,0.913,0.906,0.917,0.919,0.918,0.921,0.92,0.92,0.0
SVM,combined_1000_packets.csv,1000,0.922,0.92,0.922,0.922,0.919,0.922,0.841,0.94,0.926,0.933,0.899,0.918,0.908,0.919,0.922,0.92,0.923,0.922,0.922,0.0
SVM,combined_5000_packets.csv,5000,0.993,0.992,0.993,0.993,0.994,0.993,0.985,0.988,1.0,0.994,1.0,0.982,0.991,0.994,0.991,0.992,0.993,0.993,0.993,2.0
SVM,combined_10000_packets.csv,10000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19.0
,,Best,[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],"[5000, 10000]",[10000],"[5000, 10000]",[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],
