Model,File,Packet Size,Accuracy,Macro F1 Score,Micro F1 Score,Weighted F1 Score,Macro Precision,Micro Precision,Cohen's Kappa,Precision_0,Recall_0,F1_0,Precision_1,Recall_1,F1_1,Precision_macro avg,Recall_macro avg,F1_macro avg,Precision_weighted avg,Recall_weighted avg,F1_weighted avg,max 1
k-NN,combined_10_packets.csv,10,0.966,0.965,0.966,0.966,0.964,0.966,0.93,0.98,0.961,0.97,0.947,0.972,0.96,0.964,0.967,0.965,0.966,0.966,0.966,0.0
k-NN,combined_50_packets.csv,50,0.967,0.966,0.967,0.967,0.966,0.967,0.932,0.972,0.971,0.972,0.96,0.962,0.961,0.966,0.966,0.966,0.967,0.967,0.967,0.0
k-NN,combined_100_packets.csv,100,0.968,0.967,0.968,0.968,0.967,0.968,0.934,0.974,0.972,0.973,0.96,0.963,0.962,0.967,0.967,0.967,0.968,0.968,0.968,0.0
k-NN,combined_250_packets.csv,250,0.959,0.958,0.959,0.959,0.957,0.959,0.916,0.97,0.959,0.965,0.944,0.959,0.952,0.957,0.959,0.958,0.959,0.959,0.959,0.0
k-NN,combined_500_packets.csv,500,0.951,0.95,0.951,0.951,0.948,0.951,0.9,0.968,0.948,0.957,0.929,0.956,0.942,0.948,0.952,0.95,0.952,0.951,0.951,0.0
k-NN,combined_750_packets.csv,750,0.948,0.946,0.948,0.948,0.944,0.948,0.893,0.969,0.94,0.954,0.92,0.958,0.939,0.944,0.949,0.946,0.948,0.948,0.948,0.0
k-NN,combined_1000_packets.csv,1000,0.949,0.948,0.949,0.949,0.945,0.949,0.896,0.973,0.938,0.955,0.918,0.964,0.94,0.945,0.951,0.948,0.95,0.949,0.949,0.0
k-NN,combined_5000_packets.csv,5000,0.988,0.987,0.988,0.988,0.988,0.988,0.975,0.987,0.992,0.989,0.988,0.982,0.985,0.988,0.987,0.987,0.988,0.988,0.988,2.0
k-NN,combined_10000_packets.csv,10000,0.995,0.995,0.995,0.995,0.994,0.995,0.99,1.0,0.992,0.996,0.988,1.0,0.994,0.994,0.996,0.995,0.995,0.995,0.995,19.0
,,Best,[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],"[5000, 10000]",[10000],"[5000, 10000]",[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],
