Average Packet Size,Flow Bytes/s,Fwd Packet Length Mean,Max Packet Length,Fwd IAT Min,Total Length of Fwd Packets,Flow IAT Mean,Fwd IAT Std,Fwd Packet Length Max,Fwd Header Length,Label
70.223,59144.551,102,70.223,-0.06,351115,0.00114,0.00119,102,321803,0
70.165,49743.404,129,70.165,-0.019,350826,0.00124,0.00141,129,321835,0
69.418,51277.271,323,69.418,-0.028,347092,0.0011,0.00135,323,323170,0
69.929,50535.571,93,69.929,0.002,349645,0.00114,0.00138,93,322291,0
69.774,53220.893,93,69.774,0.01,348872,0.00113,0.00131,93,322564,0
70.133,53964.53,111,70.133,-0.06,350664,0.00111,0.0013,111,321891,0
70.607,57223.239,120,70.607,-0.025,353037,0.00116,0.00123,120,321019,0
69.68,53126.966,102,69.68,0.003,348400,0.00112,0.00131,102,322786,0
69.992,57133.659,93,69.992,-0.058,349960,0.0011,0.00123,93,322227,0
69.678,52956.532,93,69.678,0.002,348389,0.00118,0.00132,93,322692,0
70.396,53557.137,146,70.396,-0.059,351982,0.00126,0.00131,146,321475,0
70.424,50171.893,111,70.424,-0.059,352122,0.00111,0.0014,111,321347,0
70.173,48884.663,323,70.173,-0.059,350866,0.0011,0.00144,323,321758,0
69.89,54060.313,93,69.89,0.0,349449,0.00116,0.00129,93,322419,0
70.271,55162.257,111,70.271,-0.031,351355,0.00109,0.00127,111,321715,0
70.004,53975.596,111,70.004,-0.03,350021,0.00113,0.0013,111,322012,0
70.185,53240.74,111,70.185,-0.03,350925,0.00112,0.00132,111,321835,0
69.813,51398.217,93,69.813,-0.031,349064,0.00117,0.00136,93,322516,0
69.712,50148.982,102,69.712,0.003,348560,0.00109,0.00139,102,322635,0
72.282,64095.131,156,72.282,-0.062,361412,0.00113,0.00113,156,318291,0
70.751,50820.277,323,70.751,-0.059,353754,0.00118,0.00139,323,320737,0
69.806,48037.081,93,69.806,-0.059,349032,0.00124,0.00145,93,322492,0
69.898,50818.548,111,69.898,-0.03,349488,0.00112,0.00138,111,322339,0
71.212,60044.314,111,71.212,-0.059,356062,0.00111,0.00119,111,319971,0
70.6,41881.472,129,70.6,-0.088,353001,0.00181,0.00169,129,320853,0
70.12,54248.806,102,70.12,-0.06,350600,0.00115,0.00129,102,321955,0
70.087,53052.026,129,70.087,-0.06,350435,0.00113,0.00132,129,322035,0
69.89,55411.242,111,69.89,0.004,349451,0.00116,0.00126,111,322387,0
70.228,57335.27,104,70.228,-0.03,351140,0.00112,0.00123,104,321747,0
70.948,58944.173,323,70.948,-0.058,354739,0.00111,0.0012,323,320481,0
69.585,53241.154,102,69.585,-0.047,347927,0.00115,0.00131,102,322812,0
69.591,47917.178,93,69.591,-0.001,347955,0.00113,0.00145,93,322915,0
69.648,54887.931,93,69.648,-0.03,348239,0.00114,0.00127,93,322891,0
71.108,59304.88,111,71.108,-0.06,355541,0.00111,0.0012,111,320107,0
70.171,46362.49,130,70.171,0.006,350857,0.00122,0.00151,130,321676,0
70.969,53414.34,139,70.969,-0.001,354843,0.00119,0.00133,139,319731,0
69.922,58447.522,93,69.922,-0.069,349608,0.00112,0.0012,93,322347,0
71.401,57812.8,111,71.401,-0.03,357003,0.00116,0.00124,111,319524,0
70.86,55470.541,111,70.86,-0.001,354299,0.00119,0.00128,111,320563,0
70.14,44982.862,342,70.14,0.001,350698,0.00131,0.00156,342,321946,0
69.814,50800.062,342,69.814,0.002,349071,0.00105,0.00137,342,322531,0
69.961,55302.821,342,69.961,-0.059,349804,0.00112,0.00127,342,322195,0
70.1,51234.713,342,70.1,-0.03,350500,0.00114,0.00137,342,321956,0
70.208,46724.236,111,70.208,-0.063,351039,0.00104,0.0015,111,321763,0
69.811,46948.436,342,69.811,-0.001,349055,0.00106,0.00149,342,322532,0
69.565,49977.542,93,69.565,-0.059,347824,0.00107,0.00139,93,322948,0
70.064,51650.34,102,70.064,-0.059,350319,0.00119,0.00136,102,322003,0
70.309,50820.645,323,70.309,-0.001,351545,0.00116,0.00138,323,321633,0
69.729,56681.657,102,69.729,0.0,348647,0.00111,0.00123,102,322620,0
70.022,51056.528,342,70.022,-0.031,350111,0.00123,0.00137,342,322207,0
70.713,46075.82,342,70.713,-0.043,353564,0.00133,0.00154,342,320752,0
70.623,54720.074,157,70.623,0.0,353114,0.00109,0.00129,157,320967,0
70.061,51602.175,102,70.061,0.0,350304,0.00108,0.00136,102,322051,0
70.598,50372.266,342,70.598,-0.04,352990,0.00118,0.0014,342,321024,0
70.071,52941.047,120,70.071,-0.03,350354,0.0011,0.00132,120,322075,0
69.602,43159.14,102,69.602,-0.058,348012,0.00109,0.00161,102,322764,0
71.446,56397.923,323,71.446,-0.067,357228,0.00114,0.00127,323,319529,0
69.716,55979.764,138,69.716,-0.03,348580,0.00118,0.00125,138,322668,0
70.799,49437.67,157,70.799,-0.057,353997,0.00125,0.00143,157,320679,0
69.66,51234.392,129,69.66,-0.026,348302,0.0011,0.00136,129,322747,0
70.133,53484.928,102,70.133,0.0,350665,0.00113,0.00131,102,321835,0
70.26,48544.145,102,70.26,-0.036,351300,0.0013,0.00145,102,321620,0
69.517,49465.205,98,69.517,-0.059,347587,0.00116,0.00141,98,323107,0
70.288,52069.473,102,70.288,0.0,351439,0.00122,0.00135,102,321627,0
69.776,45454.468,102,69.776,0.0,348882,0.00105,0.00154,102,322380,0
69.94,55361.545,323,69.94,-0.059,349701,0.00113,0.00126,323,322313,0
70.468,52889.116,111,70.468,-0.06,352342,0.00118,0.00133,111,321220,0
70.303,60805.933,98,70.303,-0.001,351516,0.00114,0.00116,98,321603,0
70.254,55668.435,102,70.254,0.0,351271,0.00113,0.00126,102,321684,0
70.266,54040.747,111,70.266,0.0,351331,0.0011,0.0013,111,321619,0
70.553,58229.844,114,70.553,-0.018,352766,0.00115,0.00121,114,321171,0
69.817,50621.496,111,69.817,0.001,349087,0.00105,0.00138,111,322507,0
69.995,54999.576,139,69.995,0.0,349976,0.00114,0.00127,139,321732,0
70.318,53034.685,122,70.318,-0.06,351590,0.00113,0.00133,122,321451,0
70.719,55224.394,323,70.719,-0.058,353595,0.00109,0.00128,323,320913,0
70.147,56560.075,111,70.147,0.008,350737,0.00114,0.00124,111,321891,0
71.315,58810.975,138,71.315,-0.001,356574,0.00111,0.00121,138,319827,0
70.92,61897.301,111,70.92,0.001,354598,0.00115,0.00115,111,320507,0
69.583,57812.823,94,69.583,-0.031,347913,0.00114,0.0012,94,322863,0
71.19,62235.136,156,71.19,-0.06,355951,0.00114,0.00114,156,320019,0
69.577,53611.857,106,69.577,0.001,347886,0.0011,0.0013,106,322987,0
70.215,44839.1,102,70.215,-0.01,351075,0.00128,0.00157,102,321628,0
69.727,47734.993,156,69.727,-0.045,348634,0.00118,0.00146,156,322556,0
70.78,61822.019,323,70.78,-0.06,353902,0.00114,0.00115,323,320753,0
70.237,50534.251,122,70.237,-0.025,351185,0.00118,0.00139,122,321739,0
69.711,47120.088,102,69.711,-0.06,348557,0.00139,0.00148,102,322652,0
69.272,47947.878,90,69.272,-0.007,346362,0.00106,0.00145,90,323443,0
70.422,56468.176,111,70.422,0.001,352112,0.00112,0.00125,111,321292,0
70.874,61904.666,111,70.874,-0.002,354368,0.00112,0.00115,111,320658,0
70.205,54841.765,111,70.205,-0.01,351023,0.00109,0.00128,111,321756,0
70.031,52203.697,106,70.031,-0.027,350154,0.00119,0.00134,106,322099,0
70.921,55735.05,129,70.921,-0.018,354603,0.00119,0.00127,129,320427,0
70.551,52648.955,323,70.551,-0.059,352756,0.00168,0.00134,323,321121,0
69.804,51689.041,93,69.804,0.002,349021,0.0011,0.00135,93,322452,0
70.056,47648.067,120,70.056,-0.026,350281,0.00111,0.00147,120,321932,0
70.063,58206.991,102,70.063,-0.086,350314,0.00119,0.0012,102,322107,0
70.848,56212.518,111,70.848,0.0,354241,0.00112,0.00126,111,320563,0
71.387,61530.476,156,71.387,-0.06,356933,0.00111,0.00116,156,319635,0
70.846,57269.627,111,70.846,0.007,354232,0.00113,0.00124,111,320619,0
70.759,55277.663,111,70.759,0.002,353797,0.00112,0.00128,111,320787,0
70.527,51822.387,120,70.527,-0.06,352633,0.00108,0.00136,120,321211,0
70.503,50852.521,111,70.503,-0.029,352517,0.00117,0.00139,111,321016,0
69.861,49479.718,323,69.861,-0.016,349304,0.00108,0.00141,323,322497,0
69.624,45126.811,342,69.624,-0.059,348120,0.00112,0.00154,342,322948,0
70.011,49675.585,342,70.011,-0.022,350056,0.00107,0.00141,342,322132,0
70.916,57270.085,342,70.916,0.006,354580,0.00107,0.00124,342,320531,0
70.053,51004.402,111,70.053,-0.002,350266,0.00109,0.00137,111,322035,0
69.947,46368.596,102,69.947,0.0,349733,0.00111,0.00151,102,322196,0
70.485,56693.494,342,70.485,0.0,352427,0.0012,0.00124,342,321311,0
70.173,49123.831,111,70.173,0.005,350865,0.0011,0.00143,111,321772,0
70.005,47083.956,323,70.005,-0.059,350025,0.00117,0.00149,323,322021,0
70.862,58868.341,174,70.862,-0.069,354311,0.00116,0.0012,174,320691,0
69.571,55309.932,93,69.571,-0.029,347856,0.00112,0.00126,93,322884,0
69.924,52175.154,342,69.924,-0.031,349622,0.0011,0.00134,342,322479,0
69.6,47940.922,157,69.6,0.0,348002,0.00124,0.00145,157,322775,0
69.784,47754.268,342,69.784,-0.001,348921,0.00114,0.00146,342,322536,0
69.812,49399.851,102,69.812,-0.028,349059,0.00145,0.00141,102,322396,0
69.948,47890.637,342,69.948,0.002,349739,0.00122,0.00146,342,322359,0
70.85,53339.238,147,70.85,-0.033,354251,0.00109,0.00133,147,320388,0
70.471,51033.8,323,70.471,-0.06,352357,0.00111,0.00138,323,321321,0
70.459,51491.83,111,70.459,0.0,352295,0.00108,0.00137,111,321268,0
70.379,55328.723,111,70.379,0.0,351893,0.00112,0.00127,111,321435,0
69.62,46347.798,157,69.62,0.004,348102,0.00117,0.0015,157,322839,0
69.938,56858.428,94,69.938,-0.053,349689,0.00113,0.00123,94,322180,0
70.314,54053.406,156,70.314,0.007,351568,0.00112,0.0013,156,321571,0
70.381,52483.913,111,70.381,-0.011,351906,0.00112,0.00134,111,321571,0
70.592,54569.401,129,70.592,-0.056,352961,0.0011,0.00129,129,321099,0
70.271,44043.644,120,70.271,-0.016,351355,0.00115,0.0016,120,321540,0
72.198,62073.566,323,72.198,-0.06,360990,0.0011,0.00116,323,318281,0
69.866,52651.458,102,69.866,0.001,349330,0.00112,0.00133,102,322308,0
70.766,53868.805,111,70.766,0.005,353831,0.0011,0.00131,111,320779,0
69.9,47104.422,246,69.9,-0.084,349502,0.00143,0.00148,246,322252,0
70.76,58799.646,120,70.76,-0.059,353799,0.00114,0.0012,120,320731,0
70.017,51550.541,102,70.017,-0.012,350084,0.00141,0.00136,102,322099,0
69.965,49694.269,102,69.965,0.0,349824,0.00115,0.00141,102,322195,0
69.482,50441.262,120,69.482,0.0,347409,0.00108,0.00138,120,323092,0
70.728,55728.55,138,70.728,0.0,353638,0.00114,0.00127,138,320779,0
70.43,54483.056,323,70.43,-0.059,352149,0.00109,0.00129,323,321349,0
69.716,48754.105,114,69.716,-0.058,348580,0.00115,0.00143,114,322580,0
70.941,58939.718,120,70.941,-0.031,354705,0.00113,0.0012,120,320451,0
69.938,51380.315,111,69.938,-0.06,349688,0.0011,0.00136,111,322275,0
71.015,59897.632,147,71.015,-0.032,355074,0.00115,0.00119,147,320323,0
70.747,61615.188,111,70.747,-0.018,353736,0.00114,0.00115,111,320763,0
70.633,56586.327,122,70.633,-0.003,353165,0.00112,0.00125,122,321027,0
70.183,53992.464,106,70.183,-0.03,350915,0.00117,0.0013,106,321748,0
70.062,50917.455,94,70.062,-0.061,350310,0.0011,0.00138,94,321955,0
70.704,57826.032,323,70.704,-0.083,353518,0.00116,0.00122,323,320985,0
70.408,54793.209,111,70.408,0.004,352041,0.00115,0.00129,111,321335,0
70.434,52145.323,228,70.434,-0.059,352171,0.00123,0.00135,228,321244,0
70.34,55733.914,111,70.34,-0.001,351699,0.00115,0.00126,111,321531,0
70.714,53370.281,102,70.714,-0.067,353570,0.00156,0.00133,102,320779,0
71.182,55891.634,122,71.182,-0.032,355912,0.00118,0.00127,122,320011,0
69.868,46625.413,111,69.868,-0.03,349341,0.00108,0.0015,111,322348,0
69.435,46156.877,93,69.435,0.001,347175,0.00121,0.0015,93,323108,0
69.911,51196.492,102,69.911,0.0,349557,0.00113,0.00137,102,322307,0
70.212,50777.792,323,70.212,-0.025,351061,0.00127,0.00138,323,321794,0
69.791,59564.099,93,69.791,0.004,348953,0.00116,0.00117,93,322539,0
69.549,47569.385,93,69.549,0.0,347743,0.00119,0.00146,93,322963,0
70.523,55603.309,111,70.523,-0.001,352614,0.00112,0.00127,111,321235,0
70.058,49451.406,111,70.058,-0.017,350292,0.00115,0.00142,111,321947,0
70.364,45992.443,111,70.364,0.0,351822,0.0011,0.00153,111,321384,0
69.682,56618.006,93,69.682,0.005,348410,0.00115,0.00123,93,322771,0
70.276,55202.147,139,70.276,-0.031,351379,0.00113,0.00127,139,321275,0
70.166,50162.6,120,70.166,-0.026,350829,0.00124,0.0014,120,321772,0
71.006,56443.46,323,71.006,0.0,355031,0.0011,0.00126,323,320337,0
69.898,56744.948,106,69.898,-0.019,349491,0.00116,0.00123,106,322347,0
70.632,52886.392,561,70.632,0.0,353162,0.00154,0.00134,561,321019,0
70.036,58147.306,342,70.036,-0.059,350180,0.00117,0.0012,342,322227,0
70.054,53576.031,342,70.054,-0.059,350272,0.0011,0.00131,342,322036,0
70.615,60006.455,342,70.615,-0.06,353073,0.00114,0.00118,342,321234,0
69.905,48020.088,342,69.905,0.0,349523,0.00119,0.00146,342,321788,0
70.218,51994.101,120,70.218,-0.06,351091,0.00116,0.00135,120,321787,0
70.107,44626.679,342,70.107,-0.016,350536,0.00169,0.00157,342,321848,0
69.77,51448.633,323,69.77,0.0,348849,0.00108,0.00136,323,322530,0
69.936,49232.22,102,69.936,0.0,349678,0.00108,0.00142,102,322219,0
69.899,52059.787,114,69.899,0.001,349495,0.00143,0.00134,114,322280,0
70.57,59347.487,111,70.57,0.0,352849,0.00116,0.00119,111,321147,0
70.379,49955.679,342,70.379,0.0,351893,0.00109,0.00141,342,321503,0
70.223,48676.151,157,70.223,-0.002,351113,0.00104,0.00144,157,321672,0
70.707,53138.803,342,70.707,-0.03,353534,0.00109,0.00133,342,320967,0
70.476,59191.545,102,70.476,0.0,352381,0.00116,0.00119,102,321363,0
70.21,59643.536,111,70.21,-0.091,351051,0.00114,0.00118,111,321739,0
69.543,44477.17,342,69.543,-0.06,347713,0.00115,0.00156,342,323046,0
70.399,53975.042,111,70.399,-0.059,351993,0.00107,0.0013,111,321387,0
70.452,51154.353,120,70.452,-0.059,352261,0.00113,0.00138,120,321316,0
69.995,46641.701,111,69.995,-0.06,349974,0.00128,0.0015,111,322095,0
70.056,52547.988,157,70.056,-0.092,350281,0.00116,0.00133,157,321904,0
69.842,50935.005,264,69.842,-0.026,349208,0.00131,0.00137,264,322459,0
70.54,58270.599,111,70.54,-0.031,352699,0.00115,0.00121,111,321219,0
70.399,47456.145,138,70.399,-0.03,351993,0.00133,0.00148,138,321412,0
70.189,45587.225,174,70.189,0.001,350944,0.00108,0.00154,174,321660,0
70.169,5112.631,1344,70.169,0.0,350844,0.14974,0.01373,1344,319622,0
69.907,47994.13,111,69.907,-0.059,349534,0.00117,0.00146,111,322268,0
69.493,42991.726,93,69.493,0.008,347463,0.00105,0.00162,93,323012,0
70.314,55643.554,102,70.314,-0.027,351571,0.00113,0.00126,102,321547,0
70.018,53716.537,111,70.018,-0.059,350092,0.00115,0.0013,111,322155,0
70.282,54360.482,102,70.282,0.004,351411,0.00109,0.00129,102,321619,0
70.362,59801.539,93,70.362,-0.016,351810,0.00116,0.00118,93,321555,0
69.885,49732.845,94,69.885,-0.019,349427,0.00132,0.00141,94,322220,0
70.621,56323.205,323,70.621,-0.09,353106,0.00111,0.00125,323,321089,0
69.773,50423.823,111,69.773,0.0,348867,0.00103,0.00138,111,322555,0
70.167,50612.588,111,70.167,-0.031,350833,0.00117,0.00139,111,321668,0
69.456,47799.211,102,69.456,0.0,347278,0.0012,0.00145,102,323155,0
69.536,48725.367,94,69.536,-0.03,347680,0.00114,0.00143,94,322916,0
70.091,50296.111,93,70.091,-0.034,350454,0.0011,0.00139,93,321979,0
70.364,55257.679,102,70.364,-0.022,351821,0.00116,0.00127,102,321468,0
