Average Packet Size,Flow Bytes/s,Fwd Packet Length Mean,Max Packet Length,Fwd IAT Min,Total Length of Fwd Packets,Flow IAT Mean,Fwd IAT Std,Fwd Packet Length Max,Fwd Header Length,Label
70.298,11205.963,98,70.298,0.012,70298,0.05535,0.00628,98,64163,1
69.409,54433.18,84,69.409,0.001,69409,0.00123,0.00128,84,64633,1
69.615,50386.649,399,69.615,0.01,69615,0.00325,0.00138,399,64561,1
72.383,59137.791,120,72.383,0.01,72383,0.00122,0.00123,120,63584,1
70.651,53548.028,102,70.651,-0.019,70651,0.00125,0.00132,102,64153,1
70.153,52819.094,93,70.153,-0.084,70153,0.0012,0.00133,93,64369,1
70.564,43317.506,552,70.564,-0.001,70564,0.00368,0.00163,552,64232,1
67.431,35995.106,338,67.431,-0.072,67431,0.00139,0.00188,338,51329,1
71.511,54461.625,129,71.511,0.0,71511,0.00132,0.00131,129,63529,1
71.519,44189.484,102,71.519,0.0,71519,0.00164,0.00162,102,63881,1
70.296,42674.372,93,70.296,-0.002,70296,0.00166,0.00165,93,64169,1
70.111,40101.17,318,70.111,-0.017,70111,0.0044,0.00175,318,64257,1
70.351,43456.856,102,70.351,0.01,70351,0.00162,0.00162,102,64248,1
71.059,40947.393,98,71.059,0.0,71059,0.0016,0.00174,98,63905,1
69.479,32999.518,102,69.479,0.012,69479,0.00147,0.00211,102,64497,1
71.646,43076.372,93,71.646,0.012,71646,0.00164,0.00166,93,63657,1
71.434,43254.012,116,71.434,0.01,71434,0.00168,0.00165,116,63777,1
70.806,38362.307,390,70.806,0.006,70806,0.00526,0.00185,390,63993,1
71.577,42559.833,98,71.577,0.012,71577,0.00168,0.00168,98,63769,1
71.476,43235.749,102,71.476,0.009,71476,0.00166,0.00165,102,63753,1
69.764,41611.519,90,69.764,-0.061,69764,0.00168,0.00168,90,64401,1
72.578,45478.528,102,72.578,0.01,72578,0.00161,0.0016,102,63368,1
72.559,44599.764,111,72.559,0.011,72559,0.00163,0.00163,111,63473,1
69.85,40686.421,90,69.85,-0.016,69850,0.00172,0.00172,90,64361,1
70.718,36519.876,594,70.718,-0.057,70718,0.00621,0.00194,594,63993,1
72.816,45950.377,102,72.816,-0.019,72816,0.0016,0.00159,102,63225,1
72.485,45450.726,120,72.485,0.004,72485,0.00161,0.0016,120,63493,1
69.97,42056.988,84,69.97,0.012,69970,0.00166,0.00167,84,64328,1
73.334,46060.859,111,73.334,0.012,73334,0.0016,0.00159,111,63057,1
70.554,43075.18,93,70.554,0.005,70554,0.00164,0.00164,93,64201,1
70.684,42891.662,94,70.684,0.0,70684,0.00164,0.00165,94,63937,1
70.033,40863.136,93,70.033,0.005,70033,0.0017,0.00172,93,64177,1
72.412,39076.775,624,72.412,0.012,72412,0.00572,0.00185,624,63417,1
71.554,43544.964,323,71.554,0.011,71554,0.00164,0.00164,323,63894,1
71.939,44628.666,102,71.939,-0.058,71939,0.00162,0.00161,102,63561,1
69.921,41134.355,84,69.921,0.003,69921,0.00171,0.0017,84,64249,1
71.402,43262.167,93,71.402,-0.022,71402,0.00166,0.00165,93,63737,1
69.87,35579.052,93,69.87,0.01,69870,0.00156,0.00197,93,64357,1
70.471,42466.48,93,70.471,0.0,70471,0.00167,0.00166,93,64165,1
71.582,43887.282,129,71.582,0.012,71582,0.00162,0.00163,129,63713,1
70.151,33221.381,102,70.151,0.01,70151,0.00162,0.00211,102,64209,1
70.648,43028.225,98,70.648,0.002,70648,0.00162,0.00164,98,64104,1
75.496,49684.307,126,75.496,0.004,75496,0.00153,0.00152,126,62441,1
71.668,38075.869,1389,71.668,0.001,71668,0.00919,0.00188,1389,63641,1
72.897,47367.549,111,72.897,0.01,72897,0.00156,0.00154,111,63225,1
73.555,46184.903,111,73.555,-0.03,73555,0.00157,0.00159,111,63137,1
69.126,34226.722,82,69.126,0.005,69126,0.00149,0.00202,82,64593,1
69.529,34160.693,94,69.529,0.0,69529,0.00156,0.00204,94,64369,1
70.187,40741.753,93,70.187,0.012,70187,0.00163,0.00172,93,64217,1
72.737,45280.014,111,72.737,0.011,72737,0.00161,0.00161,111,63336,1
70.015,41558.317,93,70.015,0.011,70015,0.00169,0.00169,93,64357,1
71.161,39648.075,93,71.161,0.004,71161,0.00148,0.0018,93,63909,1
70.223,34607.937,93,70.223,0.011,70223,0.00148,0.00203,93,64209,1
71.505,45198.458,93,71.505,0.011,71505,0.0016,0.00158,93,63729,1
72.137,44955.815,93,72.137,0.009,72137,0.00161,0.00161,93,63537,1
70.531,43489.95,93,70.531,0.012,70531,0.00161,0.00162,93,64240,1
70.781,43981.028,122,70.781,0.01,70781,0.00162,0.00161,122,63993,1
70.864,35468.763,660,70.864,-0.037,70864,0.01038,0.002,660,63993,1
74.135,48021.552,129,74.135,0.011,74135,0.00154,0.00155,129,62753,1
70.522,40559.839,129,70.522,0.001,70522,0.00166,0.00174,129,64217,1
73.01,45517.173,102,73.01,0.011,73010,0.00162,0.00161,102,63209,1
71.164,43963.946,102,71.164,-0.044,71164,0.00164,0.00162,102,63825,1
69.709,41266.096,111,69.709,0.003,69709,0.00169,0.00169,111,64336,1
71.257,42652.338,93,71.257,0.012,71257,0.00166,0.00167,93,63961,1
71.886,44337.126,102,71.886,0.01,71886,0.00163,0.00162,102,63585,1
72.956,45616.83,102,72.956,-0.031,72956,0.0016,0.0016,102,63169,1
69.18,37563.488,84,69.18,0.004,69180,0.00163,0.00184,84,64529,1
71.267,42288.656,93,71.267,0.009,71267,0.00166,0.00169,93,63901,1
72.069,44084.912,323,72.069,-0.022,72069,0.00165,0.00164,323,63690,1
71.453,42398.623,93,71.453,0.012,71453,0.00168,0.00169,93,63761,1
69.284,35409.392,84,69.284,0.013,69284,0.00153,0.00196,84,64569,1
70.357,38096.687,93,70.357,0.0,70357,0.00156,0.00185,93,64113,1
69.625,38919.957,84,69.625,0.001,69625,0.00162,0.00179,84,64505,1
70.937,43907.037,90,70.937,-0.031,70937,0.00163,0.00162,90,63993,1
72.488,33374.971,471,72.488,0.008,72488,0.01008,0.00217,471,63297,1
72.997,44581.697,183,72.997,0.006,72997,0.00175,0.00164,183,63157,1
72.001,44374.446,157,72.001,0.01,72001,0.00163,0.00162,157,63585,1
78.126,53897.954,157,78.126,0.011,78126,0.00146,0.00145,157,61496,1
74.967,48873.747,176,74.967,-0.065,74967,0.00154,0.00154,176,62625,1
70.849,42440.536,157,70.849,0.012,70849,0.00167,0.00167,157,63921,1
72.512,45380.81,138,72.512,0.005,72512,0.0016,0.0016,138,63449,1
71.987,34818.952,136,71.987,0.002,71987,0.00156,0.00207,136,63609,1
72.024,45238.222,102,72.024,0.011,72024,0.0016,0.00159,102,63520,1
70.896,42795.675,102,70.896,0.012,70896,0.00166,0.00166,102,63977,1
70.968,40792.584,157,70.968,0.011,70968,0.00177,0.00174,157,63993,1
70.198,31598.346,102,70.198,0.009,70198,0.00176,0.00222,102,64185,1
69.933,40925.091,93,69.933,-0.091,69933,0.0017,0.00171,93,64357,1
71.361,44330.982,102,71.361,0.008,71361,0.00163,0.00161,102,63777,1
71.658,43798.163,102,71.658,-0.031,71658,0.00166,0.00164,102,63585,1
69.525,38290.617,90,69.525,-0.06,69525,0.00168,0.00182,90,64501,1
72.248,42062.144,106,72.248,0.01,72248,0.00157,0.00172,106,63469,1
75.088,48988.337,120,75.088,-0.026,75088,0.00157,0.00153,120,62504,1
72.981,46581.972,111,72.981,0.01,72981,0.00157,0.00157,111,63201,1
70.689,43941.282,157,70.689,0.012,70689,0.00161,0.00161,157,64149,1
71.488,28896.837,147,71.488,0.011,71488,0.00339,0.00248,147,63745,1
73.848,31595.336,984,73.848,0.012,73848,0.01683,0.00234,984,62841,1
72.45,39949.579,111,72.45,0.001,72450,0.00145,0.00182,111,63369,1
69.679,36206.381,106,69.679,0.003,69679,0.00151,0.00193,106,64401,1
71.324,43751.687,102,71.324,0.002,71324,0.00164,0.00163,102,63785,1
71.802,44236.153,129,71.802,-0.035,71802,0.00162,0.00162,129,63605,1
71.036,38262.966,120,71.036,0.0,71036,0.00155,0.00186,120,63973,1
71.497,44363.821,93,71.497,0.012,71497,0.00161,0.00161,93,63753,1
70.84,43702.012,323,70.84,-0.043,70840,0.00162,0.00162,323,64078,1
69.988,42720.571,93,69.988,0.011,69988,0.00165,0.00164,93,64361,1
72.86,46120.112,102,72.86,0.005,72860,0.00159,0.00158,102,63281,1
70.893,43546.711,114,70.893,0.008,70893,0.00164,0.00163,114,63945,1
69.552,41629.408,90,69.552,-0.023,69552,0.00166,0.00167,90,64473,1
70.98,42411.897,90,70.98,0.01,70980,0.00168,0.00168,90,64096,1
71.312,44704.953,129,71.312,0.005,71312,0.00161,0.0016,129,63777,1
72.015,43501.32,102,72.015,0.002,72015,0.00165,0.00166,102,63593,1
73.218,45537.462,111,73.218,0.003,73218,0.00162,0.00161,111,63185,1
71.559,44911.798,93,71.559,0.002,71559,0.00161,0.00159,93,63705,1
71.253,42632.897,157,71.253,0.012,71253,0.00167,0.00167,157,63892,1
71.567,43487.904,120,71.567,-0.06,71567,0.00165,0.00165,120,63757,1
74.434,49171.957,129,74.434,0.002,74434,0.00154,0.00152,129,62657,1
71.771,45349.828,93,71.771,0.011,71771,0.00159,0.00158,93,63529,1
70.01,41890.299,93,70.01,0.011,70010,0.00165,0.00167,93,64281,1
71.995,43523.049,94,71.995,0.011,71995,0.00167,0.00166,94,63617,1
70.91,43253.128,93,70.91,0.012,70910,0.00163,0.00164,93,63984,1
70.642,43341.389,93,70.642,-0.034,70642,0.00164,0.00163,93,64065,1
69.741,41968.659,102,69.741,0.011,69741,0.00169,0.00166,102,64413,1
70.509,39088.365,93,70.509,0.01,70509,0.00156,0.00181,93,64141,1
69.239,25426.312,129,69.239,0.0,69239,0.01614,0.00273,129,64569,1
70.456,43016.976,93,70.456,0.011,70456,0.00165,0.00164,93,64113,1
71.739,42698.482,102,71.739,0.01,71739,0.00169,0.00168,102,63665,1
70.449,42613.152,93,70.449,0.001,70449,0.00166,0.00165,93,64089,1
70.885,42931.673,93,70.885,-0.033,70885,0.00164,0.00165,93,64097,1
69.97,41890.929,84,69.97,0.012,69970,0.00162,0.00167,84,64376,1
71.429,43878.73,93,71.429,0.011,71429,0.00164,0.00163,93,63777,1
70.979,42793.648,93,70.979,-0.058,70979,0.00166,0.00166,93,63997,1
71.295,44215.763,102,71.295,0.001,71295,0.00162,0.00161,102,63837,1
74.724,48684.793,342,74.724,0.011,74724,0.00156,0.00154,342,62625,1
73.446,47217.245,120,73.446,0.003,73446,0.00156,0.00156,120,63104,1
70.247,31556.779,342,70.247,-0.059,70247,0.00174,0.00223,342,64238,1
70.419,42939.567,90,70.419,0.011,70419,0.00164,0.00164,90,64212,1
73.913,47032.151,129,73.913,-0.06,73913,0.00158,0.00157,129,62785,1
70.959,42684.493,342,70.959,-0.03,70959,0.00162,0.00166,342,64001,1
72.503,39685.724,323,72.503,0.005,72503,0.00147,0.00183,323,63435,1
73.184,47502.953,111,73.184,0.008,73184,0.00153,0.00154,111,63157,1
70.17,34510.266,102,70.17,0.012,70170,0.0015,0.00204,102,64185,1
72.431,46371.183,342,72.431,-0.032,72431,0.00157,0.00156,342,63536,1
72.513,46545.29,102,72.513,0.011,72513,0.00156,0.00156,102,63421,1
70.917,42698.115,93,70.917,0.011,70917,0.00166,0.00166,93,63941,1
70.723,43218.598,93,70.723,-0.031,70723,0.00166,0.00164,93,64001,1
71.191,44988.802,93,71.191,-0.071,71191,0.00159,0.00158,93,63825,1
70.926,36223.661,98,70.926,0.011,70926,0.00151,0.00196,98,63997,1
74.36,47766.517,111,74.36,-0.002,74360,0.00157,0.00156,111,62820,1
72.659,45372.486,120,72.659,0.003,72659,0.00161,0.0016,120,63273,1
75.7,50447.093,138,75.7,0.011,75700,0.00153,0.0015,138,62225,1
73.05,45989.559,120,73.05,0.008,73050,0.00159,0.00159,120,63257,1
73.374,49038.007,111,73.374,0.0,73374,0.00152,0.0015,111,63037,1
70.393,33617.583,342,70.393,0.007,70393,0.00157,0.0021,342,64161,1
73.068,46044.895,111,73.068,0.011,73068,0.0016,0.00159,111,63268,1
71.058,33041.135,138,71.058,-0.059,71058,0.00138,0.00215,138,63893,1
69.966,31484.873,93,69.966,0.001,69966,0.00162,0.00222,93,64242,1
72.859,29605.0,1514,72.859,-0.059,72859,0.02454,0.00246,1514,63165,1
70.115,40855.129,98,70.115,-0.031,70115,0.00167,0.00172,98,64277,1
71.764,44303.086,102,71.764,0.001,71764,0.00163,0.00162,102,63688,1
69.454,41845.305,90,69.454,0.009,69454,0.00165,0.00166,90,64473,1
69.852,39624.157,87,69.852,0.01,69852,0.00156,0.00176,87,64457,1
74.069,48336.9,138,74.069,0.009,74069,0.00155,0.00153,138,62777,1
69.923,42357.68,93,69.923,0.007,69923,0.00166,0.00165,93,64281,1
70.92,43344.123,90,70.92,0.011,70920,0.00164,0.00164,90,63953,1
70.113,42416.403,84,70.113,0.012,70113,0.00167,0.00165,84,64400,1
