Average Packet Size,Flow Bytes/s,Fwd Packet Length Mean,Max Packet Length,Fwd IAT Min,Total Length of Fwd Packets,Flow IAT Mean,Fwd IAT Std,Fwd Packet Length Max,Fwd Header Length,Label
70.222,60557.924,93,70.222,0.003,35111,0.00116,0.00116,93,32184,0
69.778,61666.729,84,69.778,0.012,34889,0.00106,0.00113,84,32233,0
69.358,57504.009,84,69.358,0.012,34679,0.0011,0.00121,84,32352,0
69.23,54758.266,84,69.23,0.012,34615,0.00118,0.00127,84,32368,0
69.392,54525.939,84,69.392,0.007,34696,0.0012,0.00128,84,32368,0
69.278,54343.529,84,69.278,0.015,34639,0.00116,0.00128,84,32313,0
70.7,59041.835,102,70.7,0.005,35350,0.00117,0.0012,102,32080,0
72.384,66828.543,102,72.384,0.003,36192,0.00109,0.00109,102,31848,0
70.872,65392.863,93,70.872,-0.06,35436,0.00107,0.00109,93,31993,0
71.016,60157.56,93,71.016,0.012,35508,0.00115,0.00118,93,32064,0
69.324,49557.709,84,69.324,0.023,34662,0.00104,0.0014,84,32344,0
69.666,53846.118,84,69.666,0.0,34833,0.00108,0.0013,84,32209,0
70.644,58522.765,93,70.644,0.012,35322,0.00122,0.00121,93,32136,0
69.88,58864.161,90,69.88,0.009,34940,0.00119,0.00119,90,32248,0
69.872,48007.805,93,69.872,0.0,34936,0.00136,0.00146,93,32209,0
69.006,27186.362,82,69.006,0.016,34503,0.00125,0.00254,82,32368,0
69.42,44440.916,84,69.42,-0.019,34710,0.00098,0.00157,84,32281,0
70.03,60940.483,93,70.03,0.01,35015,0.00117,0.00115,93,32256,0
71.234,64068.802,111,71.234,0.009,35617,0.00112,0.00111,111,32008,0
72.576,61573.128,129,72.576,0.001,36288,0.00124,0.00118,129,31776,0
69.37,56130.045,94,69.37,-0.002,34685,0.00112,0.00124,94,32225,0
69.322,51509.653,84,69.322,0.0,34661,0.00118,0.00135,84,32392,0
69.36,47462.443,75,69.36,0.014,34680,0.00097,0.00146,75,32352,0
69.5,57631.965,84,69.5,0.012,34750,0.00119,0.00121,84,32233,0
69.458,55710.802,84,69.458,0.004,34729,0.00111,0.00125,84,32344,0
69.354,46036.447,75,69.354,0.025,34677,0.00105,0.00151,75,32376,0
69.214,52572.493,84,69.214,-0.028,34607,0.00108,0.00132,84,32329,0
69.72,56082.074,323,69.72,0.01,34860,0.00107,0.00125,323,32310,0
69.686,56608.801,84,69.686,0.012,34843,0.00122,0.00123,84,32304,0
69.2,40093.629,84,69.2,0.026,34600,0.00089,0.00173,84,32305,0
70.288,50171.956,84,70.288,0.004,35144,0.00113,0.0014,84,32176,0
71.11,60383.684,93,71.11,0.002,35555,0.00117,0.00118,93,32040,0
69.164,33493.852,84,69.164,0.015,34582,0.00054,0.00207,84,32345,0
69.076,32750.541,84,69.076,0.005,34538,0.00091,0.00211,84,32305,0
69.776,58831.267,90,69.776,0.012,34888,0.00117,0.00119,90,32280,0
69.952,60823.806,84,69.952,0.012,34976,0.00112,0.00115,84,32248,0
70.886,60521.562,93,70.886,0.011,35443,0.00119,0.00117,93,32088,0
69.904,60444.026,93,69.904,0.01,34952,0.00114,0.00116,93,32185,0
69.976,57618.645,84,69.976,0.005,34988,0.0012,0.00122,84,32256,0
69.158,58257.154,84,69.158,0.012,34579,0.00108,0.00119,84,32368,0
69.28,55950.652,84,69.28,0.014,34640,0.00115,0.00124,84,32329,0
69.336,53482.998,75,69.336,0.011,34668,0.00116,0.0013,75,32352,0
69.212,49272.783,82,69.212,0.012,34606,0.00116,0.00141,82,32368,0
69.868,52762.901,84,69.868,0.012,34934,0.00107,0.00133,84,32185,0
71.72,60019.85,93,71.72,0.012,35860,0.0012,0.0012,93,31944,0
70.4,59830.367,90,70.4,0.011,35200,0.00117,0.00118,90,32152,0
70.084,60490.351,84,70.084,0.011,35042,0.00115,0.00116,84,32256,0
69.164,52054.122,84,69.164,0.022,34582,0.00108,0.00133,84,32305,0
69.208,47576.426,84,69.208,0.014,34604,0.00101,0.00146,84,32392,0
69.472,45949.764,90,69.472,0.01,34736,0.00104,0.00151,90,32281,0
70.506,60142.487,93,70.506,0.01,35253,0.00116,0.00117,93,32112,0
70.974,58627.514,106,70.974,0.012,35487,0.00121,0.00121,106,32056,0
71.626,60523.456,111,71.626,0.01,35813,0.00118,0.00119,111,31968,0
71.06,60541.62,93,71.06,0.012,35530,0.00118,0.00118,93,31945,0
71.08,61169.448,93,71.08,0.012,35540,0.00114,0.00116,93,32080,0
69.234,40563.2,75,69.234,0.03,34617,0.00081,0.00171,75,32376,0
69.11,51087.995,75,69.11,0.0,34555,0.00106,0.00136,75,32305,0
69.274,51095.16,84,69.274,0.011,34637,0.00109,0.00136,84,32392,0
69.322,48737.927,84,69.322,0.022,34661,0.001,0.00143,84,32328,0
69.142,55817.656,75,69.142,-0.06,34571,0.00112,0.00124,75,32329,0
69.782,56096.749,90,69.782,0.007,34891,0.00121,0.00125,90,32296,0
71.168,59270.808,120,71.168,0.011,35584,0.00121,0.0012,120,32016,0
71.464,61661.541,102,71.464,0.01,35732,0.00117,0.00116,102,31897,0
72.388,61032.326,111,72.388,0.007,36194,0.0012,0.00119,111,31824,0
70.194,59128.264,93,70.194,0.008,35097,0.0012,0.00119,93,32200,0
69.914,56592.563,94,69.914,0.001,34957,0.00113,0.00124,94,32129,0
69.27,44885.153,75,69.27,0.026,34635,0.00095,0.00155,75,32352,0
69.302,56551.456,84,69.302,0.011,34651,0.00114,0.00123,84,32368,0
69.998,58826.1,90,69.998,-0.025,34999,0.00117,0.00119,90,32161,0
72.594,63810.038,102,72.594,0.011,36297,0.00113,0.00114,102,31776,0
71.032,61333.25,102,71.032,0.01,35516,0.00116,0.00116,102,32032,0
69.73,59441.609,84,69.73,0.003,34865,0.00115,0.00118,84,32328,0
69.342,53012.951,90,69.342,0.012,34671,0.00122,0.00131,90,32344,0
69.236,53895.171,84,69.236,0.012,34618,0.00111,0.00129,84,32368,0
69.384,54227.009,93,69.384,0.018,34692,0.00117,0.00128,93,32289,0
69.606,58133.669,84,69.606,0.01,34803,0.00113,0.0012,84,32272,0
70.344,57883.529,93,70.344,0.01,35172,0.00122,0.00122,93,32208,0
69.164,41489.057,84,69.164,0.006,34582,0.00089,0.00167,84,32305,0
69.172,46536.348,75,69.172,0.028,34586,0.00096,0.00149,75,32392,0
69.79,52415.672,90,69.79,0.011,34895,0.00108,0.00133,90,32248,0
71.246,60946.316,84,71.246,-0.058,35623,0.00115,0.00117,84,31953,0
70.414,58436.407,93,70.414,0.012,35207,0.00119,0.00121,93,32176,0
69.904,62364.728,84,69.904,0.013,34952,0.00111,0.00112,84,32256,0
69.436,60093.711,84,69.436,0.011,34718,0.00114,0.00116,84,32320,0
69.602,62738.191,84,69.602,-0.033,34801,0.0011,0.00111,84,32281,0
71.018,63680.709,93,71.018,0.011,35509,0.0011,0.00112,93,32040,0
70.206,59448.648,93,70.206,0.012,35103,0.00095,0.00118,93,32224,0
69.294,43729.813,84,69.294,0.026,34647,0.00097,0.00159,84,32305,0
69.184,52438.181,84,69.184,0.012,34592,0.00105,0.00132,84,32352,0
69.616,54701.435,90,69.616,0.011,34808,0.00111,0.00128,90,32320,0
70.094,59046.416,84,70.094,0.011,35047,0.00118,0.00119,84,32169,0
69.92,57137.44,84,69.92,0.002,34960,0.00124,0.00123,84,32224,0
69.796,52692.611,84,69.796,0.011,34898,0.00117,0.00133,84,32320,0
69.036,33506.148,75,69.036,0.016,34518,0.00089,0.00206,75,32305,0
69.372,49338.778,93,69.372,0.004,34686,0.00115,0.00141,93,32328,0
69.19,55758.906,84,69.19,0.005,34595,0.00116,0.00124,84,32392,0
69.466,56389.226,84,69.466,0.011,34733,0.00121,0.00123,84,32257,0
70.194,59849.494,84,70.194,0.01,35097,0.00118,0.00118,84,32208,0
69.912,59256.296,84,69.912,0.011,34956,0.00118,0.00118,84,32272,0
69.798,62480.195,84,69.798,0.004,34899,0.0011,0.00112,84,32217,0
69.36,58666.504,93,69.36,0.012,34680,0.00116,0.00118,93,32344,0
69.354,55513.044,84,69.354,-0.028,34677,0.00119,0.00125,84,32368,0
69.004,29067.436,82,69.004,0.014,34502,0.0015,0.00238,82,32305,0
69.68,56574.789,84,69.68,0.006,34840,0.00121,0.00123,84,32304,0
69.418,58265.71,84,69.418,0.008,34709,0.00118,0.00119,84,32320,0
70.102,58128.08,106,70.102,0.004,35051,0.0012,0.00121,106,32161,0
74.436,70041.722,120,74.436,0.011,37218,0.00107,0.00106,120,31440,0
73.626,63019.772,146,73.626,0.006,36813,0.00119,0.00117,146,31624,0
69.332,55938.346,84,69.332,-0.059,34666,0.00115,0.00124,84,32289,0
69.652,57823.892,84,69.652,0.011,34826,0.0012,0.00121,84,32320,0
69.962,60695.181,84,69.962,0.01,34981,0.00116,0.00115,84,32232,0
71.24,62665.041,93,71.24,0.007,35620,0.00116,0.00114,93,31945,0
71.258,63767.716,102,71.258,0.0,35629,0.00114,0.00112,102,32032,0
70.858,60069.108,102,70.858,0.011,35429,0.00121,0.00118,102,32088,0
70.902,64251.343,93,70.902,0.006,35451,0.00111,0.00111,93,32056,0
72.138,65093.221,94,72.138,-0.059,36069,0.00111,0.00111,94,31753,0
70.364,37511.542,111,70.364,0.021,35182,0.00102,0.00188,111,32152,0
69.142,35235.471,75,69.142,0.028,34571,0.00069,0.00197,75,32329,0
69.14,43182.111,75,69.14,0.015,34570,0.00088,0.0016,75,32368,0
69.24,38922.974,75,69.24,0.015,34620,0.00103,0.00178,75,32392,0
69.74,37330.45,323,69.74,-0.059,34870,0.00116,0.00187,323,32223,0
69.828,57069.348,84,69.828,0.011,34914,0.00123,0.00123,84,32280,0
69.168,41374.706,84,69.168,0.0,34584,0.00091,0.00168,84,32253,0
71.364,54196.5,98,71.364,0.012,35682,0.00105,0.00132,98,31984,0
72.612,63157.345,102,72.612,0.011,36306,0.00117,0.00115,102,31776,0
69.312,42523.899,93,69.312,0.023,34656,0.00084,0.00163,93,32281,0
69.19,49249.127,82,69.19,0.012,34595,0.00101,0.00141,82,32392,0
