Model,File,Packet Size,Accuracy,Macro F1 Score,Micro F1 Score,Weighted F1 Score,Macro Precision,Micro Precision,Cohen's Kappa,Precision_0,Recall_0,F1_0,Precision_1,Recall_1,F1_1,Precision_macro avg,Recall_macro avg,F1_macro avg,Precision_weighted avg,Recall_weighted avg,F1_weighted avg
Random Forest,combined_10_packets.csv,10,0.971,0.970,0.971,0.971,0.969,0.971,0.941,0.983,0.967,0.975,0.956,0.976,0.966,0.969,0.972,0.970,0.971,0.971,0.971
Gradient Boosting,combined_10_packets.csv,10,0.963,0.963,0.963,0.963,0.961,0.963,0.925,0.976,0.960,0.968,0.946,0.968,0.957,0.961,0.964,0.963,0.964,0.963,0.963
SVM,combined_10_packets.csv,10,0.879,0.876,0.879,0.879,0.876,0.879,0.751,0.893,0.901,0.897,0.860,0.849,0.855,0.876,0.875,0.876,0.879,0.879,0.879
k-NN,combined_10_packets.csv,10,0.966,0.965,0.966,0.966,0.964,0.966,0.930,0.980,0.961,0.970,0.947,0.972,0.960,0.964,0.967,0.965,0.966,0.966,0.966
Logistic Regression,combined_10_packets.csv,10,0.936,0.935,0.936,0.937,0.933,0.936,0.870,0.961,0.929,0.944,0.905,0.947,0.926,0.933,0.938,0.935,0.938,0.936,0.937
Random Forest,combined_50_packets.csv,50,0.985,0.984,0.985,0.985,0.984,0.985,0.969,0.987,0.986,0.987,0.981,0.982,0.982,0.984,0.984,0.984,0.985,0.985,0.985
Gradient Boosting,combined_50_packets.csv,50,0.980,0.979,0.980,0.980,0.979,0.980,0.959,0.984,0.981,0.983,0.974,0.978,0.976,0.979,0.980,0.979,0.980,0.980,0.980
SVM,combined_50_packets.csv,50,0.925,0.923,0.925,0.925,0.922,0.925,0.847,0.947,0.923,0.935,0.896,0.928,0.912,0.922,0.925,0.923,0.926,0.925,0.925
k-NN,combined_50_packets.csv,50,0.967,0.966,0.967,0.967,0.966,0.967,0.932,0.972,0.971,0.972,0.960,0.962,0.961,0.966,0.966,0.966,0.967,0.967,0.967
Logistic Regression,combined_50_packets.csv,50,0.934,0.932,0.934,0.934,0.930,0.934,0.865,0.964,0.920,0.942,0.895,0.953,0.923,0.930,0.936,0.932,0.936,0.934,0.934
Random Forest,combined_100_packets.csv,100,0.988,0.988,0.988,0.988,0.988,0.988,0.976,0.988,0.992,0.990,0.988,0.984,0.986,0.988,0.988,0.988,0.988,0.988,0.988
Gradient Boosting,combined_100_packets.csv,100,0.986,0.986,0.986,0.986,0.986,0.986,0.971,0.988,0.989,0.988,0.984,0.983,0.983,0.986,0.986,0.986,0.986,0.986,0.986
SVM,combined_100_packets.csv,100,0.920,0.918,0.920,0.920,0.917,0.920,0.836,0.941,0.920,0.930,0.893,0.919,0.906,0.917,0.920,0.918,0.920,0.920,0.920
k-NN,combined_100_packets.csv,100,0.968,0.967,0.968,0.968,0.967,0.968,0.934,0.974,0.972,0.973,0.960,0.963,0.962,0.967,0.967,0.967,0.968,0.968,0.968
Logistic Regression,combined_100_packets.csv,100,0.929,0.927,0.929,0.929,0.925,0.929,0.855,0.962,0.914,0.937,0.888,0.949,0.917,0.925,0.931,0.927,0.931,0.929,0.929
Random Forest,combined_250_packets.csv,250,0.985,0.985,0.985,0.985,0.984,0.985,0.969,0.988,0.986,0.987,0.981,0.983,0.982,0.984,0.985,0.985,0.985,0.985,0.985
Gradient Boosting,combined_250_packets.csv,250,0.982,0.981,0.982,0.982,0.981,0.982,0.962,0.985,0.983,0.984,0.977,0.979,0.978,0.981,0.981,0.981,0.982,0.982,0.982
SVM,combined_250_packets.csv,250,0.912,0.910,0.912,0.912,0.909,0.912,0.821,0.934,0.914,0.924,0.884,0.910,0.897,0.909,0.912,0.910,0.913,0.912,0.912
k-NN,combined_250_packets.csv,250,0.959,0.958,0.959,0.959,0.957,0.959,0.916,0.970,0.959,0.965,0.944,0.959,0.952,0.957,0.959,0.958,0.959,0.959,0.959
Logistic Regression,combined_250_packets.csv,250,0.922,0.921,0.922,0.922,0.918,0.922,0.841,0.957,0.907,0.931,0.879,0.943,0.910,0.918,0.925,0.921,0.924,0.922,0.922
Random Forest,combined_500_packets.csv,500,0.983,0.983,0.983,0.983,0.982,0.983,0.966,0.991,0.980,0.986,0.972,0.988,0.980,0.982,0.984,0.983,0.983,0.983,0.983
Gradient Boosting,combined_500_packets.csv,500,0.982,0.981,0.982,0.982,0.980,0.982,0.963,0.991,0.978,0.984,0.969,0.988,0.978,0.980,0.983,0.981,0.982,0.982,0.982
SVM,combined_500_packets.csv,500,0.898,0.896,0.898,0.898,0.894,0.898,0.792,0.921,0.902,0.912,0.868,0.892,0.880,0.894,0.897,0.896,0.899,0.898,0.898
k-NN,combined_500_packets.csv,500,0.951,0.950,0.951,0.951,0.948,0.951,0.900,0.968,0.948,0.957,0.929,0.956,0.942,0.948,0.952,0.950,0.952,0.951,0.951
Logistic Regression,combined_500_packets.csv,500,0.905,0.904,0.905,0.906,0.901,0.905,0.808,0.944,0.890,0.916,0.858,0.927,0.891,0.901,0.908,0.904,0.908,0.905,0.906
Random Forest,combined_750_packets.csv,750,0.979,0.979,0.979,0.979,0.978,0.979,0.958,0.985,0.980,0.982,0.972,0.979,0.975,0.978,0.979,0.979,0.979,0.979,0.979
Gradient Boosting,combined_750_packets.csv,750,0.979,0.978,0.979,0.979,0.978,0.979,0.956,0.983,0.980,0.982,0.973,0.976,0.974,0.978,0.978,0.978,0.979,0.979,0.979
SVM,combined_750_packets.csv,750,0.920,0.918,0.920,0.920,0.917,0.920,0.837,0.936,0.926,0.931,0.898,0.913,0.906,0.917,0.919,0.918,0.921,0.920,0.920
k-NN,combined_750_packets.csv,750,0.948,0.946,0.948,0.948,0.944,0.948,0.893,0.969,0.940,0.954,0.920,0.958,0.939,0.944,0.949,0.946,0.948,0.948,0.948
Logistic Regression,combined_750_packets.csv,750,0.918,0.917,0.918,0.919,0.915,0.918,0.834,0.951,0.907,0.928,0.878,0.935,0.906,0.915,0.921,0.917,0.920,0.918,0.919
Random Forest,combined_1000_packets.csv,1000,0.976,0.975,0.976,0.976,0.973,0.976,0.951,0.993,0.965,0.979,0.954,0.991,0.972,0.973,0.978,0.975,0.977,0.976,0.976
Gradient Boosting,combined_1000_packets.csv,1000,0.978,0.977,0.978,0.978,0.976,0.978,0.955,0.992,0.970,0.981,0.959,0.989,0.974,0.976,0.979,0.977,0.978,0.978,0.978
SVM,combined_1000_packets.csv,1000,0.922,0.920,0.922,0.922,0.919,0.922,0.841,0.940,0.926,0.933,0.899,0.918,0.908,0.919,0.922,0.920,0.923,0.922,0.922
k-NN,combined_1000_packets.csv,1000,0.949,0.948,0.949,0.949,0.945,0.949,0.896,0.973,0.938,0.955,0.918,0.964,0.940,0.945,0.951,0.948,0.950,0.949,0.949
Logistic Regression,combined_1000_packets.csv,1000,0.919,0.917,0.919,0.919,0.915,0.919,0.835,0.953,0.905,0.928,0.877,0.938,0.906,0.915,0.921,0.917,0.921,0.919,0.919
Random Forest,combined_5000_packets.csv,5000,0.990,0.990,0.990,0.990,0.991,0.990,0.980,0.987,0.996,0.992,0.994,0.982,0.988,0.991,0.989,0.990,0.990,0.990,0.990
Gradient Boosting,combined_5000_packets.csv,5000,0.993,0.992,0.993,0.993,0.993,0.993,0.985,0.992,0.996,0.994,0.994,0.988,0.991,0.993,0.992,0.992,0.993,0.993,0.993
SVM,combined_5000_packets.csv,5000,0.993,0.992,0.993,0.993,0.994,0.993,0.985,0.988,1.000,0.994,1.000,0.982,0.991,0.994,0.991,0.992,0.993,0.993,0.993
