Model,File,Packet Size,Accuracy,Macro F1 Score,Micro F1 Score,Weighted F1 Score,Macro Precision,Micro Precision,Cohen's Kappa,Precision_0,Recall_0,F1_0,Precision_1,Recall_1,F1_1,Precision_macro avg,Recall_macro avg,F1_macro avg,Precision_weighted avg,Recall_weighted avg,F1_weighted avg,max 1
Gradient Boosting,combined_10_packets.csv,10,0.803,0.791,0.803,0.797,0.824,0.803,0.588,0.765,0.933,0.841,0.882,0.639,0.741,0.824,0.786,0.791,0.817,0.803,0.797,0.0
Gradient Boosting,combined_50_packets.csv,50,0.814,0.802,0.814,0.808,0.839,0.814,0.612,0.772,0.947,0.85,0.906,0.646,0.754,0.839,0.797,0.802,0.831,0.814,0.808,0.0
Gradient Boosting,combined_100_packets.csv,100,0.826,0.814,0.826,0.82,0.856,0.826,0.636,0.777,0.964,0.861,0.935,0.651,0.768,0.856,0.808,0.814,0.847,0.826,0.82,1.0
Gradient Boosting,combined_250_packets.csv,250,0.831,0.821,0.831,0.826,0.858,0.831,0.647,0.785,0.961,0.864,0.931,0.667,0.777,0.858,0.814,0.821,0.849,0.831,0.826,0.0
Gradient Boosting,combined_500_packets.csv,500,0.855,0.849,0.855,0.852,0.87,0.855,0.7,0.82,0.949,0.88,0.919,0.737,0.818,0.87,0.843,0.849,0.864,0.855,0.852,0.0
Gradient Boosting,combined_750_packets.csv,750,0.875,0.871,0.875,0.874,0.884,0.875,0.744,0.848,0.947,0.895,0.921,0.786,0.848,0.884,0.866,0.871,0.88,0.875,0.874,0.0
Gradient Boosting,combined_1000_packets.csv,1000,0.882,0.879,0.882,0.882,0.887,0.882,0.759,0.866,0.933,0.899,0.907,0.818,0.86,0.887,0.876,0.879,0.884,0.882,0.882,0.0
Gradient Boosting,combined_5000_packets.csv,5000,0.946,0.945,0.946,0.946,0.945,0.946,0.89,0.951,0.951,0.951,0.938,0.938,0.938,0.945,0.945,0.945,0.946,0.946,0.946,16.0
Gradient Boosting,combined_10000_packets.csv,10000,0.937,0.937,0.937,0.937,0.935,0.937,0.873,0.961,0.925,0.943,0.91,0.953,0.931,0.935,0.939,0.937,0.938,0.937,0.937,2.0
,,Best,[5000],[5000],[5000],[5000],[5000],[5000],[5000],[10000],[100],[5000],[5000],[10000],[5000],[5000],[5000],[5000],[5000],[5000],[5000],
