Model,File,Packet Size,Accuracy,Macro F1 Score,Micro F1 Score,Weighted F1 Score,Macro Precision,Micro Precision,Cohen's Kappa,Precision_0,Recall_0,F1_0,Precision_1,Recall_1,F1_1,Precision_macro avg,Recall_macro avg,F1_macro avg,Precision_weighted avg,Recall_weighted avg,F1_weighted avg,max 1
SVM,combined_10_packets.csv,10,0.717,0.686,0.717,0.697,0.755,0.717,0.398,0.682,0.926,0.785,0.829,0.454,0.586,0.755,0.69,0.686,0.747,0.717,0.697,0.0
SVM,combined_50_packets.csv,50,0.801,0.79,0.801,0.795,0.822,0.801,0.585,0.765,0.93,0.839,0.879,0.639,0.74,0.822,0.784,0.79,0.815,0.801,0.795,0.0
SVM,combined_100_packets.csv,100,0.808,0.797,0.808,0.802,0.829,0.808,0.599,0.77,0.935,0.845,0.887,0.647,0.749,0.829,0.791,0.797,0.822,0.808,0.802,0.0
SVM,combined_250_packets.csv,250,0.822,0.809,0.822,0.815,0.86,0.822,0.626,0.769,0.974,0.859,0.95,0.631,0.758,0.86,0.802,0.809,0.849,0.822,0.815,0.0
SVM,combined_500_packets.csv,500,0.826,0.812,0.826,0.818,0.864,0.826,0.634,0.771,0.978,0.862,0.957,0.634,0.763,0.864,0.806,0.812,0.853,0.826,0.818,0.0
SVM,combined_750_packets.csv,750,0.825,0.812,0.825,0.818,0.866,0.825,0.633,0.77,0.98,0.862,0.962,0.63,0.761,0.866,0.805,0.812,0.855,0.825,0.818,0.0
SVM,combined_1000_packets.csv,1000,0.832,0.82,0.832,0.826,0.867,0.832,0.648,0.78,0.975,0.867,0.954,0.652,0.774,0.867,0.813,0.82,0.857,0.832,0.826,0.0
SVM,combined_5000_packets.csv,5000,0.86,0.852,0.86,0.856,0.884,0.86,0.708,0.812,0.974,0.886,0.956,0.716,0.818,0.884,0.845,0.852,0.876,0.86,0.856,0.0
SVM,combined_10000_packets.csv,10000,0.916,0.913,0.916,0.915,0.931,0.916,0.827,0.874,0.992,0.93,0.989,0.821,0.897,0.931,0.907,0.913,0.925,0.916,0.915,19.0
,,Best,[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],[10000],
