Model,File,Packet Size,Accuracy,Macro F1 Score,Micro F1 Score,Weighted F1 Score,Macro Precision,Micro Precision,Cohen's Kappa,Precision_0,Recall_0,F1_0,Precision_1,Recall_1,F1_1,Precision_macro avg,Recall_macro avg,F1_macro avg,Precision_weighted avg,Recall_weighted avg,F1_weighted avg,max 1
k-NN,combined_10_packets.csv,10,0.779,0.771,0.779,0.776,0.782,0.779,0.545,0.77,0.861,0.813,0.794,0.675,0.73,0.782,0.768,0.771,0.781,0.779,0.776,0.0
k-NN,combined_50_packets.csv,50,0.789,0.781,0.789,0.786,0.793,0.789,0.565,0.777,0.871,0.822,0.808,0.685,0.741,0.793,0.778,0.781,0.791,0.789,0.786,0.0
k-NN,combined_100_packets.csv,100,0.799,0.791,0.799,0.796,0.805,0.799,0.585,0.781,0.889,0.831,0.83,0.685,0.751,0.805,0.787,0.791,0.803,0.799,0.796,0.0
k-NN,combined_250_packets.csv,250,0.807,0.799,0.807,0.804,0.815,0.807,0.601,0.786,0.898,0.838,0.843,0.691,0.76,0.815,0.795,0.799,0.811,0.807,0.804,0.0
k-NN,combined_500_packets.csv,500,0.831,0.826,0.831,0.829,0.837,0.831,0.653,0.814,0.905,0.857,0.86,0.738,0.795,0.837,0.822,0.826,0.834,0.831,0.829,0.0
k-NN,combined_750_packets.csv,750,0.837,0.83,0.837,0.834,0.846,0.837,0.663,0.81,0.923,0.863,0.882,0.727,0.797,0.846,0.825,0.83,0.842,0.837,0.834,0.0
k-NN,combined_1000_packets.csv,1000,0.853,0.849,0.853,0.852,0.857,0.853,0.699,0.838,0.914,0.874,0.877,0.777,0.824,0.857,0.845,0.849,0.855,0.853,0.852,0.0
k-NN,combined_5000_packets.csv,5000,0.874,0.872,0.874,0.874,0.874,0.874,0.745,0.879,0.899,0.889,0.868,0.844,0.856,0.874,0.871,0.872,0.874,0.874,0.874,4.0
k-NN,combined_10000_packets.csv,10000,0.879,0.875,0.879,0.877,0.887,0.879,0.751,0.851,0.947,0.897,0.923,0.792,0.853,0.887,0.87,0.875,0.883,0.879,0.877,15.0
,,Best,[10000],[10000],[10000],[10000],[10000],[10000],[10000],[5000],[10000],[10000],[10000],[5000],[5000],[10000],[5000],[10000],[10000],[10000],[10000],
