Average Packet Size,Flow Bytes/s,Fwd Packet Length Mean,Max Packet Length,Fwd IAT Min,Total Length of Fwd Packets,Flow IAT Mean,Fwd IAT Std,Fwd Packet Length Max,Fwd Header Length,Label
69.867,57517.865,390,69.867,-0.03,698666,0.00189,0.00121,390,644806,0
69.694,55052.956,453,69.694,-0.06,696938,0.00238,0.00127,453,645406,0
69.774,56702.8,462,69.774,-0.059,697736,0.00222,0.00123,462,645284,0
69.738,56085.337,624,69.738,-0.06,697380,0.00252,0.00124,624,645382,0
69.806,56235.301,579,69.806,-0.06,698061,0.00301,0.00124,579,644911,0
70.078,55094.142,939,70.078,-0.001,700783,0.00364,0.00127,939,644142,0
69.857,54840.471,192,69.857,-0.09,698573,0.00136,0.00127,192,644774,0
69.884,55009.965,507,69.884,0.0,698840,0.00418,0.00127,507,644761,0
69.742,56708.753,122,69.742,-0.03,697422,0.00124,0.00123,122,645382,0
69.963,55422.976,588,69.963,-0.001,699631,0.00527,0.00126,588,644494,0
69.724,57055.096,129,69.724,0.004,697239,0.00122,0.00122,129,645414,0
69.747,57645.608,323,69.747,0.0,697473,0.00121,0.00121,323,645276,0
69.961,54856.141,732,69.961,-0.031,699613,0.00629,0.00128,732,644439,0
69.823,57592.634,138,69.823,-0.059,698227,0.00124,0.00121,138,644974,0
69.853,58517.316,129,69.853,-0.058,698525,0.00121,0.00119,129,644886,0
69.918,54678.103,1290,69.918,-0.018,699184,0.00782,0.00128,1290,644710,0
69.82,57634.145,323,69.82,-0.031,698199,0.00122,0.00121,323,644988,0
69.993,58163.883,147,69.993,-0.059,699933,0.00123,0.0012,147,644406,0
69.675,57600.622,129,69.675,-0.059,696754,0.00118,0.00121,129,645478,0
70.017,53158.683,1514,70.017,-0.089,700173,0.00868,0.00132,1514,644263,0
69.882,57278.213,129,69.882,-0.06,698817,0.00122,0.00122,129,644838,0
69.758,55923.054,323,69.758,-0.103,697582,0.00122,0.00125,323,645212,0
69.877,56938.986,342,69.877,-0.06,698773,0.00124,0.00123,342,644874,0
69.866,57192.499,342,69.866,-0.06,698661,0.00117,0.00122,342,644922,0
69.891,53475.341,606,69.891,-0.03,698911,0.01082,0.00131,606,644838,0
69.873,58997.442,342,69.873,-0.03,698727,0.00116,0.00118,342,644958,0
69.864,58452.79,323,69.864,-0.06,698635,0.00117,0.0012,323,644872,0
69.611,58593.378,111,69.611,-0.026,696114,0.00117,0.00119,111,645846,0
69.679,58962.37,342,69.679,-0.06,696793,0.00114,0.00118,342,645646,0
69.751,58870.66,342,69.751,-0.07,697513,0.00116,0.00118,342,645358,0
69.878,52202.854,342,69.878,-0.059,698779,0.01161,0.00134,342,644771,0
69.78,57989.678,323,69.78,-0.032,697796,0.00115,0.0012,323,645228,0
69.753,57549.801,102,69.753,0.003,697533,0.00116,0.00121,102,645242,0
69.637,58193.378,94,69.637,-0.06,696371,0.00116,0.0012,94,645646,0
69.819,61334.481,102,69.819,-0.089,698185,0.00113,0.00114,102,645149,0
69.757,58344.044,139,69.757,-0.031,697573,0.00113,0.0012,139,644870,0
69.635,57478.636,323,69.635,-0.016,696350,0.00117,0.00121,323,645684,0
69.603,57691.559,102,69.603,-0.059,696031,0.00119,0.00121,102,645870,0
69.919,50370.525,1514,69.919,-0.025,699186,0.01601,0.00139,1514,644519,0
69.872,59208.299,139,69.872,-0.089,698724,0.00115,0.00118,139,644334,0
69.737,58851.517,94,69.737,-0.059,697369,0.00116,0.00119,94,645334,0
69.648,58009.623,323,69.648,-0.045,696481,0.00117,0.0012,323,645764,0
69.624,58927.198,93,69.624,-0.043,696245,0.00115,0.00118,93,645774,0
69.6,56828.226,111,69.6,-0.059,696000,0.00118,0.00122,111,645790,0
69.685,57806.088,102,69.685,-0.069,696851,0.00118,0.00121,102,645534,0
69.698,58212.286,102,69.698,-0.034,696975,0.00118,0.0012,102,645526,0
69.757,57955.482,323,69.757,-0.06,697568,0.00118,0.0012,323,645380,0
69.743,57653.322,93,69.743,-0.059,697432,0.00117,0.00121,93,645342,0
69.809,49688.945,579,69.809,0.0,698093,0.01956,0.00141,579,644935,0
69.786,58408.842,111,69.786,0.004,697864,0.00118,0.00119,111,645198,0
69.788,58550.378,120,69.788,-0.06,697878,0.00117,0.00119,120,645054,0
69.887,58443.574,323,69.887,-0.089,698872,0.00119,0.0012,323,644828,0
69.723,56155.628,93,69.723,-0.058,697228,0.0012,0.00124,93,645382,0
69.712,58425.344,111,69.712,-0.026,697118,0.00114,0.00119,111,645406,0
69.669,58972.503,111,69.669,-0.059,696689,0.00116,0.00118,111,645614,0
69.671,56716.674,94,69.671,-0.062,696707,0.00116,0.00123,94,645502,0
69.761,59326.465,323,69.761,-0.12,697611,0.00116,0.00118,323,645220,0
69.879,57356.408,342,69.879,-0.059,698787,0.0012,0.00122,342,644882,0
69.7,58424.109,342,69.7,-0.059,696996,0.00111,0.00119,342,645546,0
69.727,57868.038,342,69.727,-0.059,697273,0.00115,0.00121,342,645486,0
69.718,58003.109,342,69.718,-0.061,697178,0.00116,0.0012,342,645406,0
69.883,47781.513,1514,69.883,-0.062,698830,0.0175,0.00146,1514,644698,0
69.665,57984.287,106,69.665,-0.06,696647,0.00115,0.0012,106,645606,0
69.905,59430.026,342,69.905,-0.06,699048,0.00115,0.00118,342,644830,0
69.758,57855.533,342,69.758,-0.06,697584,0.00117,0.00121,342,645318,0
69.796,57891.814,342,69.796,-0.057,697955,0.00117,0.00121,342,645181,0
69.787,58075.145,323,69.787,-0.028,697868,0.00118,0.0012,323,645212,0
69.711,59458.455,102,69.711,-0.083,697114,0.00114,0.00117,102,645323,0
69.817,59109.431,111,69.817,-0.06,698173,0.00117,0.00118,111,645069,0
69.665,58393.204,102,69.665,-0.03,696652,0.00118,0.00119,102,645654,0
69.754,59231.261,323,69.754,-0.03,697545,0.00116,0.00118,323,645276,0
69.681,59613.217,111,69.681,-0.016,696814,0.00116,0.00117,111,645590,0
69.762,58431.787,93,69.762,-0.029,697624,0.00117,0.00119,93,645222,0
69.938,59082.512,111,69.938,-0.025,699377,0.00117,0.00118,111,644566,0
69.871,59426.48,111,69.871,-0.059,698705,0.00117,0.00118,111,644886,0
69.769,59597.868,106,69.769,-0.059,697685,0.00115,0.00117,106,645122,0
69.951,45624.718,588,69.951,-0.07,699507,0.02479,0.00153,588,644561,0
69.699,57040.178,111,69.699,-0.059,696987,0.00118,0.00122,111,645367,0
69.719,57709.257,102,69.719,-0.04,697189,0.00118,0.00121,102,645366,0
69.93,57340.105,93,69.93,-0.03,699303,0.00119,0.00122,93,644622,0
69.93,57016.275,323,69.93,-0.059,699298,0.00121,0.00123,323,644652,0
69.583,56916.413,102,69.583,-0.069,695834,0.00117,0.00122,102,645966,0
69.74,58075.46,102,69.74,-0.06,697398,0.00118,0.0012,102,645310,0
69.83,59385.146,99,69.83,-0.025,698299,0.00116,0.00118,99,645006,0
69.883,58635.961,139,69.883,-0.06,698833,0.00118,0.00119,139,644382,0
69.82,58393.0,323,69.82,-0.026,698195,0.00117,0.0012,323,645060,0
69.784,58607.197,106,69.784,-0.026,697838,0.00117,0.00119,106,645158,0
69.758,58795.373,102,69.758,-0.041,697581,0.00117,0.00119,102,645138,0
69.675,57353.577,93,69.675,-0.056,696755,0.00115,0.00121,93,645606,0
69.647,59442.798,98,69.647,-0.06,696466,0.00113,0.00117,98,645726,0
69.779,59301.916,323,69.779,-0.03,697791,0.00116,0.00118,323,645243,0
69.84,57560.849,157,69.84,-0.059,698397,0.00116,0.00121,157,644918,0
69.686,60428.501,157,69.686,-0.016,696857,0.00112,0.00115,157,645506,0
69.91,58663.976,157,69.91,-0.06,699105,0.00117,0.00119,157,644690,0
69.849,58914.082,342,69.849,-0.026,698485,0.00115,0.00119,342,645054,0
69.906,42319.681,678,69.906,-0.059,699061,0.02542,0.00165,678,644814,0
69.792,57048.46,157,69.792,-0.026,697917,0.00114,0.00122,157,645122,0
69.963,58507.641,342,69.963,-0.06,699626,0.00117,0.0012,342,644542,0
69.621,57563.039,120,69.621,-0.034,696215,0.00117,0.00121,120,645687,0
69.777,57224.836,342,69.777,-0.058,697766,0.00119,0.00122,342,645294,0
69.727,58622.236,342,69.727,-0.06,697268,0.00117,0.00119,342,645564,0
69.761,58465.909,102,69.761,0.0,697613,0.00117,0.00119,102,645246,0
69.805,58985.98,342,69.805,-0.06,698049,0.00116,0.00118,342,645133,0
69.779,57751.915,93,69.779,-0.059,697793,0.00118,0.00121,93,645174,0
69.748,57342.153,102,69.748,-0.063,697476,0.00117,0.00122,102,645207,0
69.674,59324.15,323,69.674,-0.06,696745,0.00113,0.00117,323,645659,0
69.816,58752.538,93,69.816,-0.091,698158,0.00117,0.00119,93,645078,0
69.735,57281.552,106,69.735,-0.059,697353,0.00117,0.00122,106,645310,0
69.603,60064.329,102,69.603,-0.059,696035,0.00113,0.00116,102,645822,0
69.796,58006.046,111,69.796,-0.059,697961,0.00119,0.0012,111,645174,0
69.714,57465.335,323,69.714,-0.083,697141,0.00118,0.00121,323,645372,0
69.832,57849.961,93,69.832,-0.058,698324,0.00119,0.00121,93,645030,0
69.727,56187.939,102,69.727,-0.057,697273,0.00117,0.00124,102,645271,0
69.792,56287.608,795,69.792,-0.034,697919,0.00208,0.00124,795,644662,0
69.694,57324.939,111,69.694,-0.06,696937,0.00117,0.00122,111,645470,0
70.045,57473.475,323,70.045,-0.059,700447,0.0012,0.00122,323,644228,0
69.846,56755.629,120,69.846,0.001,698464,0.0012,0.00123,120,644958,0
69.924,57610.554,106,69.924,-0.002,699236,0.00119,0.00121,106,644638,0
69.897,56501.184,93,69.897,-0.026,698971,0.0012,0.00124,93,644718,0
70.187,39392.685,606,70.187,-0.059,701874,0.02854,0.00178,606,643423,0
69.944,56822.891,102,69.944,-0.029,699442,0.00121,0.00123,102,644574,0
69.872,57009.929,102,69.872,-0.031,698717,0.0012,0.00123,102,644791,0
69.873,56977.98,93,69.873,0.0,698729,0.0012,0.00123,93,644806,0
69.715,57124.131,98,69.715,0.004,697153,0.00118,0.00122,98,645438,0
69.608,67187.772,323,69.608,-0.069,696076,0.00097,0.00104,323,645955,0
70.842,44881.393,290,70.842,-0.042,708422,0.00224,0.00158,290,640984,0
69.525,64165.507,157,69.525,0.001,695252,0.00098,0.00108,157,646153,0
69.49,61406.523,157,69.49,0.001,694895,0.00102,0.00113,157,646274,0
69.754,57354.19,157,69.754,-0.03,697542,0.00116,0.00122,157,645314,0
69.754,59434.578,342,69.754,-0.059,697538,0.00115,0.00117,342,645500,0
69.697,57719.171,342,69.697,-0.057,696968,0.00113,0.00121,342,645602,0
69.656,58363.983,157,69.656,0.0,696561,0.00114,0.00119,157,645594,0
69.656,56902.202,342,69.656,-0.031,696560,0.00113,0.00122,342,645726,0
69.786,58783.31,139,69.786,0.001,697862,0.00116,0.00119,139,644750,0
69.842,58427.605,342,69.842,-0.06,698417,0.00117,0.0012,342,645012,0
69.775,59949.7,342,69.775,-0.06,697753,0.00113,0.00116,342,645310,0
69.781,58428.028,111,69.781,-0.059,697815,0.00117,0.00119,111,645070,0
69.884,58869.613,342,69.884,-0.058,698844,0.00116,0.00119,342,644942,0
69.765,57709.3,98,69.765,-0.06,697652,0.00115,0.00121,98,645318,0
69.891,58307.597,323,69.891,-0.121,698905,0.00117,0.0012,323,644724,0
69.636,59562.299,120,69.636,-0.06,696356,0.00116,0.00117,120,645885,0
69.783,58449.804,111,69.783,-0.06,697828,0.00116,0.00119,111,645118,0
69.772,58313.309,111,69.772,-0.058,697723,0.00116,0.0012,111,645170,0
69.752,58908.818,102,69.752,-0.001,697524,0.00117,0.00118,102,645302,0
69.747,58362.201,323,69.747,-0.071,697474,0.00117,0.0012,323,645372,0
69.802,58785.617,111,69.802,-0.1,698019,0.00116,0.00119,111,645126,0
69.929,57848.599,94,69.929,-0.058,699294,0.00117,0.00121,94,644590,0
69.728,58758.886,93,69.728,-0.059,697282,0.00116,0.00119,93,645438,0
69.552,57197.58,102,69.552,-0.06,695518,0.00118,0.00122,102,646086,0
69.932,37841.491,687,69.932,-0.06,699322,0.03208,0.00185,687,644296,0
69.639,57362.874,93,69.639,-0.06,696392,0.00118,0.00121,93,645678,0
69.632,58293.536,122,69.632,-0.09,696316,0.00117,0.00119,122,645686,0
69.75,58745.435,120,69.75,-0.03,697504,0.00117,0.00119,120,645262,0
69.656,57657.574,106,69.656,-0.03,696563,0.00119,0.00121,106,645494,0
69.853,58453.753,323,69.853,-0.059,698530,0.00119,0.0012,323,645044,0
69.724,58094.673,93,69.724,-0.044,697241,0.00116,0.0012,93,645390,0
69.731,58935.531,102,69.731,-0.059,697310,0.00116,0.00118,102,645421,0
69.65,58382.348,106,69.65,-0.098,696502,0.00117,0.00119,106,645774,0
69.8,59039.276,94,69.8,-0.058,698002,0.00118,0.00118,94,645078,0
69.713,57584.695,323,69.713,-0.06,697135,0.00116,0.00121,323,645476,0
69.716,57665.483,93,69.716,-0.016,697157,0.00115,0.00121,93,645406,0
69.745,59455.271,157,69.745,-0.019,697451,0.00115,0.00117,157,645182,0
69.754,57780.645,157,69.754,-0.059,697538,0.00118,0.00121,157,645242,0
69.823,59752.37,342,69.823,-0.059,698235,0.00113,0.00117,342,645161,0
69.876,57463.942,342,69.876,-0.06,698757,0.00115,0.00122,342,644949,0
69.746,58466.65,342,69.746,-0.059,697461,0.00115,0.00119,342,645477,0
69.832,58761.439,342,69.832,-0.06,698321,0.00115,0.00119,342,644979,0
69.619,57034.43,93,69.619,-0.059,696187,0.00116,0.00122,93,645798,0
69.683,56149.507,102,69.683,-0.09,696832,0.00117,0.00124,102,645426,0
70.001,59461.086,342,70.001,-0.084,700007,0.00115,0.00118,342,644612,0
69.645,58133.627,342,69.645,-0.016,696448,0.00117,0.0012,342,645870,0
