Average Packet Size,Flow Bytes/s,Fwd Packet Length Mean,Max Packet Length,Fwd IAT Min,Total Length of Fwd Packets,Flow IAT Mean,Fwd IAT Std,Fwd Packet Length Max,Fwd Header Length,Label
70.087,55344.508,543,70.087,-0.06,350437,0.00182,0.00127,543,322011,1
69.883,57216.54,228,69.883,-0.06,349415,0.00201,0.00122,228,322363,1
69.942,46729.399,357,69.942,-0.016,349711,0.00256,0.0015,357,307682,1
70.84,44520.217,342,70.84,-0.059,354202,0.00256,0.00159,342,320348,1
70.968,44389.768,714,70.968,-0.06,354838,0.0034,0.0016,714,319880,1
70.695,45015.938,102,70.695,-0.026,353475,0.00157,0.00157,102,320412,1
70.817,44404.802,1002,70.817,-0.026,354085,0.00398,0.0016,1002,320144,1
70.961,44909.821,102,70.961,-0.067,354806,0.00156,0.00158,102,319836,1
71.005,44038.232,750,71.005,-0.026,355025,0.00422,0.00161,750,319764,1
71.014,45940.213,323,71.014,-0.063,355068,0.00153,0.00155,323,319726,1
70.696,45770.412,102,70.696,-0.026,353481,0.00154,0.00154,102,320507,1
70.873,43618.486,300,70.873,-0.035,354365,0.00564,0.00163,300,320080,1
70.797,45181.968,102,70.797,-0.058,353984,0.00159,0.00157,102,320204,1
70.651,45237.258,94,70.651,-0.027,353253,0.00158,0.00156,94,320484,1
71.26,43966.287,1471,71.26,-0.016,356298,0.00588,0.00162,1471,318644,1
70.941,45763.491,102,70.941,0.005,354706,0.00157,0.00155,102,320036,1
70.798,46482.804,129,70.798,-0.026,353991,0.00155,0.00152,129,320172,1
70.657,45899.196,323,70.657,-0.059,353284,0.00156,0.00154,323,320454,1
70.761,45460.573,102,70.761,0.001,353806,0.00158,0.00156,102,320220,1
71.116,42895.013,768,71.116,-0.016,355581,0.00831,0.00166,768,319548,1
70.875,45689.709,102,70.875,-0.031,354374,0.00157,0.00155,102,319872,1
72.66,8712.048,849,72.66,-0.06,363302,0.08872,0.00834,849,319101,1
69.697,57426.224,93,69.697,-0.061,348483,0.00119,0.00121,93,322779,1
69.843,59391.202,93,69.843,-0.027,349217,0.00116,0.00118,93,322443,1
70.444,52704.27,849,70.444,0.0,352219,0.0102,0.00134,849,321843,1
69.682,57375.632,102,69.682,-0.025,348411,0.00121,0.00121,102,322779,1
69.676,58111.663,93,69.676,0.002,348380,0.00119,0.0012,93,322827,1
69.881,57552.471,111,69.881,-0.06,349406,0.00122,0.00121,111,322395,1
69.926,57394.225,129,69.926,-0.059,349628,0.00121,0.00122,129,322323,1
70.097,57927.314,102,70.097,-0.059,350484,0.00121,0.00121,102,321955,1
70.172,49255.77,939,70.172,-0.059,350862,0.01338,0.00142,939,321810,1
69.667,57294.145,102,69.667,-0.069,348337,0.00121,0.00122,102,322803,1
69.75,57617.394,102,69.75,0.003,348751,0.00118,0.00121,102,322559,1
69.806,57230.089,102,69.806,-0.016,349030,0.00119,0.00122,102,322587,1
69.661,58290.628,94,69.661,0.001,348303,0.00118,0.0012,94,322747,1
69.967,56670.753,98,69.967,0.0,349837,0.00121,0.00123,98,322299,1
69.852,57375.136,102,69.852,0.007,349258,0.00119,0.00122,102,322443,1
69.737,53995.565,93,69.737,-0.059,348687,0.00122,0.00129,93,322707,1
69.815,57048.438,111,69.815,-0.059,349075,0.0012,0.00122,111,322555,1
69.818,48822.84,323,69.818,-0.03,349092,0.01541,0.00143,323,322386,1
69.88,57334.304,102,69.88,-0.089,349398,0.00121,0.00122,102,322419,1
69.849,56708.319,157,69.849,-0.001,349243,0.00121,0.00123,157,322435,1
69.722,58175.018,157,69.722,-0.098,348611,0.0012,0.0012,157,322675,1
69.86,57388.588,94,69.86,0.0,349300,0.00121,0.00122,94,322339,1
69.938,57615.526,157,69.938,0.001,349690,0.00121,0.00121,157,322295,1
70.035,55954.516,93,70.035,0.0,350175,0.00123,0.00125,93,322131,1
70.192,55849.583,342,70.192,-0.001,350959,0.00123,0.00126,342,321959,1
69.893,56623.431,342,69.893,-0.055,349463,0.0012,0.00123,342,322515,1
70.097,57111.175,342,70.097,0.0,350485,0.0012,0.00123,342,321643,1
70.186,46743.097,1514,70.186,-0.06,350931,0.01834,0.0015,1514,321770,1
69.807,55495.976,93,69.807,-0.055,349036,0.00123,0.00126,93,322515,1
69.783,55436.341,342,69.783,-0.059,348914,0.00123,0.00126,342,322647,1
69.905,56492.93,111,69.905,-0.06,349523,0.00122,0.00124,111,322395,1
69.843,57965.965,106,69.843,-0.06,349213,0.00117,0.00121,106,322411,1
69.867,56782.494,93,69.867,-0.059,349333,0.00119,0.00123,93,322380,1
70.078,57309.876,106,70.078,-0.031,350388,0.00119,0.00122,106,321959,1
69.971,56598.163,342,69.971,-0.062,349853,0.0012,0.00124,342,322371,1
69.804,56448.351,342,69.804,-0.039,349021,0.0012,0.00124,342,322635,1
69.937,57442.623,342,69.937,-0.06,349683,0.00119,0.00122,342,322329,1
69.968,56569.926,120,69.968,0.0,349839,0.00121,0.00124,120,322259,1
69.805,55498.488,342,69.805,0.001,349023,0.00122,0.00126,342,322619,1
69.773,56327.761,93,69.773,-0.031,348863,0.0012,0.00124,93,322611,1
70.374,44963.644,948,70.374,-0.031,351871,0.02408,0.00157,948,321380,1
70.13,57713.533,93,70.13,0.0,350650,0.00118,0.00122,93,321963,1
69.736,56509.826,102,69.736,0.003,348678,0.00116,0.00123,102,322611,1
69.972,56214.585,111,69.972,-0.055,349859,0.00118,0.00124,111,322175,1
69.643,55365.825,93,69.643,0.003,348214,0.0012,0.00126,93,322875,1
69.652,56786.365,102,69.652,-0.071,348258,0.0012,0.00123,102,322747,1
69.841,56370.117,323,69.841,-0.06,349206,0.00123,0.00124,323,322529,1
69.734,57142.946,93,69.734,-0.027,348671,0.0012,0.00122,93,322683,1
69.787,57752.961,111,69.787,-0.06,348936,0.0012,0.00121,111,322500,1
69.618,56046.564,93,69.618,0.004,348088,0.00119,0.00124,93,322891,1
70.195,57743.512,102,70.195,0.0,350975,0.0012,0.00122,102,321659,1
69.519,56468.684,93,69.519,-0.018,347594,0.0012,0.00123,93,323091,1
69.879,58566.327,102,69.879,0.0,349393,0.00118,0.00119,102,322443,1
69.827,56579.361,111,69.827,-0.058,349135,0.00123,0.00123,111,322515,1
69.795,57043.213,111,69.795,0.001,348976,0.0012,0.00122,111,322587,1
69.673,56270.31,102,69.673,0.0,348366,0.00123,0.00124,102,322747,1
70.291,43358.695,1514,70.291,-0.06,351456,0.0227,0.00162,1514,321594,1
69.738,56960.147,102,69.738,-0.03,348689,0.00119,0.00122,102,322683,1
69.619,55605.839,93,69.619,-0.06,348095,0.00122,0.00125,93,322899,1
69.696,55808.851,94,69.696,-0.001,348478,0.00123,0.00125,94,322699,1
69.77,56393.82,102,69.77,0.0,348852,0.00123,0.00124,102,322603,1
69.837,55744.357,102,69.837,-0.06,349187,0.0012,0.00125,102,322428,1
69.896,56934.607,93,69.896,0.001,349478,0.00122,0.00123,93,322395,1
69.726,57319.744,93,69.726,0.0,348629,0.0012,0.00122,93,322755,1
69.922,58138.433,94,69.922,-0.06,349610,0.00118,0.0012,94,322291,1
69.795,55596.216,323,69.795,-0.06,348977,0.00121,0.00126,323,322577,1
69.819,54405.793,93,69.819,0.0,349097,0.00165,0.00128,93,322539,1
70.119,56576.797,111,70.119,0.007,350596,0.00123,0.00124,111,322003,1
69.758,56521.882,102,69.758,-0.019,348788,0.00122,0.00123,102,322559,1
69.896,56455.734,102,69.896,-0.106,349479,0.00123,0.00124,102,322243,1
69.916,56424.549,111,69.916,0.0,349581,0.00125,0.00124,111,322319,1
69.892,56077.808,102,69.892,0.001,349458,0.00122,0.00125,102,322284,1
70.024,56643.288,102,70.024,0.002,350121,0.00123,0.00124,102,322131,1
69.923,56493.343,120,69.923,0.0,349616,0.00123,0.00124,120,322315,1
70.024,57031.477,94,70.024,-0.067,350120,0.00122,0.00123,94,322051,1
69.857,40157.647,323,69.857,0.0,349287,0.02546,0.00174,323,321698,1
70.108,55914.612,1514,70.108,-0.059,350540,0.00123,0.00125,1514,322675,1
69.739,54639.527,111,69.739,-0.059,348694,0.00121,0.00128,111,322596,1
69.974,57248.701,120,69.974,-0.001,349870,0.00122,0.00122,120,322195,1
70.059,55867.413,102,70.059,-0.06,350296,0.00124,0.00125,102,322083,1
69.708,56107.722,93,69.708,-0.088,348541,0.00123,0.00124,93,322699,1
69.874,54807.889,106,69.874,0.005,349369,0.00123,0.00128,106,322395,1
69.814,55518.825,104,69.814,0.002,349072,0.00124,0.00126,104,322515,1
69.896,56153.917,102,69.896,0.0,349478,0.00123,0.00124,102,322263,1
69.972,56172.437,323,69.972,0.0,349858,0.00124,0.00125,323,322265,1
69.927,56300.289,111,69.927,-0.06,349636,0.00123,0.00124,111,322315,1
69.742,56948.144,102,69.742,-0.06,348710,0.00121,0.00122,102,322548,1
69.77,55640.94,157,69.77,-0.021,348852,0.00121,0.00125,157,322599,1
70.02,57431.264,342,70.02,-0.03,350098,0.00119,0.00122,342,322215,1
69.807,58065.41,342,69.807,-0.089,349036,0.00116,0.0012,342,322631,1
69.931,55070.683,342,69.931,-0.06,349655,0.00123,0.00127,342,322371,1
69.706,55271.765,111,69.706,0.006,348528,0.00122,0.00126,111,322723,1
70.171,56855.445,157,70.171,-0.03,350857,0.00121,0.00123,157,321815,1
69.737,56178.667,342,69.737,-0.06,348687,0.00121,0.00124,342,322713,1
69.543,55555.405,111,69.543,0.003,347716,0.00121,0.00125,111,323019,1
70.045,55997.928,98,70.045,-0.001,350227,0.00122,0.00125,98,322020,1
70.014,57443.575,102,70.014,-0.059,350072,0.0012,0.00122,102,322179,1
70.07,56777.063,157,70.07,0.0,350349,0.00122,0.00123,157,322055,1
69.829,55930.991,94,69.829,-0.059,349143,0.00122,0.00125,94,322379,1
69.946,56383.99,342,69.946,-0.06,349731,0.00122,0.00124,342,322443,1
70.017,38410.406,342,70.017,0.0,350084,0.03012,0.00182,342,322164,1
69.763,55805.927,106,69.763,-0.001,348815,0.0012,0.00125,106,322548,1
69.972,57295.971,342,69.972,0.0,349861,0.00119,0.00122,342,322243,1
69.751,57270.8,323,69.751,-0.018,348753,0.0012,0.00122,323,322673,1
69.952,56226.354,98,69.952,-0.06,349758,0.00119,0.00124,98,322275,1
69.917,57111.318,93,69.917,-0.03,349585,0.00118,0.00122,93,322299,1
70.113,56496.391,102,70.113,0.002,350567,0.00121,0.00124,102,321979,1
69.758,55467.392,94,69.758,-0.03,348789,0.00121,0.00126,94,322579,1
69.866,56139.992,93,69.866,-0.031,349332,0.00123,0.00124,93,322391,1
69.895,56266.384,93,69.895,-0.059,349474,0.00123,0.00124,93,322443,1
69.889,57443.126,93,69.889,-0.031,349444,0.0012,0.00122,93,322371,1
69.855,56354.013,93,69.855,0.004,349274,0.00122,0.00124,93,322467,1
69.88,57384.673,323,69.88,-0.059,349398,0.00121,0.00122,323,322353,1
69.96,57089.661,113,69.96,-0.044,349802,0.00122,0.00123,113,322315,1
69.786,56211.102,93,69.786,-0.031,348928,0.00123,0.00124,93,322491,1
70.125,57205.279,93,70.125,-0.06,350627,0.00122,0.00123,93,321924,1
70.084,56250.212,102,70.084,0.003,350422,0.00123,0.00125,102,321983,1
70.083,57521.346,111,70.083,-0.035,350414,0.00122,0.00122,111,321931,1
70.038,56986.678,93,70.038,-0.099,350191,0.00122,0.00123,93,322155,1
69.897,56848.683,93,69.897,-0.019,349487,0.00122,0.00123,93,322395,1
69.971,56734.964,93,69.971,0.002,349854,0.00122,0.00123,93,322203,1
69.991,58501.769,139,69.991,-0.025,349956,0.00118,0.0012,139,321851,1
69.81,57346.492,323,69.81,-0.059,349049,0.00121,0.00122,323,322545,1
69.853,57394.984,111,69.853,0.003,349263,0.00121,0.00122,111,322491,1
69.706,56088.463,102,69.706,0.001,348529,0.00122,0.00124,102,322747,1
69.763,56518.742,98,69.763,-0.059,348817,0.00123,0.00123,98,322563,1
69.69,57732.642,102,69.69,-0.06,348452,0.00119,0.00121,102,322675,1
69.816,57408.319,93,69.816,-0.07,349078,0.00121,0.00122,93,322539,1
70.028,56997.605,93,70.028,-0.03,350138,0.00122,0.00123,93,322131,1
70.136,57409.845,139,70.136,-0.002,350680,0.00122,0.00122,139,321427,1
69.823,56694.571,102,69.823,-0.06,349114,0.00123,0.00123,102,322424,1
70.127,34480.582,1514,70.127,-0.059,350636,0.03236,0.00203,1514,321763,1
69.771,57223.707,93,69.771,-0.083,348855,0.00121,0.00122,93,322635,1
69.868,56565.212,106,69.868,0.001,349339,0.00121,0.00124,106,322443,1
69.854,56443.426,102,69.854,-0.06,349270,0.00124,0.00124,102,322507,1
69.961,56460.692,102,69.961,-0.153,349806,0.00124,0.00124,102,322227,1
69.949,58313.948,102,69.949,-0.025,349747,0.0012,0.0012,102,322219,1
70.059,58118.589,111,70.059,0.01,350293,0.00121,0.00121,111,322131,1
69.743,56865.439,93,69.743,-0.059,348714,0.00122,0.00123,93,322611,1
70.043,58122.211,111,70.043,-0.058,350213,0.00121,0.00121,111,322107,1
69.819,55565.185,93,69.819,-0.088,349095,0.00124,0.00126,93,322563,1
69.959,56709.229,323,69.959,-0.03,349795,0.00122,0.00123,323,322233,1
69.881,58317.611,102,69.881,0.001,349406,0.0012,0.0012,102,322395,1
69.959,56633.485,93,69.959,-0.019,349794,0.00122,0.00124,93,322275,1
69.883,56799.744,93,69.883,0.0,349413,0.00123,0.00123,93,322419,1
69.758,54286.431,94,69.758,0.0,348792,0.00121,0.00129,94,322460,1
69.778,56511.314,106,69.778,0.002,348890,0.00123,0.00124,106,322611,1
69.687,56736.956,102,69.687,0.005,348436,0.0012,0.00123,102,322803,1
69.967,56948.435,111,69.967,-0.059,349836,0.00124,0.00123,111,322203,1
69.955,57618.41,93,69.955,-0.018,349774,0.00121,0.00121,93,322299,1
69.997,55728.863,98,69.997,-0.058,349984,0.00126,0.00126,98,322123,1
69.9,54339.01,323,69.9,-0.058,349499,0.0012,0.00129,323,322425,1
69.865,57212.249,111,69.865,-0.059,349323,0.00122,0.00122,111,322419,1
70.098,55943.439,106,70.098,-0.042,350489,0.00125,0.00125,106,322035,1
70.084,57711.415,102,70.084,-0.018,350418,0.00122,0.00121,102,321996,1
69.952,57355.269,157,69.952,-0.058,349760,0.00121,0.00122,157,322139,1
70.032,56726.871,342,70.032,-0.07,350160,0.00122,0.00123,342,322171,1
70.06,57229.393,342,70.06,0.0,350299,0.00119,0.00122,342,322251,1
69.878,58034.345,157,69.878,-0.019,349392,0.00117,0.0012,157,322415,1
69.724,56481.55,342,69.724,0.0,348620,0.00121,0.00123,342,322803,1
69.874,54626.673,157,69.874,-0.03,349368,0.00122,0.00128,157,322303,1
69.945,56879.029,342,69.945,0.0,349726,0.00117,0.00123,342,322385,1
70.117,57884.089,102,70.117,-0.078,350585,0.0012,0.00121,102,321907,1
69.851,57187.554,98,69.851,-0.067,349256,0.0012,0.00122,98,322467,1
69.664,56229.966,102,69.664,-0.029,348319,0.0012,0.00124,102,322803,1
69.83,55743.407,157,69.83,0.0,349149,0.00121,0.00125,157,322383,1
69.782,55354.792,93,69.782,0.0,348910,0.00122,0.00126,93,322540,1
70.003,56851.754,342,70.003,-0.011,350013,0.00119,0.00123,342,322347,1
69.936,56259.659,342,69.936,0.002,349680,0.00122,0.00124,342,322395,1
69.708,55607.443,93,69.708,-0.1,348539,0.0012,0.00125,93,322755,1
70.148,32610.661,1497,70.148,-0.03,350738,0.03329,0.00215,1497,321819,1
70.007,55830.469,102,70.007,-0.06,350037,0.00121,0.00125,102,322075,1
70.043,55401.335,111,70.043,-0.059,350213,0.00123,0.00126,111,322020,1
70.104,56756.146,102,70.104,0.0,350520,0.0012,0.00124,102,321987,1
69.941,55267.598,106,69.941,-0.091,349706,0.00123,0.00127,106,322219,1
69.608,55878.379,93,69.608,-0.016,348041,0.00121,0.00125,93,322891,1
69.843,56516.463,98,69.843,-0.06,349215,0.0012,0.00124,98,322491,1
69.92,57106.114,102,69.92,-0.035,349601,0.00122,0.00122,102,322323,1
69.731,55200.612,129,69.731,-0.058,348657,0.00126,0.00126,129,322575,1
69.946,57731.036,323,69.946,-0.035,349730,0.00121,0.00121,323,322289,1
70.001,57729.378,93,70.001,-0.066,350003,0.0012,0.00121,93,322251,1
69.666,57221.53,102,69.666,0.003,348330,0.0012,0.00122,102,322779,1
69.808,56645.764,93,69.808,-0.06,349041,0.0012,0.00123,93,322563,1
69.973,56468.151,102,69.973,0.0,349863,0.00122,0.00124,102,322171,1
69.821,56950.436,102,69.821,-0.059,349106,0.00122,0.00123,102,322468,1
69.893,56448.915,111,69.893,0.007,349464,0.00123,0.00124,111,322347,1
69.826,56940.797,93,69.826,-0.059,349128,0.00121,0.00123,93,322491,1
69.877,55835.954,111,69.877,-0.069,349386,0.00123,0.00125,111,322419,1
69.624,56201.418,102,69.624,0.0,348119,0.00121,0.00124,102,322795,1
70.04,58686.419,323,70.04,-0.075,350199,0.00119,0.00119,323,322169,1
69.804,56222.117,102,69.804,-0.001,349021,0.00124,0.00124,102,322587,1
69.855,55912.53,111,69.855,0.005,349274,0.0012,0.00125,111,322467,1
69.691,55183.474,102,69.691,-0.001,348455,0.00124,0.00126,102,322747,1
69.671,54868.892,94,69.671,0.0,348357,0.00121,0.00127,94,322747,1
69.951,55843.439,102,69.951,-0.064,349756,0.00125,0.00125,102,322299,1
69.696,56749.125,102,69.696,0.001,348481,0.00121,0.00123,102,322668,1
69.743,57405.327,102,69.743,-0.023,348714,0.00118,0.00122,102,322707,1
70.02,58144.351,93,70.02,0.004,350099,0.00119,0.0012,93,322179,1
70.058,56308.437,95,70.058,0.002,350290,0.00122,0.00124,95,321995,1
69.862,56648.53,323,69.862,-0.059,349312,0.00121,0.00123,323,322433,1
69.745,58557.291,106,69.745,-0.06,348726,0.00119,0.00119,106,322707,1
69.815,57611.755,102,69.815,0.001,349074,0.0012,0.00121,102,322487,1
70.126,56376.302,106,70.126,0.0,350631,0.00125,0.00124,106,321987,1
70.095,56857.247,102,70.095,0.0,350477,0.00122,0.00123,102,321931,1
69.768,55547.461,114,69.768,-0.06,348841,0.00123,0.00126,114,322559,1
69.813,57690.49,93,69.813,0.002,349063,0.00121,0.00121,93,322515,1
69.907,57891.654,102,69.907,-0.058,349534,0.00119,0.00121,102,322371,1
69.908,56536.796,93,69.908,0.005,349541,0.00123,0.00124,93,322395,1
70.125,56513.865,323,70.125,-0.059,350624,0.00124,0.00124,323,321897,1
69.989,57196.233,111,69.989,-0.058,349944,0.00121,0.00122,111,322180,1
69.754,57187.687,93,69.754,-0.07,348769,0.00122,0.00122,93,322659,1
69.875,57577.476,93,69.875,-0.025,349375,0.00121,0.00121,93,322419,1
69.757,57891.142,102,69.757,-0.026,348784,0.00121,0.00121,102,322635,1
69.812,56712.701,102,69.812,0.0,349058,0.00123,0.00123,102,322435,1
69.755,56168.35,111,69.755,-0.061,348774,0.00122,0.00124,111,322635,1
69.968,57477.689,102,69.968,0.001,349841,0.00122,0.00122,102,322251,1
70.257,58539.95,102,70.257,-0.027,351287,0.00119,0.0012,102,321747,1
69.808,57148.26,139,69.808,-0.031,349039,0.00122,0.00122,139,322163,1
70.088,29167.368,624,70.088,-0.059,350441,0.03959,0.0024,624,321728,1
69.797,56274.448,111,69.797,-0.079,348987,0.00123,0.00124,111,322603,1
69.914,57493.878,102,69.914,0.001,349571,0.00121,0.00122,102,322323,1
69.968,57535.07,111,69.968,-0.059,349839,0.0012,0.00122,111,322251,1
69.735,55045.728,111,69.735,0.0,348675,0.00125,0.00127,111,322579,1
69.887,55697.885,157,69.887,0.001,349437,0.00121,0.00126,157,322335,1
70.023,55963.965,342,70.023,0.0,350117,0.00125,0.00125,342,322160,1
69.862,55912.511,342,69.862,-0.018,349310,0.00122,0.00125,342,322575,1
69.877,57237.2,342,69.877,-0.032,349386,0.0012,0.00122,342,322435,1
