Average Packet Size,Flow Bytes/s,Fwd Packet Length Mean,Max Packet Length,Fwd IAT Min,Total Length of Fwd Packets,Flow IAT Mean,Fwd IAT Std,Fwd Packet Length Max,Fwd Header Length,Label
70.148,55914.9,120,70.148,0.004,52611,0.00132,0.00126,120,48300,0
69.633,58465.555,120,69.633,0.001,52225,0.00122,0.00119,120,48373,0
69.627,62538.398,90,69.627,0.011,52220,0.00109,0.00111,90,48460,0
70.592,54107.749,390,70.592,0.011,52944,0.00363,0.00131,390,48196,0
69.917,57586.144,129,69.917,-0.03,52438,0.00124,0.00122,129,48301,0
69.6,58552.212,130,69.6,0.012,52200,0.00127,0.00119,130,48484,0
69.816,59328.938,84,69.816,0.0,52362,0.00116,0.00118,84,48349,0
70.243,59186.209,120,70.243,0.002,52682,0.00125,0.00119,120,48316,0
70.043,52237.745,129,70.043,0.003,52532,0.00421,0.00134,129,48249,0
69.639,57607.59,120,69.639,0.004,52229,0.00125,0.00121,120,48460,0
69.836,60140.266,84,69.836,0.002,52377,0.00113,0.00116,84,48333,0
69.591,57889.693,111,69.591,0.007,52193,0.0012,0.0012,111,48460,0
69.679,56365.388,120,69.679,0.001,52259,0.00127,0.00124,120,48397,0
69.756,57762.311,129,69.756,0.012,52317,0.00129,0.00121,129,48384,0
69.956,48385.133,275,69.956,0.005,52467,0.00507,0.00145,275,48277,0
69.244,54158.085,82,69.244,0.012,51933,0.0011,0.00128,82,48556,0
69.481,55412.181,111,69.481,0.01,52111,0.00126,0.00126,111,48445,0
69.456,57080.18,98,69.456,0.013,52092,0.00123,0.00122,98,48484,0
69.576,57487.777,129,69.576,0.01,52182,0.00123,0.00121,129,48484,0
69.655,58795.525,93,69.655,0.003,52241,0.00116,0.00119,93,48397,0
69.497,56022.743,102,69.497,0.011,52123,0.0012,0.00124,102,48508,0
69.484,55583.465,120,69.484,-0.06,52113,0.00125,0.00125,120,48445,0
70.897,50127.409,453,70.897,0.004,53173,0.00573,0.00142,453,48076,0
69.669,58681.299,84,69.669,0.003,52252,0.00114,0.00119,84,48421,0
69.981,56099.54,122,69.981,0.011,52486,0.00135,0.00125,122,48372,0
69.403,54214.339,102,69.403,0.01,52052,0.00131,0.00128,102,48365,0
69.591,56251.549,120,69.591,0.011,52193,0.00124,0.00124,120,48460,0
