Model,File,Packet Size,Accuracy,Macro F1 Score,Micro F1 Score,Weighted F1 Score,Macro Precision,Micro Precision,Cohen's Kappa,Precision_0,Recall_0,F1_0,Precision_1,Recall_1,F1_1,Precision_macro avg,Recall_macro avg,F1_macro avg,Precision_weighted avg,Recall_weighted avg,F1_weighted avg
Random Forest,combined_10_packets.csv,10,0.767,0.760,0.767,0.765,0.766,0.767,0.521,0.768,0.834,0.800,0.764,0.682,0.721,0.766,0.758,0.760,0.766,0.767,0.765
Gradient Boosting,combined_10_packets.csv,10,0.803,0.791,0.803,0.797,0.824,0.803,0.588,0.765,0.933,0.841,0.882,0.639,0.741,0.824,0.786,0.791,0.817,0.803,0.797
SVM,combined_10_packets.csv,10,0.717,0.686,0.717,0.697,0.755,0.717,0.398,0.682,0.926,0.785,0.829,0.454,0.586,0.755,0.690,0.686,0.747,0.717,0.697
k-NN,combined_10_packets.csv,10,0.779,0.771,0.779,0.776,0.782,0.779,0.545,0.770,0.861,0.813,0.794,0.675,0.730,0.782,0.768,0.771,0.781,0.779,0.776
Logistic Regression,combined_10_packets.csv,10,0.755,0.750,0.755,0.754,0.752,0.755,0.501,0.770,0.800,0.785,0.734,0.699,0.716,0.752,0.749,0.750,0.754,0.755,0.754
Random Forest,combined_50_packets.csv,50,0.797,0.790,0.797,0.795,0.803,0.797,0.582,0.781,0.885,0.830,0.826,0.687,0.750,0.803,0.786,0.790,0.801,0.797,0.795
Gradient Boosting,combined_50_packets.csv,50,0.814,0.802,0.814,0.808,0.839,0.814,0.612,0.772,0.947,0.850,0.906,0.646,0.754,0.839,0.797,0.802,0.831,0.814,0.808
SVM,combined_50_packets.csv,50,0.801,0.790,0.801,0.795,0.822,0.801,0.585,0.765,0.930,0.839,0.879,0.639,0.740,0.822,0.784,0.790,0.815,0.801,0.795
k-NN,combined_50_packets.csv,50,0.789,0.781,0.789,0.786,0.793,0.789,0.565,0.777,0.871,0.822,0.808,0.685,0.741,0.793,0.778,0.781,0.791,0.789,0.786
Logistic Regression,combined_50_packets.csv,50,0.795,0.787,0.795,0.792,0.803,0.795,0.576,0.776,0.890,0.829,0.829,0.675,0.744,0.803,0.783,0.787,0.800,0.795,0.792
Random Forest,combined_100_packets.csv,100,0.813,0.805,0.813,0.810,0.824,0.813,0.614,0.788,0.910,0.845,0.859,0.691,0.766,0.824,0.801,0.805,0.820,0.813,0.810
Gradient Boosting,combined_100_packets.csv,100,0.826,0.814,0.826,0.820,0.856,0.826,0.636,0.777,0.964,0.861,0.935,0.651,0.768,0.856,0.808,0.814,0.847,0.826,0.820
SVM,combined_100_packets.csv,100,0.808,0.797,0.808,0.802,0.829,0.808,0.599,0.770,0.935,0.845,0.887,0.647,0.749,0.829,0.791,0.797,0.822,0.808,0.802
k-NN,combined_100_packets.csv,100,0.799,0.791,0.799,0.796,0.805,0.799,0.585,0.781,0.889,0.831,0.830,0.685,0.751,0.805,0.787,0.791,0.803,0.799,0.796
Logistic Regression,combined_100_packets.csv,100,0.797,0.789,0.797,0.794,0.802,0.797,0.581,0.781,0.884,0.829,0.824,0.686,0.749,0.802,0.785,0.789,0.800,0.797,0.794
