Average Packet Size,Flow Bytes/s,Fwd Packet Length Mean,Max Packet Length,Fwd IAT Min,Total Length of Fwd Packets,Flow IAT Mean,Fwd IAT Std,Fwd Packet Length Max,Fwd Header Length,Label
257.448,1115.102,2974,243.093,0.0,1215466,4.01376,0.23092,3121,241132,0
227.9,1066.152,2974,213.538,0.0,1067688,3.16985,0.2138,3121,244900,0
325.231,4263.831,7306,311.008,0.0,1555041,0.50895,0.07629,7292,257744,1
321.816,5344.183,2974,307.595,0.0,1537976,0.17483,0.06023,2960,257704,1
315.926,5503.191,2974,301.813,0.0,1509064,0.17119,0.05742,3121,257436,1
309.779,5413.336,2962,295.712,0.0,1478560,0.17338,0.05724,2948,261176,1
314.963,5433.294,2974,300.685,0.0,1503425,0.17632,0.05798,2960,255672,1
326.356,5125.795,2974,312.349,0.0,1561743,0.18736,0.06368,3121,260396,1
312.908,5184.66,2974,298.702,0.0,1493508,0.18471,0.06036,2960,258232,1
257.448,1115.102,2974,243.093,0.0,1215466,4.01376,0.23092,3121,241132,0
227.9,1066.152,2974,213.538,0.0,1067688,3.16985,0.2138,3121,244900,0
219.831,1070.43,2974,205.01,0.0,1025048,1.63008,0.20541,3121,237436,0
96.65,3570.939,2962,82.282,-0.001,411412,0.15367,0.02707,2948,258992,2
104.08,3787.447,2974,89.563,0.0,447816,0.17874,0.02749,2960,255264,2
277.683,13270.692,5538,263.288,-0.001,1316441,0.14678,0.02093,5524,257604,2
371.678,34547.542,8454,357.408,-0.001,1787039,0.06212,0.01076,8440,259216,2
93.905,3742.852,5858,79.369,-0.001,396847,0.12563,0.02509,5844,255204,2
114.971,4325.136,3135,100.567,-0.001,502833,0.1372,0.02659,3121,258008,2
96.886,3563.506,1836,82.448,0.0,412238,0.1716,0.02719,1822,257044,2
106.657,3987.75,2974,92.194,-0.001,460969,0.19347,0.02675,2960,256368,2
96.942,3468.651,2974,82.474,0.0,412372,0.18613,0.02795,2960,256288,2
88.594,3099.358,1042,74.131,0.0,370653,0.22002,0.02859,1028,256784,2
104.278,3883.797,2974,89.879,0.0,449397,0.1595,0.02685,3121,255464,2
93.672,3195.064,2962,79.148,0.0,395742,0.1683,0.02932,2948,255000,2
104.061,3934.05,2974,89.595,0.0,447977,0.20381,0.02646,2960,256392,2
113.461,4308.975,2974,99.159,0.0,495794,0.1484,0.02634,3121,256156,2
92.978,3373.095,1042,78.542,-0.001,392712,0.19327,0.02757,1028,257084,2
96.705,3648.165,2962,82.12,0.0,410598,0.16806,0.02651,2948,253064,2
110.271,3995.12,4170,95.738,-0.001,478691,0.21129,0.02761,4156,254564,2
92.595,3073.069,1514,78.134,0.0,390669,0.19626,0.03014,1500,256920,2
96.981,3579.652,2962,82.54,0.0,412698,0.20689,0.0271,2948,256992,2
100.596,3701.726,2974,86.049,0.0,430245,0.16798,0.02718,2960,254256,2
96.063,3450.357,2974,81.678,-0.001,408392,0.19573,0.02785,3121,256120,2
95.923,3567.898,1042,81.405,-0.001,407027,0.22755,0.02689,1028,255020,2
97.977,3387.497,2974,83.506,-0.001,417532,0.16858,0.02893,2960,256228,2
96.407,3700.209,1042,81.901,-0.001,409503,0.17688,0.02606,1028,255128,2
97.012,3573.002,2974,82.466,0.0,412332,0.21271,0.02716,2960,254156,2
98.128,3547.703,2974,83.643,-0.001,418216,0.19821,0.02767,2960,256116,2
99.058,3618.659,2962,84.705,0.0,423524,0.18285,0.02738,3121,256872,2
210.073,1031.752,2974,195.247,0.0,976236,1.61192,0.20365,3121,237316,0
394.164,4523.302,7992,379.665,0.0,1898326,0.43657,0.08716,7978,251712,4
370.455,5305.927,2974,355.987,0.0,1779935,0.19924,0.06983,2960,252228,4
211.82,1340.255,2974,196.728,0.0,983638,2.46251,0.15808,3121,230236,0
220.438,1607.316,2974,205.368,-0.001,1026842,1.91602,0.13717,3121,231508,0
218.747,1396.512,2974,203.812,-0.001,1019060,2.11803,0.15667,3121,235100,0
216.592,1628.977,2974,201.65,0.0,1008252,1.97104,0.13299,2960,237664,0
216.855,1995.093,5538,202.298,0.0,1011489,1.21878,0.10872,5524,247980,5
166.448,7736.954,2974,152.508,-0.001,762540,0.13159,0.02152,3121,261360,5
161.149,7980.632,2962,147.13,-0.001,735648,0.12735,0.0202,2948,261884,5
167.682,9926.535,2974,153.49,-0.001,767451,0.08466,0.0169,2960,256976,5
160.305,7579.526,2974,146.267,-0.001,731334,0.12412,0.02115,2960,262420,5
162.156,7482.776,2974,148.108,-0.001,740540,0.14832,0.02167,2960,260512,5
160.618,8098.497,2962,146.51,0.0,732549,0.09354,0.01984,2948,258916,5
163.458,8873.288,2974,149.345,0.0,746724,0.09601,0.01842,2960,259116,5
167.333,8871.873,2962,153.266,0.0,766331,0.10762,0.01886,2948,259824,5
155.906,7000.025,1042,141.899,0.0,709496,0.10634,0.02228,1028,261360,5
175.663,10443.964,2974,161.493,-0.002,807466,0.0882,0.01682,3121,255872,5
161.76,8693.879,3141,147.583,-0.001,737913,0.08692,0.01861,3127,257424,5
166.404,8623.459,2974,152.365,0.0,761827,0.1169,0.0193,2960,260668,5
166.96,8137.157,2974,152.749,0.0,763744,0.1115,0.02052,2960,256024,5
160.387,8340.224,2974,146.31,0.0,731552,0.09861,0.01923,2960,259644,5
169.502,9639.643,5538,155.355,0.0,776776,0.08809,0.01759,5524,258360,5
163.679,8668.269,2974,149.524,0.0,747619,0.12328,0.01889,2960,257744,5
159.724,7571.631,2962,145.657,0.0,728286,0.11827,0.0211,2948,259568,5
158.417,8513.217,2962,144.29,-0.001,721449,0.10612,0.01861,2948,258336,5
168.138,9471.175,2974,154.159,0.0,770797,0.09725,0.01776,3121,259748,5
165.096,8820.836,2974,150.983,0.0,754915,0.10152,0.01872,2960,258716,5
168.562,8342.204,2974,154.476,0.0,772380,0.10744,0.02021,2960,259664,5
158.38,8155.342,2974,144.227,-0.001,721133,0.10297,0.01942,2960,257528,5
163.706,8943.073,2962,149.562,0.0,747812,0.104,0.01831,2948,258160,5
159.991,7851.624,2962,145.991,0.0,729957,0.11651,0.02038,2948,261532,5
167.577,8820.11,2974,153.205,0.0,766024,0.10237,0.019,2960,252144,5
159.497,8345.441,2962,145.428,0.0,727138,0.08823,0.01912,2948,259560,5
257.683,15813.912,4410,243.637,0.0,1218186,0.09195,0.0163,4396,260676,5
859.876,112042.428,4410,845.876,-0.001,4229378,0.05507,0.00768,4396,263680,5
160.481,8370.466,2950,146.462,0.0,732308,0.11894,0.01918,3121,258960,5
163.654,7672.45,2974,149.577,0.0,747885,0.14755,0.02133,2960,259740,5
164.275,8497.852,2974,150.174,-0.001,750872,0.104,0.01934,2960,259376,5
160.136,8265.002,2974,146.031,0.0,730154,0.09485,0.01938,2960,259292,5
1057.032,104133.269,4407,1040.698,-0.001,5203491,0.27881,0.01015,4393,202356,0
900.194,26204.743,4434,883.819,-0.001,4419093,0.86011,0.03436,4420,202212,0
982.037,6760603.833,4434,966.271,0.0,4831354,0.00017,0.00015,4420,204720,0
602.843,16800.07,4434,586.443,-0.001,2932216,0.36364,0.03589,4420,206828,0
484.42,10097.629,4477,467.95,0.0,2339748,0.37756,0.04798,4463,206284,0
639.265,25620.924,4434,623.127,-0.001,3115633,0.34576,0.02496,4420,205592,0
202.202,5692.616,4434,185.27,-0.001,926349,0.24068,0.03553,4420,212684,0
681.293,18613.965,4620,665.121,-0.001,3325605,0.42745,0.03661,4606,204840,0
623.554,17800.375,4434,606.763,0.0,3033815,0.30788,0.03504,4420,208152,0
761.69,20909.446,7354,745.469,-0.01,3727346,1.21121,0.03644,7340,208164,0
662.029,58250.86,5574,645.552,0.0,3227758,0.08108,0.01137,5560,205144,0
97.981,3345.852,4434,81.857,0.0,409283,0.37784,0.02929,4420,218944,6
