Average Packet Size,Flow Bytes/s,Fwd Packet Length Mean,Max Packet Length,Fwd IAT Min,Total Length of Fwd Packets,Flow IAT Mean,Fwd IAT Std,Fwd Packet Length Max,Fwd Header Length,Label
263.414,945.521,2974,248.142,0.0,248142,4.9663,0.27887,2960,46056,0
301.886,613.292,2974,287.728,0.0,287728,5.19898,0.49273,3121,49716,0
237.931,5631.924,2962,224.398,0.0,224398,0.92782,0.04229,3121,51312,0
274.636,8506.991,2974,261.254,0.0,261254,0.3592,0.03232,3121,48636,0
209.372,677.718,2974,193.944,0.0,193944,5.27682,0.30925,2960,45412,0
196.884,539.022,2974,182.26,0.0,182260,4.80799,0.36563,2960,50116,0
245.135,1881.404,2974,230.786,0.0,230786,1.79407,0.13042,3121,47452,0
291.604,2186.602,2974,278.351,0.0,278351,1.61823,0.13349,3121,50460,0
213.751,1045.592,2974,198.779,0.0,198779,3.10727,0.20464,2960,47504,0
192.124,815.986,2974,177.512,0.0,177512,3.41668,0.23569,2960,49368,0
326.957,2440.712,7306,312.411,0.0,312411,1.08068,0.13409,7292,49980,1
309.608,5738.683,2962,295.23,0.0,295230,0.16646,0.05401,2948,50684,1
340.508,5096.017,2962,326.508,0.0,326508,0.18394,0.06689,2948,52688,1
332.236,4870.223,1134,318.236,0.0,318236,0.18576,0.06829,1120,52656,1
316.848,5425.848,2974,302.656,0.0,302656,0.17019,0.05845,2960,51736,1
306.354,5887.861,2974,292.162,0.0,292162,0.16252,0.05208,2960,51708,1
340.844,5070.947,2974,326.652,0.001,326652,0.18654,0.06728,2960,51788,1
311.75,5176.144,1134,297.75,0.0,297750,0.17117,0.06029,1120,52608,1
312.495,5689.808,2974,297.967,0.001,297967,0.16782,0.05498,2960,49808,1
337.637,5080.819,2974,323.445,0.0,323445,0.1849,0.06652,2960,51792,1
291.763,6345.078,2962,277.427,0.0,277427,0.15019,0.04603,2948,50696,1
275.465,9285.611,2974,261.559,0.0,261559,0.11877,0.0297,3121,50284,1
331.795,4713.48,1134,317.663,0.0,317663,0.18974,0.07046,1120,52028,1
338.723,5027.007,2974,324.531,0.0,324531,0.1878,0.06745,2960,51772,1
341.884,4644.304,1134,327.884,0.0,327884,0.19332,0.07369,1120,52656,1
340.457,4718.936,1134,326.457,0.0,326457,0.19754,0.07222,1120,52672,1
283.072,6023.835,1134,268.736,0.0,268736,0.1529,0.04704,1120,50664,1
303.553,6181.028,2962,289.553,0.0,289553,0.15534,0.04916,2948,52608,1
316.374,5274.982,1239,302.374,0.0,302374,0.17974,0.06004,1225,52592,1
305.44,5279.541,1135,291.44,0.001,291440,0.1769,0.05791,1121,52640,1
337.728,4688.671,1134,323.728,0.0,323728,0.1941,0.0721,1120,52688,1
340.091,4737.318,1134,326.079,0.001,326079,0.19726,0.07186,1120,52620,1
285.864,6742.453,2974,271.012,0.0,271012,0.15017,0.04244,2960,47900,1
334.565,5171.792,2974,320.337,0.001,320337,0.18811,0.06476,2960,51420,1
276.569,7169.639,2962,262.269,0.0,262269,0.14145,0.03861,2948,51044,1
313.53,5551.059,2974,299.338,0.0,299338,0.17409,0.05654,2960,51716,1
334.68,5415.33,2950,321.17,0.0,321170,0.1856,0.06186,3121,52592,1
336.479,4722.489,1135,322.479,0.002,322479,0.19705,0.07132,1121,52704,1
312.321,5280.743,1134,297.985,0.001,297985,0.17849,0.0592,1120,50696,1
334.771,4808.186,1134,320.771,0.001,320771,0.20046,0.06969,1120,52688,1
331.128,4626.029,1134,317.104,0.0,317104,0.20101,0.07165,1120,52672,1
294.203,7105.693,2974,280.011,0.0,280011,0.153,0.04145,2960,51664,1
308.981,4985.482,1135,294.945,0.0,294945,0.18766,0.06204,1121,52584,1
317.116,4988.021,1134,302.78,0.0,302780,0.18901,0.06364,1120,50784,1
313.112,5036.179,1133,298.668,0.0,298668,0.1863,0.06223,1119,50528,1
308.981,5452.212,2962,294.981,0.0,294981,0.17951,0.05673,2948,52656,1
315.013,4948.881,1134,300.677,0.0,300677,0.18756,0.06372,1120,50760,1
315.162,5779.703,2974,300.634,0.0,300634,0.17582,0.05458,2960,49864,1
280.297,6907.23,2974,266.105,0.0,266105,0.15278,0.04062,2960,51704,1
263.414,945.521,2974,248.142,0.0,248142,4.9663,0.27887,2960,46056,0
301.886,613.292,2974,287.728,0.0,287728,5.19898,0.49273,3121,49716,0
237.931,5631.924,2962,224.398,0.0,224398,0.92782,0.04229,3121,51312,0
274.636,8506.991,2974,261.254,0.0,261254,0.3592,0.03232,3121,48636,0
209.372,677.718,2974,193.944,0.0,193944,5.27682,0.30925,2960,45412,0
196.884,539.022,2974,182.26,0.0,182260,4.80799,0.36563,2960,50116,0
245.135,1881.404,2974,230.786,0.0,230786,1.79407,0.13042,3121,47452,0
291.604,2186.602,2974,278.351,0.0,278351,1.61823,0.13349,3121,50460,0
213.751,1045.592,2974,198.779,0.0,198779,3.10727,0.20464,2960,47504,0
192.124,815.986,2974,177.512,0.0,177512,3.41668,0.23569,2960,49368,0
226.798,1217.424,2974,211.79,0.0,211790,1.59605,0.18648,2960,47036,0
217.104,3346.697,2962,202.212,0.0,202212,0.70066,0.06494,2948,47568,0
244.262,1036.563,2974,229.85,0.0,229850,1.71754,0.23588,3121,47908,0
194.996,703.714,1042,179.778,0.0,179778,1.92216,0.27737,1028,45632,0
215.994,821.523,2962,201.418,0.0,201418,1.89588,0.26318,2948,49292,0
221.326,2481.533,2974,206.162,0.0,206162,0.85356,0.08928,2960,46624,0
206.278,1060.262,2950,191.808,0.0,191808,1.51983,0.19475,3121,47000,0
105.549,4986.07,1042,91.237,-0.001,91237,0.1439,0.02119,1028,51896,2
121.532,5245.014,2962,107.244,0.0,107244,0.12285,0.02319,2948,51936,2
86.035,2916.543,469,71.615,0.0,71615,0.13776,0.02953,455,51720,2
83.8,2728.316,469,69.38,0.0,69380,0.16565,0.03075,455,51720,2
86.332,2805.616,469,71.936,0.0,71936,0.18964,0.0308,455,51720,2
85.87,2864.626,469,71.426,0.0,71426,0.22745,0.03001,455,51656,2
121.533,5000.215,2962,107.269,0.0,107269,0.18407,0.02433,2948,52016,2
88.581,3075.09,506,74.203,0.0,74203,0.1938,0.02883,492,51780,2
105.684,3540.959,2974,91.108,0.0,91108,0.15044,0.02988,2960,50876,2
118.734,4853.576,2974,103.81,0.0,103810,0.11896,0.02449,2960,48936,2
116.173,6131.928,1042,101.597,-0.001,101597,0.11362,0.01896,1028,50056,2
104.15,3668.342,2962,89.766,0.0,89766,0.15042,0.02842,2948,51808,2
86.129,2801.998,469,71.709,-0.001,71709,0.21449,0.03077,455,51720,2
400.72,24178.316,5538,386.324,-0.001,386324,0.11814,0.01659,5524,52152,2
681.243,68657.681,4320,667.045,0.0,667045,0.10997,0.00993,4306,51868,2
617.678,82824.895,4410,603.528,0.0,603528,0.05294,0.00747,4396,52944,2
455.727,140222.225,4410,441.181,-0.001,441181,0.00771,0.00325,4396,50676,2
479.176,96234.747,8454,465.313,0.0,465313,0.01971,0.00498,8440,52104,2
186.174,10916.335,2962,171.814,0.0,171814,0.08081,0.01707,2948,51812,2
119.635,5685.904,3047,105.203,0.0,105203,0.09642,0.02106,3033,51680,2
100.865,4431.207,2962,86.469,0.0,86469,0.10776,0.02279,2948,51600,2
79.874,3271.051,469,65.364,-0.001,65364,0.09713,0.02444,455,51412,2
118.502,5917.102,2974,103.638,0.0,103638,0.10433,0.02005,2960,49052,2
88.667,3196.04,5858,74.157,0.0,74157,0.1452,0.02777,5844,51404,2
81.615,2701.269,469,67.219,0.0,67219,0.16093,0.03024,455,51736,2
106.475,4540.354,2974,91.857,0.0,91857,0.1192,0.02347,2960,50688,2
123.441,5374.883,2962,109.147,-0.001,109147,0.1182,0.02299,2948,51924,2
98.596,3553.724,1042,84.254,0.0,84254,0.11054,0.02777,1028,51844,2
164.89,6118.57,3135,150.536,0.0,150536,0.11244,0.02698,3121,51836,2
81.453,2561.521,469,67.039,0.0,67039,0.20291,0.03183,455,51716,2
123.336,4510.51,1836,108.994,0.0,108994,0.13329,0.02737,1822,51876,2
86.283,3042.023,506,71.899,0.001,71899,0.1594,0.02839,492,51752,2
79.378,2672.022,469,64.97,0.0,64970,0.20037,0.02974,455,51728,2
81.586,2523.422,469,67.178,0.0,67178,0.20389,0.03236,455,51744,2
113.845,6257.41,1042,99.197,0.0,99197,0.14983,0.01821,1028,49944,2
121.339,5038.829,2962,107.039,0.0,107039,0.19525,0.0241,2948,51928,2
104.312,3769.79,2962,89.934,0.0,89934,0.21311,0.0277,2948,51804,2
101.398,3438.0,2974,86.84,-0.001,86840,0.20936,0.02952,2960,50948,2
101.94,4157.428,1030,87.244,0.0,87244,0.14406,0.02454,1016,49896,2
104.296,3732.333,2962,89.912,0.0,89912,0.19827,0.02797,2948,51792,2
90.387,3245.38,1042,76.015,0.0,76015,0.19214,0.02788,1028,51832,2
109.642,4358.447,1042,95.342,0.0,95342,0.15446,0.02518,1028,51864,2
81.641,2458.42,469,67.221,0.0,67221,0.18689,0.03324,455,51720,2
81.662,2488.369,469,67.242,0.0,67242,0.22207,0.03285,455,51720,2
121.38,5862.054,2974,106.552,0.0,106552,0.16843,0.02073,2960,49152,2
81.653,2745.366,469,67.245,0.001,67245,0.23711,0.02977,455,51696,2
92.625,3147.974,1042,78.253,0.0,78253,0.21533,0.02945,1028,51800,2
87.761,3260.317,1042,73.389,0.0,73389,0.1648,0.02694,1028,51792,2
81.549,2746.645,469,67.117,0.0,67117,0.23723,0.02972,455,51704,2
99.381,3664.528,1030,84.649,0.0,84649,0.23747,0.02715,1016,49792,2
79.321,2682.372,469,64.901,0.0,64901,0.22195,0.0296,455,51752,2
140.469,6684.884,2974,126.491,0.0,126491,0.14113,0.02103,3121,51028,2
97.243,3653.789,1030,82.571,0.001,82571,0.15144,0.02664,1016,49992,2
83.009,2447.941,469,68.613,0.0,68613,0.15008,0.03394,455,51752,2
121.349,5268.728,2974,106.821,0.0,106821,0.11252,0.02305,2960,50940,2
104.075,3482.276,2962,89.691,0.0,89691,0.15961,0.02992,2948,51808,2
99.222,3683.814,1030,84.502,0.0,84502,0.18029,0.02696,1016,49832,2
101.783,4078.443,1030,87.099,0.0,87099,0.15518,0.02498,1016,49896,2
81.612,2517.099,469,67.192,0.0,67192,0.16044,0.03246,455,51736,2
81.666,2530.888,469,67.258,0.0,67258,0.1844,0.0323,455,51728,2
112.495,4754.511,1514,98.147,0.0,98147,0.21461,0.02368,1500,51912,2
91.771,3303.394,1042,77.399,0.0,77399,0.20333,0.02781,1028,51784,2
90.152,3051.7,1239,75.744,0.001,75744,0.20764,0.02957,1225,51696,2
116.812,4837.134,2974,101.984,0.0,101984,0.18198,0.02417,2960,49160,2
109.075,4028.902,2962,94.703,0.0,94703,0.21063,0.0271,2948,51840,2
101.05,4140.473,1042,86.702,0.0,86702,0.18518,0.02443,1028,51800,2
101.298,4125.532,1042,86.914,0.0,86914,0.1602,0.02458,1028,51632,2
116.133,4743.241,2974,101.257,0.0,101257,0.12968,0.02451,2960,49116,2
167.319,6944.102,2962,153.847,0.0,153847,0.1175,0.02412,3121,51928,2
81.506,2393.914,469,67.074,0.0,67074,0.14014,0.03408,455,51680,2
100.778,4026.044,1042,86.418,0.0,86418,0.14911,0.02506,1028,51816,2
86.598,2930.601,506,72.238,0.001,72238,0.15018,0.02958,492,51808,2
80.085,2430.719,469,65.647,0.0,65647,0.23327,0.03298,455,51684,2
96.963,3701.499,1042,82.615,-0.001,82615,0.21814,0.02622,1028,51848,2
100.466,4169.167,1030,85.794,0.0,85794,0.20053,0.02412,1016,49928,2
101.834,3528.159,2962,87.45,0.0,87450,0.19413,0.02889,2948,51792,2
96.846,3846.315,1030,82.21,0.001,82210,0.17194,0.0252,1016,50256,2
102.457,4834.248,1030,87.677,0.0,87677,0.11925,0.02122,1016,49472,2
83.196,2692.074,506,68.8,0.002,68800,0.15584,0.03093,492,51736,2
99.193,3758.108,1030,84.461,0.0,84461,0.18876,0.02642,1016,49808,2
81.504,2621.004,469,67.072,0.0,67072,0.23843,0.03113,455,51728,2
118.314,4922.861,2974,103.81,0.0,103810,0.15557,0.02406,2960,50984,2
139.398,5560.577,4170,124.762,0.0,124762,0.18823,0.02509,4156,49976,2
103.619,3498.818,2974,89.043,0.0,89043,0.21536,0.02965,2960,50872,2
108.52,3849.334,2974,94.004,-0.001,94004,0.24633,0.02822,2960,51004,2
81.753,2627.117,469,67.345,0.0,67345,0.25394,0.03115,455,51728,2
108.694,4511.844,1042,94.214,0.0,94214,0.19962,0.02411,1028,50956,2
89.115,2477.351,1030,74.479,0.0,74479,0.20529,0.03601,1016,50628,2
81.938,2594.98,469,67.542,0.0,67542,0.14171,0.03161,455,51736,2
101.473,3637.48,1514,87.089,0.0,87089,0.16201,0.02792,1500,51872,2
86.304,3175.863,506,71.908,0.0,71908,0.20375,0.0272,492,51760,2
81.87,2489.677,469,67.486,0.0,67486,0.25456,0.03292,455,51760,2
81.182,2685.705,469,66.702,0.0,66702,0.23758,0.03026,455,51632,2
113.964,5887.604,1042,99.292,0.0,99292,0.16652,0.01938,1028,49912,2
121.586,4733.578,2962,107.31,0.0,107310,0.1541,0.02571,2948,51928,2
81.452,2558.036,469,67.008,0.0,67008,0.23686,0.03187,455,51720,2
121.938,5126.584,2974,107.014,0.0,107014,0.10947,0.02381,2960,48536,2
98.786,3897.68,1030,84.15,0.0,84150,0.12332,0.02537,1016,50376,2
81.91,2517.522,469,67.502,0.0,67502,0.19471,0.03257,455,51728,2
118.895,5325.265,2962,104.571,0.0,104571,0.14147,0.02235,2948,51896,2
81.581,2559.475,469,67.137,0.001,67137,0.20129,0.03191,455,51656,2
113.814,4205.633,2950,99.98,0.0,99980,0.20251,0.02709,3121,51856,2
101.413,3676.999,2974,86.891,0.001,86891,0.19504,0.02761,2960,51100,2
103.982,4708.293,1030,89.28,-0.001,89280,0.16223,0.02211,1016,49788,2
79.524,2598.414,469,65.104,0.001,65104,0.21425,0.03064,455,51720,2
99.196,4058.91,1030,84.452,-0.001,84452,0.2154,0.02446,1016,49816,2
100.996,3810.818,1042,86.678,0.0,86678,0.20837,0.02653,1028,51892,2
81.675,2600.754,469,67.249,0.0,67249,0.26202,0.03144,455,51716,2
96.89,3846.792,1030,82.134,0.0,82134,0.21995,0.02521,1016,49768,2
100.856,4151.555,1042,86.514,0.0,86514,0.21412,0.02432,1028,51828,2
86.443,2804.813,506,72.065,0.0,72065,0.14813,0.03085,492,51796,2
96.985,3320.094,1030,82.301,0.0,82301,0.13574,0.02924,1016,49896,2
81.603,2562.806,469,67.183,0.0,67183,0.15174,0.03187,455,51720,2
120.566,5013.387,2974,106.068,-0.001,106068,0.19216,0.02407,2960,51000,2
104.287,3634.583,2962,89.915,0.0,89915,0.20485,0.02872,2948,51816,2
98.544,3826.422,1042,84.196,0.0,84196,0.11959,0.02578,1028,51832,2
104.044,4793.053,1030,89.396,0.0,89396,0.12005,0.02173,1016,49984,2
97.031,3717.902,1030,82.251,0.0,82251,0.20973,0.02612,1016,49720,2
81.571,2681.366,469,67.163,0.0,67163,0.21335,0.03045,455,51760,2
100.845,4158.618,1042,86.497,-0.001,86497,0.18534,0.02427,1028,51832,2
96.864,3923.818,1030,82.108,0.0,82108,0.19248,0.02471,1016,49760,2
81.739,2522.264,469,67.319,0.0,67319,0.23188,0.03244,455,51696,2
103.679,3455.597,2974,89.127,0.0,89127,0.25096,0.03003,2960,50920,2
101.87,4688.8,1030,87.21,0.0,87210,0.16423,0.02175,1016,49952,2
100.91,3746.685,1042,86.568,0.0,86568,0.21389,0.02696,1028,51828,2
86.591,2917.229,1042,72.177,0.0,72177,0.17662,0.02971,1028,51764,2
113.322,4655.459,2974,98.806,-0.001,98806,0.18491,0.02437,2960,50956,2
81.855,2428.819,469,67.459,0.0,67459,0.25583,0.03374,455,51720,2
89.39,3162.362,989,75.012,0.001,75012,0.21566,0.0283,975,51820,2
119.482,5365.41,2962,104.762,0.0,104762,0.13898,0.02229,2948,49856,2
81.864,2623.419,469,67.468,0.0,67468,0.19594,0.03124,455,51736,2
81.597,2728.777,469,67.165,0.0,67165,0.14755,0.02993,455,51712,2
96.896,3941.34,1030,82.128,0.0,82128,0.17994,0.02461,1016,49696,2
101.026,3766.233,1042,86.678,0.0,86678,0.20187,0.02685,1028,51800,2
133.907,5501.44,2962,120.085,0.0,120085,0.18468,0.02436,3121,51928,2
518.231,1947.094,4320,504.313,0.0,504313,2.93336,0.26642,4306,51852,0
1013.705,36739.55,4519,1000.111,0.0,1000111,0.7335,0.02762,4505,52132,3
1019.267,976575.981,4410,1005.183,0.0,1005183,0.00583,0.00104,4396,51888,3
986.837,151119.302,4410,972.807,0.0,972807,0.04102,0.00654,4396,54216,3
305.843,9282.795,3176,291.843,0.0,291843,0.09985,0.03298,3162,53408,3
314.283,8601.115,3176,300.283,0.001,300283,0.10596,0.03658,3162,53420,3
288.543,8390.321,3176,274.519,0.001,274519,0.10325,0.03442,3162,53312,3
290.978,8925.707,3176,276.978,0.001,276978,0.09886,0.03263,3162,53360,3
297.144,9600.272,2798,283.592,0.001,283592,0.09318,0.03098,2962,53312,3
307.801,8910.145,3176,293.801,0.001,293801,0.10059,0.03458,3162,53388,3
631.706,42709.811,2742,617.706,0.0,617706,0.06621,0.01481,2728,52580,3
952.554,577457.693,2742,938.554,0.0,938554,0.00925,0.00165,2728,52072,3
968.441,546777.598,2742,954.441,0.0,954441,0.00954,0.00177,2728,52068,3
961.23,574264.985,2742,947.23,-0.001,947230,0.00943,0.00168,2728,52060,3
982.933,555106.709,1838,968.933,0.0,968933,0.0095,0.00177,1824,52080,3
946.865,539040.462,1514,932.865,0.0,932865,0.00958,0.00176,1500,52072,3
971.234,586761.476,1514,957.234,0.0,957234,0.00916,0.00166,1500,52068,3
958.334,580745.131,2742,944.334,0.0,944334,0.00928,0.00165,2728,52060,3
964.109,540721.119,3176,950.109,0.0,950109,0.00955,0.00178,3162,52080,3
862.697,532073.137,1514,848.697,0.0,848697,0.00872,0.00162,1500,52188,3
965.099,595885.049,1514,951.099,0.0,951099,0.00876,0.00162,1500,52060,3
953.99,600302.546,1514,939.99,0.0,939990,0.00879,0.00159,1500,52060,3
952.525,550839.567,1514,938.525,0.0,938525,0.00935,0.00173,1500,52080,3
977.158,617317.862,1838,963.158,0.0,963158,0.00888,0.00158,1824,52060,3
953.618,550390.102,1514,939.618,0.0,939618,0.00962,0.00173,1500,52060,3
378.188,12130.413,3176,364.104,0.001,364104,0.09646,0.03121,3162,53068,3
303.837,7883.426,3176,289.777,0.0,289777,0.11537,0.03858,3162,53308,3
