Average Packet Size,Flow Bytes/s,Fwd Packet Length Mean,Max Packet Length,Fwd IAT Min,Total Length of Fwd Packets,Flow IAT Mean,Fwd IAT Std,Fwd Packet Length Max,Fwd Header Length,Label
391.09,946.506,7992,377.09,0.0,37709,2.26647,0.41737,7978,5336,1
589.76,7496.815,5396,575.76,0.003,57576,0.22544,0.07946,5382,5288,1
546.29,4252.165,1934,532.29,0.004,53229,0.29041,0.12977,1920,5312,1
503.09,4034.241,1935,489.09,0.089,48909,0.26894,0.12596,1921,5304,1
506.18,4384.674,1934,492.18,0.0,49218,0.26251,0.11661,1920,5320,1
527.61,4106.847,1935,513.61,0.023,51361,0.27676,0.12977,1921,5312,1
502.77,3979.428,1935,488.77,0.005,48877,0.28668,0.12762,1921,5312,1
509.79,4022.862,1934,495.79,0.068,49579,0.27268,0.128,1920,5296,1
499.49,4248.339,1935,485.49,0.031,48549,0.2614,0.11876,1921,5328,1
527.63,4148.466,1935,513.63,0.103,51363,0.28299,0.12847,1921,5312,1
506.11,4372.957,1935,492.11,0.062,49211,0.26204,0.11691,1921,5312,1
481.16,4340.3,1934,467.16,0.004,46716,0.25332,0.11198,1920,5312,1
527.65,4434.519,1935,513.65,0.089,51365,0.26452,0.12019,1921,5312,1
527.64,4123.967,1935,513.64,0.005,51364,0.27967,0.12924,1921,5312,1
503.08,3921.457,1934,489.08,0.0,48908,0.27979,0.12958,1920,5312,1
506.0,4084.688,1935,492.0,0.019,49200,0.26785,0.12513,1921,5296,1
527.27,4470.621,1935,513.27,0.0,51327,0.28358,0.11913,1921,5312,1
503.06,3989.645,1934,489.06,0.035,48906,0.27212,0.12737,1920,5312,1
487.56,4262.522,1934,473.56,0.021,47356,0.25858,0.11554,1920,5328,1
500.24,4324.816,1934,486.24,0.006,48624,0.24989,0.11684,1920,5312,1
527.66,4207.217,1935,513.66,0.026,51366,0.2751,0.12668,1921,5312,1
481.11,4190.413,1935,467.11,0.005,46711,0.25405,0.11597,1921,5312,1
527.66,4173.303,1935,513.66,0.025,51366,0.28281,0.12771,1921,5312,1
485.42,4030.435,1935,471.42,0.074,47142,0.26541,0.12166,1921,5312,1
523.98,4497.723,1934,509.98,0.05,50998,0.25816,0.11768,1920,5328,1
481.45,3909.746,1934,467.45,0.015,46745,0.2587,0.12438,1920,5296,1
509.05,4379.072,1934,495.05,0.018,49505,0.25322,0.11742,1920,5328,1
503.56,4052.183,1935,489.56,0.004,48956,0.28059,0.12552,1921,5296,1
523.96,4456.053,1935,509.96,0.101,50996,0.26474,0.11877,1921,5328,1
503.12,3972.941,1935,489.12,0.005,48912,0.27425,0.12792,1921,5312,1
487.43,4244.703,1934,473.43,0.017,47343,0.25288,0.11599,1920,5312,1
521.83,4154.251,1935,507.83,0.074,50783,0.27234,0.12688,1921,5312,1
481.18,4109.429,1934,467.18,0.004,46718,0.27217,0.11827,1920,5312,1
506.17,4340.429,1934,492.17,0.0,49217,0.24943,0.1178,1920,5312,1
503.14,4426.426,1935,489.14,0.045,48914,0.2569,0.11482,1921,5312,1
506.14,4308.402,1934,492.14,0.048,49214,0.25904,0.11866,1920,5312,1
503.15,3979.876,1936,489.15,0.073,48915,0.27213,0.1277,1922,5312,1
481.17,4288.701,1935,467.17,0.045,46717,0.25328,0.11333,1921,5312,1
506.14,4433.101,1935,492.14,0.0,49214,0.25776,0.11533,1921,5312,1
503.12,4414.239,1935,489.12,0.004,48912,0.24274,0.11513,1921,5312,1
509.93,4127.284,1934,495.93,0.004,49593,0.27261,0.1248,1920,5312,1
499.48,4413.955,1935,485.48,0.095,48548,0.24925,0.1143,1921,5328,1
481.61,4225.885,1935,467.61,0.017,46761,0.24562,0.11512,1921,5312,1
505.7,4212.373,1934,491.7,0.004,49170,0.2711,0.12126,1920,5312,1
503.12,4174.351,1935,489.12,0.004,48912,0.2652,0.12174,1921,5312,1
509.93,4120.444,1935,495.93,0.1,49593,0.26201,0.12501,1921,5312,1
499.3,4333.116,1935,485.3,0.041,48530,0.26249,0.11639,1921,5312,1
487.63,4297.568,1935,473.63,0.031,47363,0.2447,0.11461,1921,5328,1
527.04,4182.076,1934,513.04,0.004,51304,0.27515,0.1273,1920,5296,1
475.9,4237.762,1935,461.9,0.033,46190,0.24173,0.11343,1921,5328,1
506.11,4118.859,1934,492.11,0.096,49211,0.26796,0.12412,1920,5312,1
481.67,4542.933,1936,467.67,0.003,46767,0.23909,0.1071,1922,5312,1
527.68,4527.997,1935,513.68,0.001,51368,0.25803,0.11771,1921,5312,1
457.1,4178.367,1934,443.1,0.001,44310,0.23939,0.1105,1920,5320,1
481.32,4231.147,1935,467.32,0.004,46732,0.2669,0.11491,1921,5320,1
481.55,4248.772,1934,467.55,0.003,46755,0.24526,0.11448,1920,5312,1
506.14,4476.734,1935,492.14,0.004,49214,0.24109,0.1142,1921,5312,1
502.93,4048.512,1935,488.93,0.004,48893,0.26717,0.12548,1921,5296,1
506.12,4434.062,1935,492.12,0.03,49212,0.24823,0.1153,1921,5312,1
502.65,4380.741,1935,488.65,0.004,48865,0.25637,0.1159,1921,5312,1
509.93,4114.554,1935,495.93,0.001,49593,0.26519,0.12519,1921,5312,1
499.14,4177.262,1935,485.14,0.102,48514,0.2637,0.1207,1921,5312,1
477.03,3538.08,1934,463.03,0.004,46303,0.30589,0.13619,1920,5328,1
506.3,4233.507,1934,492.3,0.048,49230,0.26431,0.1208,1920,5328,1
481.0,4163.304,1934,467.0,0.094,46700,0.243,0.1167,1920,5296,1
503.33,3911.712,1936,489.33,0.061,48933,0.28403,0.12997,1922,5328,1
506.18,4198.55,1935,492.18,0.046,49218,0.27162,0.12178,1921,5312,1
502.98,4156.558,1935,488.98,0.101,48898,0.25404,0.12223,1921,5296,1
509.89,4014.616,1934,495.89,0.054,49589,0.27107,0.12829,1920,5312,1
505.23,4287.02,1934,491.23,0.004,49123,0.25493,0.11904,1920,5328,1
499.89,4105.52,1935,485.89,0.001,48589,0.27026,0.12299,1921,5312,1
503.07,4071.196,1935,489.07,0.004,48907,0.2622,0.12482,1921,5304,1
527.58,4180.264,1936,513.58,0.006,51358,0.26701,0.12748,1922,5304,1
506.33,4300.188,1935,492.33,0.004,49233,0.24666,0.11894,1921,5328,1
485.45,3879.176,1935,471.45,0.002,47145,0.27418,0.12641,1921,5312,1
504.7,4288.569,1935,490.7,0.005,49070,0.25836,0.11887,1921,5312,1
