Average Packet Size,Flow Bytes/s,Fwd Packet Length Mean,Max Packet Length,Fwd IAT Min,Total Length of Fwd Packets,Flow IAT Mean,Fwd IAT Std,Fwd Packet Length Max,Fwd Header Length,Label
304.8,2309090.909,469,290.8,0.001,2908,0.0002,0.00015,455,520,0
73.2,62.948,86,59.2,0.001,592,3.83344,1.29208,72,552,0
77.8,2315476.19,100,63.8,0.001,638,4e-05,4e-05,86,520,0
78.4,769.428,97,64.4,0.003,644,0.33947,0.11322,83,520,0
80.6,700869.565,117,66.6,0.003,666,0.00021,0.00013,103,552,0
1382.2,1474346.667,2962,1368.2,0.002,13682,0.00262,0.00104,2948,520,0
814.2,1203903.593,2466,800.2,0.001,8002,0.00171,0.00075,2452,520,0
72.0,1061946.903,90,58.0,0.003,580,8e-05,8e-05,76,520,0
149.4,475.112,469,135.4,0.001,1354,1.04809,0.34939,455,520,0
224.2,2095327.103,469,210.2,0.001,2102,0.0002,0.00012,455,520,0
65.2,1061889.251,74,48.8,0.001,488,0.0001,7e-05,60,448,0
341.4,32746.631,1030,325.0,0.003,3250,0.0206,0.01158,1016,400,0
285.2,38914.966,902,268.8,0.003,2688,0.01949,0.00814,888,400,0
109.6,303181.189,138,94.4,0.001,944,0.00109,0.0004,124,400,0
194.6,117946.542,469,180.6,0.003,1806,0.00423,0.00183,455,448,0
208.6,54424.963,469,193.4,0.0,1934,0.01245,0.00426,455,496,0
270.0,52934.949,1002,253.6,0.001,2536,0.01688,0.00567,988,400,0
90.8,926530.612,122,74.4,0.0,744,0.00018,0.00011,108,400,0
137.2,247385.503,350,120.8,0.0,1208,0.00173,0.00062,336,400,0
69.2,696.672,106,50.4,0.001,504,0.31602,0.11037,92,400,0
65.2,541528.239,74,48.8,0.004,488,0.00025,0.00013,60,448,0
341.4,33163.018,1030,325.0,0.003,3250,0.0206,0.01144,1016,400,0
297.6,43527.863,902,282.4,0.003,2824,0.02037,0.0076,888,400,0
116.0,1023830.538,154,100.8,0.001,1008,0.00019,0.00013,140,400,0
266.8,7859.079,1002,250.4,0.003,2504,0.07798,0.03772,988,400,0
100.4,2773480.663,154,84.0,0.003,840,4e-05,4e-05,140,400,0
84.4,987134.503,106,68.0,0.001,680,0.00018,0.0001,92,400,0
108.4,25946.67,194,92.0,0.003,920,0.01377,0.00464,180,400,0
62.4,285.506,66,44.8,0.002,448,0.72817,0.24284,52,448,0
70.0,869.352,88,53.6,0.028,536,0.26713,0.08947,74,400,0
64.8,4875.736,77,48.4,0.025,484,0.0315,0.01477,63,400,0
76.4,729007.634,105,62.4,0.003,624,0.00013,0.00012,91,448,0
507.4,35877.42,2974,491.0,0.005,4910,0.02954,0.01571,2960,400,0
1256.2,19475968.992,2974,1240.4,0.002,12404,0.00014,7e-05,2960,400,0
471.8,153971.673,2119,453.0,0.001,4530,0.0101,0.0034,2105,400,0
65.2,1358.393,78,48.8,0.001,488,0.14433,0.05333,64,400,0
149.6,195.239,469,131.4,0.001,1314,2.55368,0.85138,455,436,0
217.8,436.895,469,203.8,0.001,2038,1.66134,0.55391,455,528,0
76.5,39455.361,107,62.5,0.003,625,0.00626,0.00215,93,544,0
384.5,119269.185,1042,370.5,0.003,3705,0.00685,0.00358,1028,520,0
280.4,114355.628,914,266.4,0.003,2664,0.00618,0.00272,900,520,0
130.4,87148.299,166,116.4,0.001,1164,0.00463,0.00166,152,520,0
218.5,163756.277,469,204.5,0.003,2045,0.00391,0.00148,455,520,0
359.1,10261.847,1014,345.1,0.001,3451,0.09236,0.03888,1000,520,0
96.8,2050847.458,134,82.8,0.003,828,5e-05,5e-05,120,520,0
97.2,1056521.739,134,83.2,0.002,832,0.00019,0.0001,120,520,0
148.4,19711.762,294,134.4,0.046,1344,0.02485,0.00836,280,520,0
72.0,778.849,118,58.0,0.003,580,0.29295,0.10272,104,528,0
76.5,54783.73,107,62.5,0.003,625,0.00438,0.00155,93,544,0
384.5,111262.226,1042,370.5,0.003,3705,0.00715,0.00384,1028,520,0
280.4,130164.33,914,266.4,0.003,2664,0.00521,0.00239,900,520,0
130.4,39166.216,166,116.4,0.001,1164,0.01083,0.0037,152,520,0
278.0,12436.921,1014,264.0,0.003,2640,0.04658,0.02484,1000,520,0
104.8,2437209.302,166,90.8,0.001,908,5e-05,5e-05,152,520,0
94.0,997876.858,118,80.0,0.001,800,0.0002,0.0001,104,520,0
118.0,26830.377,202,104.0,0.001,1040,0.0137,0.00489,188,520,0
153.8,167.238,469,139.8,0.001,1398,2.72548,1.02183,455,520,0
257.3,150.906,469,243.3,0.001,2433,5.68307,1.89449,455,520,0
264.5,1002653.525,469,250.5,0.003,2505,0.00061,0.00029,455,520,0
273.2,169.57,469,259.2,0.003,2592,5.36992,1.79015,455,520,0
232.9,143.537,469,218.9,0.001,2189,5.40818,1.80286,455,520,0
264.5,161.378,469,250.5,0.002,2505,5.46265,1.82112,455,520,0
297.6,194.35,469,283.6,0.001,2836,5.10373,1.7014,455,520,0
257.3,162.395,469,243.3,0.001,2433,5.28099,1.76046,455,520,0
264.5,1883903.134,469,250.5,0.003,2505,0.00021,0.00016,455,520,0
87.2,51.229,123,70.8,0.003,708,3.71319,1.89129,109,480,0
111.2,2598130.841,201,102.8,0.002,1028,3e-05,5e-05,215,544,0
67.0,664023.786,74,51.8,0.001,518,0.00028,0.00011,60,504,0
715.7,17456097.561,2950,720.2,0.001,7202,7e-05,5e-05,3121,544,0
85.0,383228.133,145,71.0,0.001,710,0.00048,0.00025,131,552,0
93.8,2877300.613,201,84.8,0.001,848,5e-05,4e-05,215,508,0
391.2,1934.266,1679,376.6,0.001,3766,0.67408,0.22472,1665,540,0
389.2,3617100.372,1682,375.2,0.001,3752,0.00027,0.00012,1668,520,0
367.2,938410.427,1403,353.4,0.001,3534,0.00083,0.00043,1389,496,0
192.2,1478461.538,469,181.4,0.003,1814,0.00021,0.00014,455,520,0
