Average Packet Size,Flow Bytes/s,Fwd Packet Length Mean,Max Packet Length,Fwd IAT Min,Total Length of Fwd Packets,Flow IAT Mean,Fwd IAT Std,Fwd Packet Length Max,Fwd Header Length,Label
151.96,687.295,469,137.96,0.001,6898,1.56879,0.22561,455,2640,1
129.24,106477.286,422,115.24,0.001,5762,0.00621,0.00124,408,2600,1
210.08,317.242,469,195.6,0.001,9780,3.18847,0.67572,455,2480,1
475.68,116758.795,2974,459.52,0.0,22976,0.01404,0.00416,2960,2048,1
67.28,2596.21,105,50.88,0.0,2544,0.11587,0.02644,91,2084,1
491.72,1789.388,2974,474.84,0.0,23742,1.95441,0.28041,2960,2060,1
463.34,1743.76,7306,449.34,0.003,22467,1.46931,0.27114,7292,2664,1
337.66,3539.748,1133,323.66,0.001,16183,0.35133,0.09734,1119,2600,1
371.66,2298.661,1133,357.66,0.115,17883,0.4971,0.16499,1119,2648,1
267.78,2330.266,1132,253.78,0.003,12689,0.28438,0.11726,1118,2632,1
450.76,1461.017,5858,436.76,0.003,21838,2.01353,0.31482,5844,2664,1
380.98,4073.244,1133,366.98,0.003,18349,0.26078,0.09544,1119,2600,1
342.26,6037.492,1133,328.26,0.041,16413,0.19424,0.05785,1119,2648,1
254.56,4199.46,1132,240.56,0.001,12028,0.19849,0.06185,1118,2648,1
484.88,2055970.149,2962,470.88,0.0,23544,0.0011,0.00024,2948,2632,1
293.6,4559.387,1133,279.6,0.001,13980,0.16743,0.06571,1119,2632,1
346.6,6529.1,1134,332.6,0.003,16630,0.16839,0.05417,1120,2632,1
341.96,4539.817,1134,327.96,0.003,16398,0.19947,0.07686,1120,2632,1
201.9,4958.683,1131,187.06,0.001,9353,0.13505,0.04155,1117,2388,1
475.24,832265.07,2974,459.08,0.0,22954,0.00307,0.00058,2960,2048,1
305.62,4234.447,1134,290.78,0.001,14539,0.19102,0.07365,1120,2548,1
349.16,4599.362,1132,335.16,0.125,16758,0.20903,0.07746,1118,2632,1
331.98,5991.813,1134,317.98,0.001,15899,0.19941,0.05654,1120,2632,1
335.34,4664.538,1133,321.34,0.003,16067,0.21953,0.07336,1119,2632,1
342.3,4524.023,1134,328.3,0.13,16415,0.1919,0.07721,1120,2648,1
245.94,26925.477,1133,231.22,0.001,11561,0.03204,0.00932,1119,2192,1
180.92,15479.256,1002,165.0,0.002,8250,0.04831,0.01193,988,2168,1
247.82,16954.881,1133,232.38,0.001,11619,0.05498,0.01491,1119,2144,1
187.02,11732.88,1116,171.1,0.001,8555,0.04986,0.01627,1102,2160,1
321.56,4541.642,1132,306.84,0.003,15342,0.17952,0.07225,1118,2544,1
310.32,5575.042,1133,296.32,0.003,14816,0.16929,0.0568,1119,2648,1
349.18,4561.214,1133,335.18,0.027,16759,0.20049,0.07812,1119,2632,1
342.32,4518.798,1133,328.32,0.026,16416,0.20508,0.0773,1119,2648,1
334.7,4401.715,1133,320.7,0.056,16035,0.18942,0.07759,1119,2632,1
329.08,4631.561,1131,315.08,0.003,15754,0.19846,0.0725,1117,2632,1
346.6,5380.505,1134,332.6,0.003,16630,0.20189,0.06573,1120,2632,1
163.78,5414.773,1133,149.78,0.001,7489,0.09211,0.03086,1119,2648,1
484.22,2059108.692,2962,470.22,0.0,23511,0.00113,0.00024,2948,2632,1
341.96,4917.059,1133,327.96,0.024,16398,0.17871,0.07096,1119,2632,1
342.34,5037.953,1133,328.34,0.057,16417,0.19944,0.06934,1119,2648,1
342.04,4276.11,1133,328.04,0.092,16402,0.20155,0.08162,1119,2632,1
298.0,7447.52,1134,284.0,0.003,14200,0.09968,0.04083,1120,2632,1
357.02,4608.981,1133,343.02,0.084,17151,0.19253,0.07904,1119,2632,1
349.08,4578.759,1133,335.08,0.004,16754,0.20505,0.07779,1119,2632,1
362.14,4771.792,1133,348.14,0.004,17407,0.19962,0.07744,1119,2632,1
326.0,5675.653,1134,312.0,0.001,15600,0.20005,0.05861,1120,2632,1
314.38,4252.158,1133,300.38,0.001,15019,0.20868,0.07544,1119,2648,1
361.28,4728.438,1133,347.28,0.036,17364,0.20146,0.07797,1119,2632,1
349.86,4566.446,1132,335.86,0.103,16793,0.20729,0.07818,1118,2632,1
363.44,4788.654,1133,349.44,0.117,17472,0.19327,0.07744,1119,2640,1
122.76,47451.914,469,108.76,0.001,5438,0.01262,0.00264,455,2656,1
523.8,28591.703,2962,509.8,0.0,25490,0.09228,0.01869,2948,2600,1
342.34,4484.531,1133,328.34,0.1,16417,0.20951,0.0779,1119,2648,1
341.88,4481.153,1132,327.88,0.019,16394,0.19219,0.07785,1118,2632,1
341.94,4809.754,1133,327.94,0.088,16397,0.1772,0.07254,1119,2632,1
341.2,4475.613,1132,327.2,0.004,16360,0.21752,0.07779,1118,2632,1
346.66,5491.106,1133,332.66,0.003,16633,0.19878,0.06442,1119,2632,1
341.94,4274.513,1133,327.94,0.042,16397,0.20303,0.08163,1119,2632,1
342.04,5596.298,1133,328.04,0.03,16402,0.14692,0.06237,1119,2632,1
342.36,6141.493,1133,328.36,0.108,16418,0.1429,0.05688,1119,2648,1
319.8,4394.559,1134,305.8,0.003,15290,0.18637,0.07426,1120,2616,1
363.0,4742.936,1134,349.0,0.086,17450,0.21808,0.0781,1120,2632,1
342.26,4511.441,1132,328.26,0.08,16413,0.19936,0.07741,1118,2648,1
341.56,4723.384,1133,327.56,0.007,16378,0.18335,0.07379,1119,2616,1
317.42,5772.058,1134,303.42,0.003,15171,0.19892,0.05611,1120,2648,1
341.36,4738.306,1132,327.36,0.003,16368,0.22079,0.07351,1118,2632,1
350.04,4480.316,1133,336.04,0.13,16802,0.19832,0.07972,1119,2632,1
333.98,4394.127,1133,319.98,0.124,15999,0.19181,0.07756,1119,2632,1
342.3,4421.342,1132,328.3,0.087,16415,0.20159,0.079,1118,2648,1
327.32,5604.065,1133,313.32,0.004,15666,0.15579,0.0596,1119,2632,1
341.96,4893.909,1133,327.96,0.107,16398,0.19125,0.0713,1119,2632,1
342.0,4274.028,1133,328.0,0.123,16400,0.20614,0.08165,1119,2632,1
349.52,4361.298,1132,335.52,0.125,16776,0.19648,0.08178,1118,2632,1
304.6,6076.11,1133,290.6,0.003,14530,0.15729,0.05115,1119,2632,1
349.12,4613.774,1133,335.12,0.083,16756,0.2144,0.07721,1119,2632,1
362.86,4718.501,1134,348.86,0.089,17443,0.19992,0.07847,1120,2632,1
341.98,4820.259,1133,327.98,0.093,16399,0.18327,0.07239,1119,2632,1
318.14,4872.747,1133,304.14,0.003,15207,0.17276,0.06662,1119,2648,1
301.26,5987.679,1133,287.26,0.001,14363,0.16712,0.05134,1119,2648,1
254.24,38046.325,1042,240.24,0.0,12012,0.02005,0.00682,1028,2600,1
188.06,9391.214,1133,174.06,0.001,8703,0.08052,0.02043,1119,2616,1
191.16,50149.273,1042,177.16,0.001,8858,0.01033,0.00389,1028,2632,1
220.88,31277.259,1133,206.88,0.0,10344,0.02953,0.00721,1119,2616,1
305.38,4115.61,1133,291.38,0.003,14569,0.18766,0.07571,1119,2632,1
349.24,4563.407,1133,335.24,0.131,16762,0.19635,0.07809,1119,2632,1
321.84,4574.079,1133,307.84,0.004,15392,0.17598,0.0718,1119,2632,1
346.66,6535.213,1135,332.66,0.003,16633,0.16954,0.05413,1121,2632,1
341.96,5186.419,1133,327.96,0.045,16398,0.20266,0.06728,1119,2632,1
160.72,5000.324,1133,145.76,0.001,7288,0.10519,0.0328,1119,2304,1
488.0,167245.858,2974,471.12,0.001,23556,0.01526,0.00298,2960,2072,1
349.12,4640.306,1133,335.12,0.0,16756,0.19253,0.07677,1119,2632,1
362.94,4751.938,1132,348.94,0.148,17447,0.19983,0.07794,1118,2632,1
317.22,6267.641,1132,303.22,0.003,15161,0.14229,0.05165,1118,2632,1
350.06,4639.078,1133,336.06,0.121,16803,0.19103,0.077,1119,2632,1
334.3,4428.358,1132,320.3,0.001,16015,0.20179,0.07703,1118,2648,1
371.2,4871.638,1134,357.2,0.085,17860,0.20413,0.07775,1120,2632,1
296.94,5891.244,1133,282.94,0.003,14147,0.1344,0.05143,1119,2616,1
357.02,4585.093,1133,343.02,0.053,17151,0.21583,0.07945,1119,2632,1
334.88,4431.169,1133,320.88,0.019,16044,0.19139,0.07712,1119,2648,1
349.38,4571.678,1133,335.38,0.096,16769,0.19965,0.07798,1119,2632,1
345.96,4839.9,1133,331.96,0.004,16598,0.20152,0.07294,1119,2632,1
334.14,5671.618,1133,320.14,0.003,16007,0.1442,0.06012,1119,2632,1
330.22,4327.453,1134,316.22,0.093,15811,0.19469,0.07787,1120,2648,1
300.7,4361.828,1133,286.7,0.002,14335,0.19782,0.07035,1119,2648,1
258.82,113043.554,1042,244.82,0.001,12241,0.00614,0.00234,1028,2600,1
203.76,15020.124,1133,189.76,0.001,9488,0.0544,0.01384,1119,2616,1
202.04,17101.396,1042,188.04,0.0,9402,0.06956,0.01206,1028,2632,1
209.6,29332.654,1132,195.6,0.001,9780,0.02687,0.00729,1118,2600,1
289.7,4148.331,1130,275.7,0.001,13785,0.20593,0.07126,1116,2632,1
312.72,5248.396,1135,298.72,0.003,14936,0.20376,0.0608,1121,2632,1
339.06,24119.646,2974,323.86,0.0,16193,0.07271,0.01434,2960,2156,1
331.0,10508.564,2406,314.36,0.001,15718,0.14412,0.03214,2392,2208,1
341.96,5184.356,1133,327.96,0.042,16398,0.20241,0.06731,1119,2632,1
357.06,4690.698,1133,343.06,0.004,17153,0.20063,0.07767,1119,2632,1
335.22,4665.168,1133,321.22,0.004,16061,0.18453,0.07332,1119,2648,1
304.98,5660.785,1134,290.98,0.004,14549,0.14127,0.05498,1120,2632,1
342.0,4510.419,1133,328.0,0.13,16400,0.19243,0.07737,1119,2632,1
349.06,4619.234,1133,335.06,0.101,16753,0.20123,0.07711,1119,2632,1
362.9,4765.945,1133,348.9,0.027,17445,0.19204,0.0777,1119,2632,1
276.18,6064.838,1131,262.18,0.003,13109,0.14871,0.04647,1117,2632,1
