Average Packet Size,Flow Bytes/s,Fwd Packet Length Mean,Max Packet Length,Fwd IAT Min,Total Length of Fwd Packets,Flow IAT Mean,Fwd IAT Std,Fwd Packet Length Max,Fwd Header Length,Label
400.96,2453.578,7306,386.96,0.001,96740,1.00409,0.16407,7292,13208,1
349.412,4333.745,1134,335.412,0.005,83853,0.21052,0.08095,1120,13176,1
344.76,4537.629,1134,330.76,0.001,82690,0.20569,0.07628,1120,13176,1
340.648,4466.971,1133,326.648,0.026,81662,0.19297,0.07657,1119,13192,1
338.96,4507.737,1134,324.96,0.003,81240,0.19792,0.0755,1120,13192,1
350.532,4539.972,1134,336.532,0.001,84133,0.20378,0.07752,1120,13176,1
342.024,4464.659,1133,328.024,0.001,82006,0.19393,0.07691,1119,13176,1
341.944,4492.935,1133,327.944,0.004,81986,0.19715,0.07641,1119,13192,1
351.708,4583.866,1134,337.708,0.007,84427,0.19452,0.07704,1120,13160,1
337.692,4402.601,1134,323.692,0.004,80923,0.20861,0.07701,1120,13192,1
347.672,4357.465,1133,333.672,0.004,83418,0.20481,0.08011,1119,13176,1
343.528,4537.982,1134,329.528,0.052,82382,0.19104,0.076,1120,13176,1
343.3,4502.735,1135,329.3,0.004,82325,0.20293,0.07655,1121,13176,1
346.308,4538.344,1134,332.308,0.0,83077,0.18924,0.07661,1120,13192,1
345.74,4530.246,1133,331.74,0.019,82935,0.19873,0.07662,1119,13176,1
340.38,4416.288,1135,326.38,0.003,81595,0.19727,0.07738,1121,13176,1
343.56,4531.335,1134,329.56,0.004,82390,0.20055,0.07612,1120,13192,1
347.72,4566.949,1134,333.72,0.004,83430,0.19804,0.07644,1120,13176,1
342.068,4372.766,1134,328.068,0.004,82017,0.19276,0.07854,1120,13176,1
344.876,4512.717,1134,330.876,0.021,82719,0.20282,0.07673,1120,13176,1
338.932,4717.636,1133,324.932,0.004,81233,0.18655,0.07213,1119,13192,1
346.508,4504.447,1134,332.508,0.026,83127,0.19433,0.07723,1120,13176,1
346.092,4433.03,1134,332.092,0.003,83023,0.20531,0.07838,1120,13176,1
342.136,4478.645,1134,328.136,0.027,82034,0.19145,0.0767,1120,13192,1
345.756,4491.902,1134,331.756,0.033,82939,0.20011,0.07728,1120,13176,1
340.424,4456.716,1134,326.424,0.001,81606,0.18981,0.07669,1120,13176,1
352.316,4356.563,1134,338.316,0.048,84579,0.20799,0.08119,1120,13160,1
347.516,4533.0,1134,333.516,0.003,83379,0.20009,0.07697,1120,13176,1
336.564,4419.756,1134,322.564,0.02,80641,0.19392,0.07646,1120,13208,1
341.82,4446.094,1134,327.82,0.0,81955,0.20435,0.07719,1120,13176,1
347.656,4502.835,1134,333.656,0.092,83414,0.19002,0.07752,1120,13176,1
341.888,4429.819,1133,327.888,0.004,81972,0.2066,0.07749,1119,13176,1
344.408,4466.193,1135,330.408,0.003,82602,0.20692,0.07742,1121,13192,1
349.332,4460.374,1134,335.332,0.0,83833,0.19152,0.07863,1120,13160,1
346.328,4361.481,1133,332.328,0.004,83082,0.20704,0.07972,1119,13176,1
346.216,4460.479,1133,332.216,0.028,83054,0.19601,0.07793,1119,13184,1
344.364,4464.497,1134,330.364,0.004,82591,0.20337,0.07744,1120,13184,1
349.224,4482.962,1134,335.224,0.004,83806,0.19874,0.07821,1120,13176,1
350.624,4421.763,1134,336.624,0.0,84156,0.19968,0.07961,1120,13160,1
341.916,4412.944,1133,327.916,0.002,81979,0.20874,0.07779,1119,13184,1
337.904,4443.357,1134,323.904,0.018,80976,0.1948,0.07635,1120,13184,1
348.484,4483.466,1134,334.484,0.004,83621,0.19887,0.07804,1120,13176,1
349.152,4512.75,1134,335.152,0.012,83788,0.20298,0.07768,1120,13176,1
345.032,4336.615,1134,331.032,0.0,82758,0.20348,0.07988,1120,13176,1
347.468,4574.923,1132,333.468,0.004,83367,0.20023,0.07626,1118,13176,1
342.044,4475.943,1134,328.044,0.004,82011,0.19919,0.07673,1120,13176,1
345.824,4565.1,1133,331.824,0.004,82956,0.20548,0.07606,1119,13192,1
347.716,4570.672,1134,333.716,0.004,83429,0.20797,0.07638,1120,13176,1
342.06,4282.383,1134,328.06,0.0,82015,0.20546,0.0802,1120,13176,1
344.888,4542.116,1134,330.888,0.001,82722,0.20574,0.07624,1120,13176,1
347.656,4530.08,1133,333.656,0.09,83414,0.19705,0.07705,1119,13184,1
344.304,4513.225,1133,330.304,0.004,82576,0.20247,0.07659,1119,13184,1
344.956,4557.215,1133,330.956,0.0,82739,0.19773,0.076,1119,13176,1
346.32,4379.114,1134,332.32,0.005,83080,0.20299,0.0794,1120,13176,1
344.868,4478.924,1134,330.868,0.041,82717,0.20545,0.07731,1120,13176,1
347.672,4550.68,1134,333.672,0.029,83418,0.19857,0.07671,1120,13176,1
345.744,4483.532,1134,331.744,0.003,82936,0.20874,0.07742,1120,13176,1
341.912,4511.159,1133,327.912,0.004,81978,0.20266,0.0761,1119,13192,1
338.272,4488.847,1134,324.272,0.004,81068,0.19985,0.07566,1120,13192,1
341.852,4561.92,1135,327.852,0.001,81963,0.20733,0.07524,1121,13176,1
336.476,4475.918,1134,322.476,0.0,80619,0.19603,0.07548,1120,13192,1
341.94,4499.443,1134,327.94,0.0,81985,0.20308,0.0763,1120,13192,1
342.024,4492.703,1134,328.024,0.069,82006,0.19811,0.07643,1120,13176,1
347.52,4563.501,1134,333.52,0.004,83380,0.20781,0.07646,1120,13176,1
344.292,4502.303,1134,330.292,0.004,82573,0.20898,0.07678,1120,13176,1
349.368,4557.852,1134,335.368,0.001,83842,0.19974,0.07696,1120,13176,1
344.88,4333.476,1134,330.88,0.001,82720,0.21962,0.0799,1120,13176,1
347.66,4559.377,1134,333.66,0.096,83415,0.20231,0.07656,1120,13176,1
341.932,4491.22,1134,327.932,0.003,81983,0.21003,0.07644,1120,13184,1
344.332,4553.62,1134,330.332,0.012,82583,0.20803,0.07592,1120,13184,1
349.34,4567.782,1133,335.34,0.026,83835,0.20379,0.07679,1119,13176,1
341.876,4480.672,1134,327.876,0.003,81969,0.20693,0.07661,1120,13176,1
342.096,4509.801,1134,328.096,0.08,82024,0.1989,0.07616,1120,13192,1
341.9,4497.246,1134,327.9,0.003,81975,0.21362,0.07633,1120,13176,1
