Average Packet Size,Flow Bytes/s,Fwd Packet Length Mean,Max Packet Length,Fwd IAT Min,Total Length of Fwd Packets,Flow IAT Mean,Fwd IAT Std,Fwd Packet Length Max,Fwd Header Length,Label
430.5,3535.356,7306,416.5,0.001,41650,0.42043,0.123,7292,5280,1
382.81,1608.924,5858,368.81,0.003,36881,1.52729,0.24033,5844,5296,1
350.56,4029.338,1133,336.56,0.005,33656,0.24185,0.08788,1119,5280,1
366.29,4802.535,1134,352.29,0.079,35229,0.20761,0.07704,1120,5264,1
345.77,4239.888,1134,331.77,0.108,33177,0.20025,0.08238,1120,5264,1
323.15,4921.196,1134,309.15,0.001,30915,0.17765,0.06633,1120,5280,1
364.19,4237.651,1134,350.19,0.062,35019,0.23429,0.08681,1120,5264,1
341.97,4491.039,1134,327.97,0.117,32797,0.19384,0.07691,1120,5264,1
345.67,4500.535,1133,331.67,0.027,33167,0.19331,0.07758,1119,5280,1
338.54,4457.065,1133,324.54,0.026,32454,0.1988,0.07672,1119,5280,1
334.23,4917.912,1134,320.23,0.003,32023,0.19018,0.06865,1120,5280,1
342.15,4275.713,1133,328.15,0.024,32815,0.20702,0.08083,1119,5280,1
345.84,4496.645,1134,331.84,0.026,33184,0.19493,0.07769,1120,5264,1
338.34,4892.196,1133,324.34,0.004,32434,0.17591,0.06986,1119,5280,1
363.17,4375.458,1134,349.17,0.001,34917,0.23436,0.08384,1120,5264,1
327.91,4340.635,1133,313.91,0.001,31391,0.19029,0.07631,1119,5264,1
345.67,4465.461,1133,331.67,0.103,33167,0.19434,0.07819,1119,5280,1
352.52,4480.542,1133,338.52,0.019,33852,0.20068,0.07947,1119,5272,1
347.68,4575.43,1133,333.68,0.004,33368,0.20595,0.07676,1119,5272,1
336.14,4422.857,1133,322.14,0.03,32214,0.19177,0.07677,1119,5280,1
351.67,4532.562,1134,337.67,0.108,33767,0.19867,0.07837,1120,5264,1
345.99,4552.873,1134,331.99,0.08,33199,0.1954,0.07676,1120,5264,1
328.06,4324.886,1134,314.06,0.004,31406,0.21024,0.07662,1120,5280,1
366.3,4729.837,1133,352.3,0.004,35230,0.21416,0.07823,1119,5264,1
331.48,4672.929,1132,317.48,0.087,31748,0.18751,0.07165,1118,5280,1
338.13,4440.378,1133,324.13,0.098,32413,0.19009,0.07692,1119,5280,1
356.21,4716.742,1133,342.21,0.004,34221,0.19588,0.07628,1119,5264,1
327.46,4339.606,1133,313.46,0.049,31346,0.2039,0.07622,1119,5280,1
356.64,4353.727,1134,342.64,0.093,34264,0.20759,0.08274,1120,5264,1
349.56,4391.937,1133,335.56,0.052,33556,0.19783,0.0804,1119,5264,1
334.6,4749.364,1133,320.6,0.098,32060,0.17786,0.07116,1119,5280,1
349.13,4541.345,1135,335.13,0.004,33513,0.22725,0.07765,1121,5264,1
334.61,4936.069,1133,320.61,0.0,32061,0.1703,0.06847,1119,5280,1
353.05,4670.909,1133,339.05,0.022,33905,0.19435,0.07635,1119,5264,1
352.63,4545.012,1134,338.63,0.001,33863,0.19378,0.07837,1120,5280,1
351.23,4548.254,1133,337.23,0.049,33723,0.20961,0.078,1119,5264,1
332.48,4376.906,1133,318.48,0.019,31848,0.19468,0.07673,1119,5280,1
348.01,4612.52,1133,334.01,0.087,33401,0.18295,0.07621,1119,5264,1
