Average Packet Size,Flow Bytes/s,Fwd Packet Length Mean,Max Packet Length,Fwd IAT Min,Total Length of Fwd Packets,Flow IAT Mean,Fwd IAT Std,Fwd Packet Length Max,Fwd Header Length,Label
185.6,294.724,469,171.0,0.003,3420,2.88853,0.66289,455,992,0
73.6,37041.697,105,59.0,0.001,1180,0.0088,0.00209,91,824,0
882.7,93113.288,2974,866.9,0.001,17338,0.04328,0.00998,2960,824,0
268.5,117812.246,2119,250.9,0.001,5018,0.01028,0.0024,2105,800,0
223.9,234.992,469,208.1,0.001,4162,3.59304,1.00295,455,968,0
148.7,528.757,469,134.7,0.003,2694,1.2895,0.29603,455,1072,0
78.7,14006.549,100,64.7,0.0,1294,0.0183,0.00591,86,1040,0
730.9,1827021.622,2962,716.9,0.001,14338,0.00162,0.00042,2948,1072,0
442.8,4241379.31,2466,428.8,0.001,8576,0.00032,0.00011,2452,1040,0
187.1,348.615,469,173.1,0.001,3462,2.46215,0.56494,455,1040,0
194.1,336.809,1042,180.1,0.001,3602,2.63407,0.60662,1028,1072,0
235.4,65653.326,914,221.4,0.001,4428,0.01015,0.00377,900,1040,0
248.2,33077.677,1014,234.2,0.003,4684,0.02294,0.0079,1000,1040,0
152.4,72029.492,1014,138.4,0.0,2768,0.00879,0.00223,1000,1040,0
97.8,1957.641,294,83.8,0.001,1676,0.21754,0.05259,280,1064,0
243.7,63630.904,1042,229.7,0.001,4594,0.01038,0.00403,1028,1048,0
196.6,68937.707,914,182.6,0.001,3652,0.00807,0.003,900,1040,0
188.8,20105.64,1014,174.8,0.001,3496,0.02649,0.00988,1000,1040,0
103.4,2067.527,206,89.4,0.001,1788,0.2185,0.05264,192,1040,0
253.05,284.065,469,239.05,0.003,4781,3.77725,0.9377,455,1040,0
208.05,417.125,1030,192.85,0.001,3857,2.27871,0.52502,1016,908,0
256.8,100068.193,1030,242.2,0.001,4844,0.00569,0.0027,1016,800,0
284.9,26096.076,1002,270.0,0.003,5400,0.03092,0.01149,988,944,0
89.2,1614479.638,122,72.8,0.001,1456,5e-05,6e-05,108,800,0
99.9,1998.452,282,82.6,0.001,1652,0.21802,0.05262,268,812,0
315.1,46599.329,1030,299.9,0.003,5998,0.01607,0.00712,1016,836,0
151.0,17526.958,1002,135.8,0.001,2716,0.02697,0.00907,988,800,0
138.0,53328.181,1002,121.6,0.0,2432,0.01146,0.00272,988,800,0
106.15,432.218,469,88.55,0.003,1771,0.91142,0.25852,455,812,0
168.85,373.362,469,154.85,0.003,3097,2.07453,0.47604,455,1072,0
331.1,57095.066,1042,317.1,0.003,6342,0.0126,0.0061,1028,1040,0
157.7,194451.295,469,143.7,0.001,2874,0.00286,0.00085,455,1040,0
244.7,25771.052,1014,230.7,0.0,4614,0.02757,0.00999,1000,1040,0
118.4,598887.203,294,104.4,0.001,2088,0.00063,0.00021,280,1040,0
79.0,1584.592,170,65.0,0.003,1300,0.21877,0.05248,156,1072,0
327.9,53613.911,1042,313.9,0.003,6278,0.01277,0.00644,1028,1040,0
161.8,20243.725,1014,147.8,0.001,2956,0.02372,0.00841,1000,1040,0
143.2,76544.794,1014,129.2,0.0,2584,0.00831,0.00197,1000,1040,0
