Average Packet Size,Flow Bytes/s,Fwd Packet Length Mean,Max Packet Length,Fwd IAT Min,Total Length of Fwd Packets,Flow IAT Mean,Fwd IAT Std,Fwd Packet Length Max,Fwd Header Length,Label
333.7,57784.55,1199,319.7,0.004,3197,0.01153,0.00642,1185,536,1
1117.9,5189879.294,7306,1103.9,0.044,11039,0.00022,0.00024,7292,536,1
234.6,7679.843,571,220.6,0.051,2206,0.04864,0.03394,557,544,1
159.0,281.985,625,145.0,0.0,1450,1.63182,0.62651,611,528,1
67.6,43.385,74,53.6,0.006,536,5.16725,1.73126,60,536,1
444.9,72671.142,1198,430.9,0.004,4309,0.01209,0.0068,1184,520,1
1036.1,93177.812,7992,1022.1,0.035,10221,0.02524,0.01236,7978,536,1
204.3,8512.181,571,190.3,0.02,1903,0.0595,0.02667,557,552,1
246.0,682.021,625,232.0,0.003,2320,0.92727,0.40077,611,520,1
66.8,42.515,74,52.8,0.0,528,5.23711,1.7458,60,528,1
333.0,46188.415,1200,319.0,0.004,3190,0.01295,0.00801,1186,528,1
1117.9,5175462.963,4410,1103.9,0.051,11039,0.00022,0.00024,4396,536,1
233.8,7276.847,571,219.8,0.004,2198,0.05203,0.0357,557,536,1
378.5,4492.411,1870,364.5,0.003,3645,0.2295,0.09361,1856,536,1
606.9,151210.883,1773,592.9,0.015,5929,0.00539,0.00446,1759,520,1
1059.5,8527.362,5396,1045.5,0.719,10455,0.33528,0.13805,5382,520,1
810.2,3541.784,1934,796.2,0.722,7962,0.44197,0.25417,1920,520,1
488.1,3973.817,1932,474.1,0.218,4741,0.2337,0.13648,1918,520,1
282.9,10472.929,1836,268.9,0.077,2689,0.07508,0.03001,1822,536,1
586.8,4539.677,1935,572.8,0.017,5728,0.34516,0.14362,1921,536,1
715.0,5528.638,1934,701.0,0.028,7010,0.34531,0.1437,1920,536,1
741.6,3218.142,1931,727.6,0.634,7276,0.44105,0.25605,1917,520,1
312.9,5831.29,1934,298.9,0.128,2989,0.11698,0.05962,1920,536,1
528.1,19002.692,1933,514.1,0.151,5141,0.0813,0.03088,1919,536,1
526.6,2630.885,1934,512.6,0.563,5126,0.38233,0.2224,1920,520,1
528.1,9796.719,1933,514.1,0.004,5141,0.11703,0.0599,1919,536,1
527.9,4091.614,1931,513.9,0.094,5139,0.34269,0.14336,1917,536,1
282.1,2513.931,1836,268.1,0.197,2681,0.28431,0.12468,1822,528,1
772.6,5862.357,1934,758.6,0.562,7586,0.34545,0.14643,1920,528,1
528.0,4156.796,1932,514.0,0.126,5140,0.33527,0.14113,1918,536,1
341.4,3519.773,1836,327.4,0.1,3274,0.24201,0.10777,1822,536,1
713.3,5621.723,1934,699.3,0.089,6993,0.32488,0.14098,1920,520,1
282.9,2246.302,1836,268.9,0.1,2689,0.25536,0.13993,1822,536,1
586.8,4553.02,1935,572.8,0.132,5728,0.34417,0.1432,1921,536,1
468.0,3877.793,1933,454.0,0.196,4540,0.27366,0.1341,1919,520,1
528.3,4730.133,1935,514.3,0.132,5143,0.33886,0.1241,1921,536,1
586.7,4636.621,1934,572.7,0.149,5727,0.33477,0.1406,1920,536,1
469.5,3731.963,1932,455.5,0.103,4555,0.23058,0.13978,1918,536,1
526.7,5034.425,1935,512.7,0.251,5127,0.30576,0.11624,1921,520,1
527.3,4164.09,1933,513.3,0.243,5133,0.26456,0.1407,1919,528,1
528.8,4166.063,1932,514.8,0.153,5148,0.33358,0.14103,1918,544,1
526.6,5191.799,1934,512.6,0.276,5126,0.25296,0.1127,1920,520,1
351.1,3436.285,1933,337.1,0.017,3371,0.33666,0.11353,1919,536,1
705.1,4613.729,1933,691.1,0.158,6911,0.33948,0.16981,1919,536,1
526.6,5029.387,1934,512.6,0.215,5126,0.23162,0.11634,1920,520,1
351.0,3353.486,1932,337.0,0.092,3370,0.29369,0.1163,1918,536,1
489.9,4419.729,1934,475.9,0.129,4759,0.28829,0.12316,1920,536,1
741.8,5039.382,1933,727.8,0.704,7278,0.33674,0.16356,1919,520,1
351.1,3368.431,1933,337.1,0.129,3371,0.25768,0.11581,1919,536,1
489.8,19598.664,1933,475.8,0.0,4758,0.07872,0.02777,1919,536,1
526.6,2645.711,1934,512.6,0.24,5126,0.38339,0.22115,1920,520,1
566.4,4460.851,1933,552.4,0.153,5524,0.33587,0.14108,1919,536,1
489.7,12219.283,1932,475.7,0.129,4757,0.0993,0.04453,1918,536,1
526.5,2632.153,1933,512.5,0.224,5125,0.37604,0.22225,1919,520,1
566.5,4436.401,1934,552.5,0.14,5525,0.34071,0.14188,1920,536,1
490.0,9902.371,1935,476.0,0.091,4760,0.107,0.05498,1921,536,1
282.9,2762.865,1836,268.9,0.096,2689,0.25638,0.11377,1822,536,1
809.9,3515.043,1933,795.9,0.683,7959,0.43813,0.25601,1919,520,1
489.6,7319.447,1932,475.6,0.054,4756,0.15062,0.07432,1918,536,1
528.0,6169.226,1933,514.0,0.108,5140,0.20563,0.0951,1919,536,1
341.3,3004.716,1835,327.3,0.092,3273,0.29325,0.12621,1821,536,1
464.3,4557.622,1932,450.3,0.005,4503,0.28486,0.11319,1918,520,1
528.1,3513.476,1933,514.1,0.098,5141,0.33308,0.16701,1919,536,1
528.2,4029.207,1934,514.2,0.113,5142,0.3457,0.14566,1920,536,1
585.2,4610.916,1935,571.2,0.181,5712,0.32944,0.14102,1921,520,1
469.7,3642.477,1934,455.7,0.128,4557,0.25673,0.14328,1920,536,1
528.0,4168.065,1932,514.0,0.018,5140,0.33499,0.14075,1918,536,1
526.5,4386.864,1933,512.5,0.266,5125,0.26666,0.13335,1919,520,1
528.2,4789.505,1934,514.2,0.14,5142,0.34221,0.12254,1920,536,1
528.2,3457.028,1934,514.2,0.126,5142,0.33343,0.16977,1920,536,1
527.4,4065.273,1934,513.4,0.26,5134,0.24159,0.14415,1920,528,1
527.3,5049.876,1933,513.3,0.243,5133,0.32065,0.11602,1919,528,1
526.6,4028.624,1934,512.6,0.239,5126,0.25556,0.14524,1920,520,1
529.0,4099.927,1934,515.0,0.126,5150,0.34484,0.14336,1920,544,1
527.4,5036.513,1934,513.4,0.215,5134,0.28374,0.11635,1920,528,1
312.5,12093.934,1930,298.5,0.127,2985,0.05565,0.02871,1916,536,1
742.7,4745.09,1934,728.7,0.706,7287,0.33381,0.17391,1920,528,1
527.3,5112.166,1933,513.3,0.22,5133,0.25126,0.11461,1919,528,1
312.8,11679.748,1933,298.8,0.068,2988,0.08598,0.02976,1919,536,1
564.9,4450.292,1934,550.9,0.211,5509,0.24397,0.14104,1920,520,1
705.2,5546.436,1934,691.2,0.131,6912,0.33784,0.14127,1920,536,1
312.8,7352.976,1933,298.8,0.128,2988,0.09445,0.04727,1919,536,1
528.3,4581.364,1935,514.3,0.126,5143,0.29517,0.12813,1921,536,1
741.8,5248.438,1933,727.8,0.672,7278,0.33019,0.15704,1919,520,1
312.8,5322.769,1933,298.8,0.031,2988,0.12992,0.0653,1919,536,1
528.1,16898.281,1933,514.1,0.053,5141,0.07988,0.03472,1919,536,1
526.5,2631.75,1933,512.5,0.212,5125,0.37947,0.22229,1919,520,1
528.2,10116.468,1934,514.2,0.128,5142,0.11294,0.05801,1920,536,1
528.3,11332.314,1935,514.3,0.131,5143,0.10072,0.0518,1921,536,1
282.9,2680.475,1836,268.9,0.099,2689,0.26489,0.11727,1822,536,1
