Average Packet Size,Flow Bytes/s,Fwd Packet Length Mean,Max Packet Length,Fwd IAT Min,Total Length of Fwd Packets,Flow IAT Mean,Fwd IAT Std,Fwd Packet Length Max,Fwd Header Length,Label
122.96,484.386,469,108.96,0.001,5448,1.64784,0.25903,455,2664,0
528.4,8352.793,2962,514.4,0.001,25720,0.44913,0.06455,2948,2600,0
199.2,44785.784,1030,183.52,0.001,9176,0.01269,0.00454,1016,2096,0
155.16,6009.919,1002,138.52,0.0,6926,0.13838,0.02634,988,2096,0
217.4,18829.064,1030,201.48,0.001,10074,0.03664,0.01178,1016,2048,0
85.12,1066.494,194,68.48,0.001,3424,0.35365,0.08144,180,2048,0
475.32,76428.82,2974,459.04,0.001,22952,0.0194,0.00635,2960,2048,0
178.72,678.039,1042,163.4,0.001,8170,1.29248,0.26896,1028,2428,0
217.04,26911.412,1014,203.04,0.001,10152,0.04063,0.00823,1000,2600,0
155.72,7420.715,1042,141.72,0.001,7086,0.12627,0.02141,1028,2632,0
177.52,31723.339,1014,163.52,0.001,8176,0.02172,0.00571,1000,2600,0
213.36,251.575,469,199.36,0.001,9968,3.48311,0.86541,455,2600,0
263.36,206.479,469,249.36,0.001,12468,4.41175,1.30151,455,2600,0
213.22,626.169,2950,203.32,0.001,10166,1.68683,0.34746,3121,2624,0
286.72,7064.763,1682,274.28,0.001,13714,0.28888,0.04141,1668,2584,0
400.44,17510.274,2950,390.82,0.001,19541,0.13319,0.02334,3121,2640,0
217.2,1154.275,1042,203.2,0.001,10160,1.31622,0.19201,1028,2632,0
174.18,19375.378,1014,160.18,0.0,8009,0.04248,0.00917,1000,2600,0
187.08,9165.763,1042,173.08,0.001,8654,0.12611,0.02083,1028,2632,0
142.94,1159.835,1014,128.94,0.001,6447,0.70985,0.12576,1000,2600,0
255.98,599.783,1030,241.26,0.001,12063,2.41605,0.4355,1016,2324,0
176.96,17819.992,1002,161.52,0.001,8076,0.04384,0.01013,988,2144,0
185.56,7657.763,1030,169.64,0.001,8482,0.13796,0.02473,1016,2048,0
133.82,710.286,1002,117.18,0.001,5859,1.14515,0.19225,988,2012,0
209.26,1137.395,1030,193.34,0.001,9667,1.23708,0.18774,1016,2180,0
182.96,23274.689,1002,167.52,0.001,8376,0.03328,0.00802,988,2144,0
171.4,6971.935,1030,154.52,0.001,7726,0.12075,0.02509,1016,2048,0
139.98,1393.397,1002,123.58,0.001,6179,0.5529,0.10251,988,2012,0
220.74,8989.015,1030,205.9,0.001,10295,0.15554,0.02506,1016,2180,0
125.96,5024.352,1002,109.2,0.001,5460,0.13771,0.02558,988,2048,0
226.56,28404.361,1030,211.0,0.001,10550,0.02868,0.00814,1016,2000,0
159.84,319.132,1030,143.8,0.001,7190,2.4016,0.51108,1016,2192,0
235.48,24454.783,1030,220.4,0.001,11020,0.03855,0.00983,1016,2144,0
182.88,8385.906,1030,166.6,0.001,8330,0.13691,0.02225,1016,2048,0
136.96,15502.577,1002,121.04,0.0,6052,0.03791,0.00901,988,2000,0
217.34,216.842,469,202.38,0.001,10119,3.5961,1.02275,455,2492,0
