Average Packet Size,Flow Bytes/s,Fwd Packet Length Mean,Max Packet Length,Fwd IAT Min,Total Length of Fwd Packets,Flow IAT Mean,Fwd IAT Std,Fwd Packet Length Max,Fwd Header Length,Label
325.68,2054.063,2962,311.68,0.001,31168,1.19938,0.16016,2948,5264,0
177.18,11707.979,1030,161.02,0.0,16102,0.09787,0.01529,1016,4192,0
151.26,3311.064,1030,134.98,0.001,13498,0.2513,0.04614,1016,4096,0
327.02,2424.13,2974,311.22,0.001,31122,0.91423,0.13626,2960,4476,0
186.38,12831.484,1042,172.38,0.001,17238,0.09308,0.01467,1028,5232,0
195.44,457.869,1014,181.44,0.001,18144,2.47571,0.43116,1000,5200,0
238.29,294.914,2950,226.34,0.001,22634,3.34085,0.81616,3121,5224,0
343.58,10686.658,2950,332.55,0.001,33255,0.22281,0.03248,3121,5224,0
195.69,1985.089,1042,181.69,0.0,18169,0.92622,0.09958,1028,5232,0
165.01,2297.35,1042,151.01,0.001,15101,0.50735,0.07255,1028,5232,0
216.47,991.349,1030,201.39,0.001,20139,1.70463,0.22056,1016,4468,0
159.69,1502.013,1030,143.41,0.001,14341,0.81164,0.10739,1016,4060,0
196.11,2044.486,1030,180.43,0.001,18043,0.87079,0.09689,1016,4324,0
155.69,2490.149,1030,139.05,0.001,13905,0.39801,0.06315,1016,4060,0
173.35,6986.17,1030,157.55,0.001,15755,0.14541,0.02506,1016,4228,0
193.2,759.382,1030,177.4,0.001,17740,1.6998,0.25699,1016,4192,0
209.18,13307.386,1030,193.5,0.001,19350,0.09975,0.01588,1016,4192,0
177.15,350.4,1002,161.71,0.0,16171,2.56794,0.51067,988,4492,0
219.95,705.282,1042,205.95,0.0,20595,2.16925,0.31501,1028,5232,0
186.5,11804.806,1042,172.5,0.0,17250,0.09124,0.01596,1028,5232,0
203.3,978.504,1042,189.3,0.0,18930,1.48807,0.20986,1028,5232,0
166.38,12158.548,1042,152.38,0.0,15238,0.09733,0.01382,1028,5232,0
221.31,211.491,469,207.31,0.0,20731,3.88322,1.057,455,5200,0
314.53,1534.477,2974,298.73,0.001,29873,1.69133,0.20705,2960,4372,0
200.74,1415.873,1030,185.3,0.0,18530,1.19964,0.14321,1016,4336,0
168.98,1120.198,1030,152.7,0.001,15270,1.27939,0.15237,1016,4144,0
257.12,194.759,469,243.12,0.002,24312,4.39621,1.33353,455,5200,0
228.58,586.337,1042,214.58,0.003,21458,2.4091,0.39378,1028,5232,0
166.62,11251.783,1042,152.62,0.001,15262,0.08739,0.01496,1028,5232,0
205.42,819.033,1042,191.42,0.0,19142,1.75654,0.25334,1028,5232,0
185.86,13999.182,1042,171.86,0.0,17186,0.09642,0.01341,1028,5232,0
285.78,2099.427,2962,271.78,0.0,27178,1.17552,0.1375,2948,5264,0
200.32,1341.238,1030,185.24,0.0,18524,1.33029,0.15086,1016,4420,0
154.24,8343.264,1030,138.32,0.0,13832,0.09694,0.01867,1016,4236,0
185.48,22287.671,1042,171.12,0.0,17112,0.03396,0.00841,1028,5160,0
312.72,44081.64,2962,298.72,0.001,29872,0.03147,0.00717,2948,5264,0
180.86,1126.977,1030,166.38,0.0,16638,1.28213,0.1621,1016,4984,0
177.18,11848.327,1030,161.02,0.001,16102,0.09665,0.01511,1016,4192,0
174.5,1972.483,1030,158.58,0.001,15858,0.74857,0.08936,1016,4048,0
176.58,11266.675,1030,160.42,0.0,16042,0.09749,0.01583,1016,4048,0
182.06,943.554,1042,167.22,0.001,16722,1.70185,0.1949,1028,4920,0
186.38,12318.931,1042,172.38,0.0,17238,0.09681,0.01528,1028,5232,0
176.9,8246.686,1030,161.94,0.001,16194,0.1128,0.02167,1016,4552,0
159.46,6422.419,1030,143.3,0.0,14330,0.13617,0.02508,1016,4048,0
301.54,1157.802,2962,287.3,0.0,28730,1.47382,0.26307,2948,5216,0
201.6,13155.757,1030,185.98,0.001,18598,0.09645,0.01548,1016,4300,0
150.7,6591.739,1030,134.3,0.0,13430,0.12507,0.02309,1016,4096,0
327.82,714.867,2974,311.96,0.001,31196,2.61677,0.46321,2960,4408,0
257.12,200.106,469,243.12,0.002,24312,4.32038,1.2979,455,5200,0
200.76,2000.93,1042,186.76,0.0,18676,0.87491,0.10135,1028,5232,0
191.88,854.753,1042,177.88,0.001,17788,1.74286,0.22675,1028,5232,0
193.48,2095.918,1030,178.04,0.0,17804,0.87248,0.09325,1016,4312,0
175.88,2714.388,1030,159.84,0.001,15984,0.52362,0.06545,1016,4216,0
249.07,1583.393,2950,237.9,0.001,23790,1.46467,0.15889,3121,5232,0
346.91,434.037,2950,335.1,0.001,33510,3.51636,0.80734,3121,5216,0
199.08,4899.643,1042,185.08,0.0,18508,0.37691,0.04104,1028,5232,0
172.56,1509.793,1042,158.56,0.001,15856,0.92174,0.11545,1028,5232,0
