Average Packet Size,Flow Bytes/s,Fwd Packet Length Mean,Max Packet Length,Fwd IAT Min,Total Length of Fwd Packets,Flow IAT Mean,Fwd IAT Std,Fwd Packet Length Max,Fwd Header Length,Label
358.945,3622.956,7306,344.945,0.001,344945,0.53173,0.09917,7292,52752,1
343.365,4487.529,1134,329.365,0.001,329365,0.19768,0.07659,1120,52736,1
345.15,4466.634,1134,331.15,0.004,331150,0.19931,0.07735,1120,52704,1
343.932,4496.494,1135,329.932,0.0,329932,0.19656,0.07657,1121,52720,1
344.556,4472.273,1134,330.556,0.004,330556,0.19819,0.07712,1120,52720,1
343.417,4473.186,1134,329.417,0.003,329417,0.196,0.07685,1120,52736,1
346.503,4457.676,1134,332.503,0.001,332503,0.19905,0.07781,1120,52688,1
341.982,4437.397,1134,327.982,0.0,327982,0.19831,0.07715,1120,52736,1
346.571,4436.395,1135,332.571,0.0,332571,0.19993,0.0782,1121,52712,1
346.532,4442.879,1134,332.532,0.0,332532,0.20209,0.07808,1120,52704,1
345.143,4442.998,1134,331.143,0.0,331143,0.19951,0.07776,1120,52712,1
345.763,4541.238,1134,331.763,0.004,331763,0.20266,0.07621,1120,52720,1
344.727,4459.931,1134,330.727,0.0,330727,0.20213,0.07737,1120,52720,1
345.954,4490.079,1134,331.954,0.0,331954,0.20065,0.07713,1120,52704,1
341.945,4499.968,1135,327.945,0.001,327945,0.20412,0.07606,1121,52736,1
341.99,4507.742,1134,327.99,0.0,327990,0.20075,0.07594,1120,52736,1
346.55,4484.155,1134,332.55,0.001,332550,0.20722,0.07736,1120,52704,1
344.37,4520.878,1134,330.37,0.003,330370,0.20662,0.07625,1120,52720,1
342.386,4453.909,1134,328.386,0.003,328386,0.20668,0.07695,1120,52736,1
342.651,4504.876,1134,328.651,0.0,328651,0.20654,0.07614,1120,52720,1
343.043,4505.271,1135,329.043,0.002,329043,0.20633,0.07622,1121,52736,1
342.952,4510.431,1134,328.952,0.003,328952,0.20703,0.07611,1120,52736,1
345.529,4482.62,1134,331.529,0.004,331529,0.2101,0.07716,1120,52704,1
346.559,4487.282,1134,332.559,0.001,332559,0.21032,0.07731,1120,52712,1
342.006,4501.716,1135,328.006,0.0,328006,0.20685,0.07605,1121,52744,1
342.902,4519.43,1135,328.902,0.002,328902,0.20906,0.07595,1121,52720,1
346.195,4479.216,1134,332.195,0.001,332195,0.21047,0.07737,1120,52720,1
341.338,4491.119,1134,327.338,0.004,327338,0.2072,0.07608,1120,52736,1
346.552,4496.801,1134,332.552,0.0,332552,0.21011,0.07714,1120,52704,1
