Average Packet Size,Flow Bytes/s,Fwd Packet Length Mean,Max Packet Length,Fwd IAT Min,Total Length of Fwd Packets,Flow IAT Mean,Fwd IAT Std,Fwd Packet Length Max,Fwd Header Length,Label
304.8,2466019.417,469,290.8,0.003,2908,0.0002,0.00014,455,520,0
66.4,52.725,74,51.2,0.003,512,4.19691,1.39928,60,472,0
71.6,18538.177,88,56.4,0.001,564,0.0128,0.00429,74,400,0
75.6,759798.995,105,61.6,0.004,616,0.00014,0.00011,91,424,0
508.6,26895.538,2974,493.4,0.001,4934,0.06289,0.02101,2960,424,0
1256.8,25544715.447,2974,1240.4,0.001,12404,8e-05,5e-05,2960,400,0
471.8,104595.739,2119,453.0,0.001,4530,0.01494,0.00501,2105,400,0
65.2,1378435.518,78,48.8,0.001,488,7e-05,5e-05,64,400,0
157.4,435.614,469,139.8,0.001,1398,1.20424,0.40148,455,448,0
290.4,188.051,469,276.4,0.003,2764,5.14711,1.71585,455,520,0
224.2,2077849.861,469,210.2,0.003,2102,0.0002,0.00012,455,520,0
73.2,301110.654,86,59.2,0.003,592,0.00071,0.00027,72,552,0
77.8,18922.995,100,63.8,0.0,638,0.01362,0.00457,86,520,0
79.6,1965432.099,97,65.6,0.001,656,6e-05,4e-05,83,520,0
88.2,1929978.118,118,74.2,0.001,742,9e-05,5e-05,104,552,0
1373.6,1900387.382,2962,1359.6,0.001,13596,0.00236,0.0008,2948,520,0
814.2,5041486.068,2466,800.2,0.001,8002,0.00046,0.00018,2452,520,0
71.4,1519148.936,90,57.4,0.001,574,7e-05,5e-05,76,520,0
109.7,102.212,469,95.7,0.001,957,3.57743,1.19251,455,520,0
264.5,2000756.43,469,250.5,0.003,2505,0.00019,0.00015,455,520,0
73.2,63.737,86,59.2,0.001,592,3.82794,1.27607,72,552,0
315.0,76489.729,1042,301.0,0.001,3010,0.01096,0.00458,1028,520,0
347.2,49703.668,914,333.2,0.001,3332,0.01405,0.00776,900,520,0
123.6,684006.641,166,109.6,0.001,1096,0.00035,0.0002,152,520,0
191.8,119189.659,469,177.8,0.003,1778,0.00441,0.00179,455,520,0
304.6,22735.585,1014,290.6,0.003,2906,0.03255,0.01489,1000,520,0
184.8,47649.743,1014,170.8,0.001,1708,0.0128,0.00431,1000,520,0
120.0,344332.855,294,106.0,0.0,1060,0.00092,0.00039,280,520,0
127.2,27279.161,294,113.2,0.001,1132,0.01393,0.00518,280,520,0
68.4,718.088,74,54.4,0.001,544,0.31658,0.10584,60,544,0
79.0,83624.431,107,65.0,0.001,650,0.00295,0.00105,93,528,0
408.4,60819.062,1042,394.4,0.001,3944,0.01443,0.00746,1028,520,0
257.6,67769.856,914,243.6,0.001,2436,0.01076,0.00422,900,520,0
135.6,71443.625,166,121.6,0.046,1216,0.00519,0.00211,152,520,0
272.8,14558.418,1014,258.8,0.001,2588,0.03637,0.02082,1000,520,0
104.8,2471698.113,166,90.8,0.001,908,5e-05,5e-05,152,520,0
116.4,280820.265,206,102.4,0.001,1024,0.00096,0.00046,192,520,0
90.4,907.598,206,76.4,0.003,764,0.31657,0.11067,192,520,0
273.2,2053.803,469,259.2,0.003,2592,0.44293,0.1478,455,520,0
232.9,141.27,469,218.9,0.003,2189,5.49499,1.83179,455,520,0
168.9,169.998,469,154.3,0.003,1543,3.3116,1.10394,455,508,0
247.2,61886.641,1030,231.4,0.001,2314,0.01071,0.00444,1016,400,0
394.6,103572.272,1030,380.0,0.003,3800,0.0071,0.00423,1016,400,0
119.0,89994.706,154,104.4,0.001,1044,0.00414,0.00147,140,400,0
214.9,670514.821,469,200.9,0.003,2009,0.00062,0.00036,455,484,0
354.9,16496.312,1002,339.1,0.003,3391,0.04268,0.0239,988,460,0
94.0,2004264.392,122,77.6,0.001,776,5e-05,5e-05,108,400,0
84.4,1432937.182,106,68.0,0.001,680,6e-05,7e-05,92,400,0
134.6,438436.482,282,118.8,0.001,1188,0.00089,0.00034,268,400,0
65.2,654.188,106,46.4,0.003,464,0.31579,0.11074,92,412,0
68.1,69284.77,95,51.7,0.003,517,0.0031,0.00109,81,436,0
562.1,44822.417,1030,548.1,0.003,5481,0.02172,0.01393,1016,400,0
104.4,298541.607,138,89.2,0.001,892,0.00071,0.00039,124,400,0
197.6,11705.745,1002,182.4,0.003,1824,0.03789,0.01876,988,400,0
188.4,36929.591,1002,172.0,0.003,1720,0.01664,0.00567,988,400,0
87.6,1267727.931,122,71.2,0.0,712,0.00012,8e-05,108,400,0
106.8,479353.68,194,90.4,0.003,904,0.00059,0.00025,180,400,0
105.5,214.885,469,86.7,0.003,867,1.30115,0.54551,455,412,0
264.5,1741277.156,469,250.5,0.003,2505,0.00026,0.00017,455,520,0
73.2,80.944,86,59.2,0.003,592,3.01423,1.00481,72,552,0
315.0,74788.1,1042,301.0,0.003,3010,0.01115,0.00468,1028,520,0
347.2,47008.489,914,333.2,0.003,3332,0.01486,0.00821,900,520,0
123.6,1279503.106,166,109.6,0.001,1096,0.00014,0.00011,152,520,0
